affiliation_name;state_name;affiliation_country;citied_by
swinburneuniversityoftechnology;victoria;australia;3186
nirmauniversity,instituteoftechnology;gujarat;india;2493
beijinguniversityofpostsandtelecommunications;beijing;china;1813
maharajaranjitsinghpunjabtechnicaluniversity,bathinda;punjab;india;1496
sikkimmanipalinstituteoftechnology;sikkim;india;1323
indianinstituteofmanagementmumbai;maharashtra;india;1192
khulnauniversityofengineeringandtechnology;khulna;bangladesh;1150
tsinghuauniversity;beijing;china;1069
schoolofcomputingandinformationsystems;victoria;australia;1054
velloreinstituteoftechnology;tamilnadu;india;1010
"thaparinstituteofengineering&amp;technology";punjab;india;1004
rmituniversity;victoria;australia;892
edithcowanuniversity;westernaustralia;australia;822
shenyangjianzhuuniversity;liaoning;china;736
universitatsiegen;nordrhein-westfalen;germany;707
universityofchineseacademyofsciences;beijing;china;663
indianinstituteofengineeringscienceandtechnology,shibpur;westbengal;india;655
saintlouisuniversityschoolofscienceandengineering;missouri;unitedstates;649
technischeuniversitatberlin;berlin;germany;621
"william&amp;mary";virginia;unitedstates;621
tianjinuniversity;tianjin;china;581
universityofelectronicscienceandtechnologyofchina;sichuan;china;580
nokiabelllabs;newjersey;unitedstates;573
helsinginyliopisto;uusimaa;finland;550
universidadefederaldesantamaria;riograndedosul;brazil;542
xiamenuniversitymalaysia;selangor;malaysia;531
georgiainstituteoftechnology;georgia;unitedstates;516
"texasa&amp;muniversity-sanantonio";texas;unitedstates;503
chalmersuniversityoftechnology;vastragotaland;sweden;502
kennesawstateuniversity;georgia;unitedstates;498
cooperativeresearchcentresaustralia;australiancapitalterritory;australia;481
centralmichiganuniversitycollegeofmedicine;michigan;unitedstates;464
southeastuniversity;jiangsu;china;463
universityofcalifornia,berkeley;california;unitedstates;461
pekinguniversityhealthsciencecenter;beijing;china;459
univerzavljubljani;ljubljana;slovenia;457
kingsauduniversity;arriyad;saudiarabia;452
nanjinguniversity;jiangsu;china;450
universityofguelph;ontario;canada;425
iowastateuniversity;iowa;unitedstates;422
koreauniversity;seoul;southkorea;417
ai-eddepartment;brest;france;398
seoulnationaluniversityofscienceandtechnology;seoul;southkorea;389
centralsouthuniversity;hunan;china;389
heilongjianguniversity;heilongjiang;china;364
shanxiuniversityoffinanceandeconomics;shanxi;china;361
guangzhouuniversity;guangdong;china;358
lawrenceberkeleynationallaboratory;california;unitedstates;358
tongjimedicalcollegeofhuazhonguniversityofscienceandtechnology;hubei;china;358
shanghaiuniversity;shanghai;china;351
shahidbahonaruniversityofkerman;kerman;iran;351
collegeofengineering;tennessee;unitedstates;351
internationalcentrefordiarrhoealdiseaseresearchbangladesh;dhaka;bangladesh;339
henanuniversityofscienceandtechnology;henan;china;339
theuniversityofjordan;amman;jordan;337
harbinuniversityofscienceandtechnology;heilongjiang;china;334
zhengzhouuniversity;henan;china;331
universityofhormozgan;hormozgan;iran;330
p.a.collegeofengineeringandtechnology,pollachi;tamilnadu;india;324
instituteforsystemsandcomputerengineering,technologyandscience;porto;portugal;322
tianjinnormaluniversity;tianjin;china;322
indianinstituteoftechnologybombay;maharashtra;india;322
guangdonguniversityoftechnology;guangdong;china;320
bristolbusinessschool;bristol;unitedkingdom;320
babasahebbhimraoambedkaruniversity;uttarpradesh;india;319
queenslanduniversityoftechnology;queensland;australia;317
universitiputramalaysia;selangor;malaysia;307
universityofbath,schoolofmanagement;somerset;unitedkingdom;306
zhejianguniversity;zhejiang;china;305
kermanshahuniversityofmedicalsciences;kermanshah;iran;304
collegeofelectricalengineering,zhejianguniversity;zhejiang;china;304
