affiliation_name;state_name;affiliation_country;citied_by
chongqinguniversity;chongqing;china;44
xlri,jamshedpur;jharkhand;india;44
stateuniversityofnewyorkalbany;newyork;unitedstates;41
universityofeducation;punjab;pakistan;38
politechnikarzeszowskaim.ignacegolukasiewicza;podkarpackievoivodeship;poland;38
victoriauniversity;victoria;australia;36
mutahuniversity;karak;jordan;32
uppsalauniversitet;uppsala;sweden;28
universiteitvanamsterdam;noord-holland;netherlands;26
schoolofoceanandearthscienceandtechnology;hawaii;unitedstates;26
openuniversiteit;limburg;netherlands;26
gurunanakdevuniversity;punjab;india;26
deakinuniversity;victoria;australia;26
bancodeespana;madrid;spain;25
beijinguniversityoftechnology;beijing;china;25
zhengzhouuniversity;henan;china;24
chitkarauniversity,punjab;punjab;india;24
uniwersytetmariicurie-sklodowskiejwlublinie;lublinvoivodeship;poland;23
universityofjohannesburg;gauteng;southafrica;23
reservebankofnewzealand;wellington;newzealand;22
nanjinguniversity;jiangsu;china;22
qingdaouniversity;shandong;china;21
ningbochinainstituteforsupplychaininnovation;zhejiang;china;21
minzuuniversityofchina;beijing;china;20
universityofinternationalbusinessandeconomics;beijing;china;20
beirutarabuniversity;mountlebanon;lebanon;20
abudhabischoolofmanagement;abudhabi;unitedarabemirates;20
changshauniversityofscienceandtechnology;hunan;china;19
omneseducation;paris;france;19
istanbulticaretuniversitesi;istanbul;turkey;18
jingdezhenuniversity;jiangxi;china;18
istanbulbilgiuniversitesi;istanbul;turkiye;17
indukuniversity;seoul;southkorea;17
al-ahliyyaammanuniversity;amman;jordan;17
nationaleconomicsuniversityhanoi;hanoi;vietnam;17
gurugobindsinghindraprasthauniversity;delhi;india;17
beedieschoolofbusiness;britishcolumbia;canada;17
friedrich-alexander-universitaterlangen-nurnberg;bayern;germany;16
fsegsfax-facultedesscienceseconomiquesetdegestiondesfax;sfax;tunisia;16
hebeiuniversityofscienceandtechnology;hebei;china;16
amityuniversity;uttarpradesh;india;16
southamptonbusinessschool;hampshire;unitedkingdom;15
universitiutaramalaysia;kedah;malaysia;15
theuniversityofwesternaustralia;westernaustralia;australia;15
lefkeavrupauniversitesi;mersin;turkiye;15
xi'anjiaotong-liverpooluniversity;jiangsu;china;15
centralbankofkenya;nairobi;kenya;14
ucsiuniversity;kualalumpur;malaysia;14
universityofcalifornia,berkeley;california;unitedstates;14
haasschoolofbusiness;california;unitedstates;14
bilecikseyhedebaliuniversitesi;bilecik;turkiye;14
universityofsouthampton;hampshire;unitedkingdom;13
universitedesousse;sousse;tunisia;13
deenbandhuchhoturamuniversityofscienceandtechnology;haryana;india;13
iebusinessschool;madrid;spain;13
southwesternuniversityoffinanceandeconomics;sichuan;china;13
bracuniversity;dhaka;bangladesh;13
schoolofbusinessadministration;sharjah;unitedarabemirates;13
collegeofbusinessandeconomics;abudhabi;unitedarabemirates;13
universitatramonllull,esade;barcelona;spain;12
texaschristianuniversity;texas;unitedstates;12
olinbusinessschool;missouri;unitedstates;12
ohsuschoolofmedicine;oregon;unitedstates;12
chinauniversityofpetroleum-beijing;beijing;china;12
ankarayildirimbeyazituniversity;ankara;turkey;12
hainanuniversity;hainan;china;12
jiangxiuniversityoffinanceandeconomics;jiangxi;china;12
centerofresearchforenergyandclimatechange(crecc);paris;france;12
tsinghuauniversity;beijing;china;11
putrabusinessschool;selangor;malaysia;11
alainuniversity;abudhabi;unitedarabemirates;11
