affiliation_name;state_name;affiliation_country;citied_by
thegeorgewashingtonuniversity;washington,d.c.;unitedstates;3632
tsinghuauniversity;beijing;china;1021
a.jamesclarkschoolofengineering;maryland;unitedstates;770
jiangsuuniversity;jiangsu;china;465
ethzurich;zurich;switzerland;450
cornelluniversitycollegeofengineering;newyork;unitedstates;418
villanovauniversitycollegeofengineering;pennsylvania;unitedstates;372
jinanuniversity;guangdong;china;316
aiisoyufenglifamilydepartmentofchemicalandnanoengineering;california;unitedstates;314
universityofhertfordshire;hertfordshire;unitedkingdom;311
collegeofengineering;arkansas;unitedstates;265
losalamosnationallaboratory;newmexico;unitedstates;235
ecolemohammadiad'ingenieurs,mohammedvuniversityinrabat;rabat;morocco;231
virginiatechcollegeofengineering;virginia;unitedstates;230
malaviyanationalinstituteoftechnologyjaipur;rajasthan;india;229
delhiskillandentrepreneurshipuniversity;delhi;india;229
bodolanduniversity;assam;india;227
shandonguniversity;shandong;china;222
