affiliation_name;state_name;affiliation_country;citied_by
faucollegeofengineeringandcomputerscience;florida;unitedstates;78
universitatobertadecatalunya;barcelona;spain;50
leidsuniversitairmedischcentrum;zuid-holland;netherlands;48
barbaraannkarmanoscancerinstitute;michigan;unitedstates;35
universityoftechnologysydney;newsouthwales;australia;35
konyatechnicaluniversity;konya;turkey;30
universityofillinoisatchicago;illinois;unitedstates;28
universityofoxfordmedicalsciencesdivision;oxfordshire;unitedkingdom;26
universityofmunster;nordrhein-westfalen;germany;24
broadridgefinancialsolutionsinc.;newyork;unitedstates;23
velloreinstituteoftechnology;tamilnadu;india;23
firstaffiliatedhospitalofjinanuniversity;guangdong;china;21
instituteforsystemsbiology;washington;unitedstates;21
utsouthwesternmedicalcenter;texas;unitedstates;21
