affiliation_name;state_name;affiliation_country;citied_by
memorialsloan-ketteringcancercenter;newyork;unitedstates;987
ethzurich;zurich;switzerland;792
clevelandclinicfoundation;ohio;unitedstates;768
technischeuniversitatmunchen;bayern;germany;730
"oregonhealth&amp;scienceuniversity";oregon;unitedstates;661
universitairmedischcentrumgroningen;groningen;netherlands;644
mayoclinic;minnesota;unitedstates;495
instituteforhealth,healthcarepolicyandagingresearch;newjersey;unitedstates;473
universityoffloridacollegeofmedicine;florida;unitedstates;446
floridastateuniversity;florida;unitedstates;412
collegeofmedicineandlifesciences;ohio;unitedstates;390
universidaddegranada;granada;spain;380
nationalcenterforadvancingtranslationalsciences(ncats);maryland;unitedstates;374
universitatpolitecnicadecatalunya;barcelona;spain;358
rensselaerpolytechnicinstitute;newyork;unitedstates;358
departmentofbiomedicalengineering;oregon;unitedstates;347
universityofcyprus;nicosia;cyprus;342
wallenberglaboratoriet;vastragotaland;sweden;310
stanfordengineering;california;unitedstates;309
harvardmedicalschool;massachusetts;unitedstates;299
oxfordsocialsciencesdivision;oxfordshire;unitedkingdom;299
chinaagriculturaluniversity;beijing;china;290
chapmanuniversity;california;unitedstates;288
rutgersuniversity-camden;newjersey;unitedstates;277
izmirekonomiuniversitesi;izmir;turkey;273
newyorkuniversity;newyork;unitedstates;273
moffittcancercenter;florida;unitedstates;260
departmentofmedicine;california;unitedstates;250
shenzhenuniversity;guangdong;china;235
lawrencelivermorenationallaboratory;california;unitedstates;214
wellcomesangerinstitute;cambridgeshire;unitedkingdom;213
kyushuuniversity;fukuoka;japan;202
dreem;newyork;unitedstates;201
konkukuniversity;seoul;southkorea;201
departmentofmedicine;cambridgeshire;unitedkingdom;187
universityofmunster;nordrhein-westfalen;germany;186
simonfraseruniversity;britishcolumbia;canada;179
dukeuniversityschoolofmedicine;northcarolina;unitedstates;172
universityofliverpool;merseyside;unitedkingdom;172
universityofwollongong;newsouthwales;australia;171
institut-hopitalneurologiquedemontreal;quebec;canada;168
universidadedoporto;porto;portugal;167
hopitalrobert-debreap-hp;paris;france;165
universityofcalifornia,sanfrancisco;california;unitedstates;162
chengduuniversityoftraditionalchinesemedicine;sichuan;china;161
harvardlawschool;massachusetts;unitedstates;159
weillcornellmedicine;newyork;unitedstates;157
uclasamuelischoolofengineering;california;unitedstates;157
vanderbiltuniversitymedicalcenter;tennessee;unitedstates;148
petruponiinstituteofmacromolecularchemistry;iasi;romania;148
medicalschoolofnanjinguniversity;jiangsu;china;146
theuniversityofchicago;illinois;unitedstates;145
theuniversityofadelaide;southaustralia;australia;145
linnaeusuniversity,kalmar;kalmar;sweden;141
theohiostateuniversity;ohio;unitedstates;141
sastradeemeduniversity;tamilnadu;india;141
collegeofscience,engineeringandtechnology;mississippi;unitedstates;139
adelphiuniversity;newyork;unitedstates;137
cummingschoolofmedicine;alberta;canada;136
thekidsresearchinstituteaustralia;westernaustralia;australia;134
nationalcancercenterresearchinstitute;tokyo;japan;134
shirazuniversityoftechnology;fars;iran;130
collegeofscienceandengineering;minnesota;unitedstates;129
universidadcarlosiiidemadrid;madrid;spain;129
centrehospitalierdel'universitedemontreal;quebec;canada;129
