affiliation_name;state_name;affiliation_country;citied_by
centronacionaldesupercomputacion;barcelona;spain;56
chongqinguniversity;chongqing;china;53
kingfahduniversityofpetroleumandminerals;ashsharqiyah;saudiarabia;44
l-universitata'malta;msida;malta;29
universitimalaya;kualalumpur;malaysia;28
universityofnigeria;enugu;nigeria;27
hunanuniversity;hunan;china;27
"collegeofliberalarts&amp;sciences";illinois;unitedstates;26
potsdaminstitutfurklimafolgenforschung;brandenburg;germany;26
beijinginstituteoftechnology;beijing;china;21
universityofcalifornia,davis;california;unitedstates;21
carnegiemellonuniversity;pennsylvania;unitedstates;21
militaryinstituteofscienceandtechnology;dhaka;bangladesh;20
zhejianguniversityoftechnology;zhejiang;china;19
mercatorresearchinstituteonglobalcommonsandclimatechange;berlin;germany;19
qingdaouniversityoftechnology;shandong;china;19
universityofsouth-easternnorway;buskerud;norway;18
chang'anuniversity;shaanxi;china;18
omneseducation;paris;france;18
pekinguniversity;beijing;china;18
kyungheeuniversity;seoul;southkorea;17
technion-israelinstituteoftechnology;haifa;israel;16
czechtechnicaluniversityinprague;prague;czechrepublic;16
floridastateuniversity;florida;unitedstates;16
ethzurich;zurich;switzerland;16
munstertechnologicaluniversity(mtu);cork;ireland;16
southeastuniversity;jiangsu;china;15
collegeofengineering;texas;unitedstates;15
universityofpittsburghschoolofmedicine;pennsylvania;unitedstates;15
theuniversityofqueensland;queensland;australia;15
wuhanuniversity;hubei;china;14
bollinger+grohmanns.a.r.l;;france;14
harbininstituteoftechnology;heilongjiang;china;14
universityofalberta;alberta;canada;13
universityoftehran;tehran;iran;13
europeancentralbank;hessen;germany;13
fuzhouuniversity;fujian;china;13
tianjinuniversity;tianjin;china;12
theuniversityofalabama;alabama;unitedstates;12
guangzhouuniversity;guangdong;china;12
marmarauniversitesi;istanbul;turkiye;12
iranuniversityofscienceandtechnology;tehran;iran;12
qingdaouniversity;shandong;china;12
deutscheszentrumfurluft-undraumfahrt(dlr);nordrhein-westfalen;germany;11
bankforinternationalsettlements;basel-stadt;switzerland;11
hebeiuniversityoftechnology;tianjin;china;11
hohaiuniversity;jiangsu;china;11
aalborguniversity;nordjylland;denmark;11
"wageningenuniversity&amp;research";gelderland;netherlands;11
arunachaluniversityofstudies;arunachalpradesh;india;11
collegeofengineering;indiana;unitedstates;10
universitatheidelberg;baden-wurttemberg;germany;10
thechineseuniversityofhongkong,shenzhen;guangdong;china;10
"universidadeestadualpaulista""juliodemesquitafilho""";saopaulo;brazil;10
universidadecatolicadebrasilia;distritofederal;brazil;10
americancollegeofphysicians;pennsylvania;unitedstates;10
statekeylaboratoryformanufacturingsystemsengineering;shaanxi;china;9
multimediauniversity;selangor;malaysia;9
beijinguniversityofpostsandtelecommunications;beijing;china;9
anhuiuniversity;anhui;china;9
huazhonguniversityofscienceandtechnology;hubei;china;9
centralsouthuniversity;hunan;china;9
queenslanduniversityoftechnology;queensland;australia;9
dalhousieuniversity;novascotia;canada;9
chinathreegorgesuniversity;hubei;china;9
universityoftorontofacultyofmedicine;ontario;canada;9
nationalbureauofeconomicresearch;massachusetts;unitedstates;9
pukyongnationaluniversity;busan;southkorea;8
pannonegyetem;veszprem;hungary;8
dalianmaritimeuniversity;liaoning;china;8
wuhanuniversityofscienceandtechnology;hubei;china;8
collegeofinformationscienceandengineering,northeasternuniversity;liaoning;china;8
dukeuniversity;northcarolina;unitedstates;8
gebzeteknikuniversitesi;kocaeli;turkey;8
kingfaisaluniversity;ashsharqiyah;saudiarabia;8
instituteofruraldevelopmentplanning,tanzania;dodoma;tanzania;8
universityoftechnologysydney;newsouthwales;australia;8
universidaddeoviedo;asturias;spain;8
universityoftechnology-iraq;baghdad;iraq;8
johnshopkinsuniversityschoolofmedicine;maryland;unitedstates;8
universidadedeaveiro;aveiro;portugal;8
shanghaijiaotonguniversity;shanghai;china;8
universidadpolitecnicademadrid;madrid;spain;8
universiteitmaastricht;limburg;netherlands;8
sverigeslantbruksuniversitet;uppsala;sweden;7
southwestuniversity;chongqing;china;7
collegeofcontrolscienceandengineering,zhejianguniversity;zhejiang;china;7
technicaluniversityofdenmark;hovedstaden;denmark;7
dalianoceanuniversity;liaoning;china;7
theuniversityofkitakyushu;fukuoka;japan;7
instituteofgeographicsciencesandnaturalresourcesresearch,chineseacademyofsciences;beijing;china;7
nanjinguniversityofaeronauticsandastronautics;jiangsu;china;7
universityofcalifornia,berkeley;california;unitedstates;7
instituteofchengdu-chongqingeconomiczonedevelopment;chongqing;china;7
hefeiuniversityoftechnology;anhui;china;7
yunnanuniversity;yunnan;china;7
hanoiuniversityofscienceandtechnology;hanoi;vietnam;7
northchinaelectricpoweruniversity(baoding);hebei;china;7
xidianuniversity;shaanxi;china;7
unitedstatesinternationaluniversity,africa;nairobi;kenya;7
dongbeiuniversityoffinanceandeconomics;liaoning;china;7
shahidbahonaruniversityofkerman;kerman;iran;7
researchinstituteofindustrialeconomics;stockholm;sweden;7
shanghaiuniversityofengineeringscience;shanghai;china;6
instituteofatmosphericphysicschineseacademyofsciences;beijing;china;6
indianinstituteofmanagementbodhgaya;bihar;india;6
theuniversityofchicagoboothschoolofbusiness;illinois;unitedstates;6
jiangsuuniversity;jiangsu;china;6
theuniversityofburdwan;westbengal;india;6
khonkaenuniversity;khonkaen;thailand;6
hochiminhcityuniversityoftechnology-hutech;hochiminhcity;vietnam;6
shanxiuniversity;shanxi;china;6
xinjianguniversity;xinjiang;china;6
riceuniversity;texas;unitedstates;6
mewatengineeringcollege;haryana;india;6
nanjingforestryuniversity;jiangsu;china;6
nanjinguniversity;jiangsu;china;6
shanghaimaritimeuniversity;shanghai;china;6
"nanjinguniversityofinformationscience&amp;technology";jiangsu;china;6
fujiannormaluniversity;fujian;china;6
collegeofengineeringandscience;florida;unitedstates;6
shandongtechnologyandbusinessuniversity;shandong;china;6
universityoftsukuba;ibaraki;japan;6
uppsalauniversitet;uppsala;sweden;6
universityofha'il;ha'il;saudiarabia;6
universitatdebarcelona;barcelona;spain;6
universidadnacionaldecuyo;mendoza;argentina;6
universityofchineseacademyofsciences;beijing;china;6
beihanguniversity;beijing;china;6
universitatkassel;hessen;germany;6
universitatbonn;nordrhein-westfalen;germany;5
ningbouniversity;zhejiang;china;5
qingdaocityuniversity;shandong;china;5
collegeofengineering;iowa;unitedstates;5
statekeylaboratoryofinorganicsynthesisandpreparativechemistry;jilin;china;5
publichealthagencyofcanada;ontario;canada;5
zhejianguniversityschoolofmedicine;zhejiang;china;5
faculdadedecienciasdauniversidadedelisboa;lisboa;portugal;5
hunanuniversityoftechnology;hunan;china;5
jiangsuuniversityofscienceandtechnology;jiangsu;china;5
"noidainstituteofengineering&amp;technology";uttarpradesh;india;5
kyushuuniversity;fukuoka;japan;5
universidadefederaldepernambuco;pernambuco;brazil;5
schoolofearthsciences,zhejianguniversity;zhejiang;china;5
kennesawstateuniversity;georgia;unitedstates;5
wuhanuniversityoftechnology;hubei;china;5
suranareeuniversityoftechnology;nakhonratchasima;thailand;5
chonnamnationaluniversity;gwangju;southkorea;5
velloreinstituteoftechnology,chennai;tamilnadu;india;5
instituteofgeochemistrychineseacademyofsciences;guizhou;china;5
fundacionuniversitariakonradlorenz;bogota;colombia;5
howardhughesmedicalinstitutejaneliafarmresearchcampus;virginia;unitedstates;5
universityofmichigan,annarbor;michigan;unitedstates;5
universititenaganasional;selangor;malaysia;5
hunternewenglandnswhealth;newsouthwales;australia;5
bernerfachhochschule;bern;switzerland;5
nationalyangmingchiaotunguniversity;hsinchu;taiwan;5
davidgeffenschoolofmedicineatucla;california;unitedstates;5
shanghaiuniversityoffinanceandeconomics;shanghai;china;4
shanghaiuniversityofelectricpower;shanghai;china;4
universitisultanzainalabidin;terengganu;malaysia;4
universityofalaskafairbanks;alaska;unitedstates;4
universityofagriculturalandhorticulturalsciences;karnataka;india;4
bucharestuniversityofeconomicstudies;bucharest;romania;4
lanzhouuniversity;gansu;china;4
kozminskiuniversity;lesserpolandvoivodeship;poland;4
xi'antechnologicaluniversity;shaanxi;china;4
xi'anjiaotonguniversity;shaanxi;china;4
agencyforhealthcareresearchandquality;maryland;unitedstates;4
gmrinstituteoftechnology;andhrapradesh;india;4
germanresearchcenterforartificialintelligence(dfki);rheinland-pfalz;germany;4
