affiliation_name;state_name;affiliation_country;citied_by
kobenhavnsuniversitet;hovedstaden;denmark;89
indianinstituteoftechnologymadras;tamilnadu;india;58
digconnectivityresearchlaboratory(dcrlab);kampala;uganda;22
comsatsuniversityislamabad,wahcampus;punjab;pakistan;18
institutonacionaldeastrofisicaopticayelectronica;puebla;mexico;17
universitatzurich;zurich;switzerland;10
vitbhopaluniversity;madhyapradesh;india;9
bernerfachhochschule;bern;switzerland;8
kingfahduniversityofpetroleumandminerals;ashsharqiyah;saudiarabia;4
iranuniversityofscienceandtechnology;tehran;iran;4
guangxiuniversity;guangxi;china;4
chalmersuniversityoftechnology;vastragotaland;sweden;4
tashkentstateuniversityofeconomics;tashkent;uzbekistan;4
universidadedominho;braga;portugal;3
commonwealthscientificandindustrialresearchorganisation;australiancapitalterritory;australia;3
pranveersinghinstituteoftechnology;uttarpradesh;india;2
"texasa&amp;muniversity";texas;unitedstates;2
fraunhoferinstituteforalgorithmsandscientificcomputingscai;nordrhein-westfalen;germany;2
chandigarhuniversity;punjab;india;2
xi'anjiaotonguniversity;shaanxi;china;2
technischenuniversitatilmenau;thuringen;germany;1
universityofbritishcolumbiaokanagan;britishcolumbia;canada;1
universityofkashmir;jammuandkashmir;india;1
gautambuddhauniversity;uttarpradesh;india;1
pesuniversity;karnataka;india;1
indianassociationforthecultivationofscience;westbengal;india;1
vishwakarmainstituteoftechnology;maharashtra;india;1
visvesvarayanationalinstituteoftechnology,nagpur;maharashtra;india;1
cesarcentrodeestudiosesistemasavancadosdorecife;pernambuco;brazil;1
sanjosestateuniversity;california;unitedstates;1
minzuuniversityofchina;beijing;china;1
srminstituteofscienceandtechnology;tamilnadu;india;0
sonacollegeoftechnology;tamilnadu;india;0
srminstituteofscienceandtechnologyramapuramcampus;tamilnadu;india;0
ala-toointernationaluniversity;bishkek;kyrgyzstan;0
universityofbotswana;gaborone;botswana;0
shanxiuniversity;shanxi;china;0
universityoftheimmaculateconception;davaodelsur;philippines;0
universityofwindsor;ontario;canada;0
universityofyork;northyorkshire;unitedkingdom;0
wuhanbusinessuniversity;hubei;china;0
sichuanuniversity;sichuan;china;0
makerereuniversity;kampala;uganda;0
shanghaiuniversityoffinanceandeconomics;shanghai;china;0
issaquahhighschool;washington;unitedstates;0
ateneodemanilauniversity;quezoncity;philippines;0
bahirdaruniversity;amhara;ethiopia;0
beijinguniversityofpostsandtelecommunications;beijing;china;0
clarkatlantauniversity;georgia;unitedstates;0
eastwestuniversity;dhaka;bangladesh;0
federaluniversityoftechnology,minna;niger;nigeria;0
gauhatiuniversity;assam;india;0
indianinstituteofscienceeducationandresearchkolkata;westbengal;india;0
jssscienceandtechnologyuniversity;karnataka;india;0
puneinstituteofcomputertechnology;maharashtra;india;0
konguengineeringcollege;tamilnadu;india;0
kprinstituteofengineeringandtechnology;tamilnadu;india;0
kyungheeuniversity;seoul;southkorea;0
ltd.;guangdong;china;0
amazon.com,inc.;washington;unitedstates;0
nationalinstituteoftechnology,durgapur;westbengal;india;0
nationaluniversityofdefensetechnologychina;hunan;china;0
paloaltohighschool;california;unitedstates;0
yan'anuniversity;shaanxi;china;0
