affiliation_name;state_name;affiliation_country;citied_by
monashuniversity;victoria;australia;804
kennedyinstituteofethics;washington,d.c.;unitedstates;492
xinjianguniversity;xinjiang;china;414
universityofbath,departmentforhealth;somerset;unitedkingdom;283
xinyangagricultureandforestryuniversity;henan;china;262
universitatkonstanz;baden-wurttemberg;germany;249
indianauniversitybloomington;indiana;unitedstates;242
universityofbristol;bristol;unitedkingdom;230
monashhealth;victoria;australia;226
thirdxiangyahospitalofcentralsouthuniversity;hunan;china;215
amherstcollege;massachusetts;unitedstates;202
johnshopkinsuniversity;maryland;unitedstates;198
xiamenuniversity;fujian;china;196
southwesternuniversityoffinanceandeconomics;sichuan;china;188
universidadcomplutensedemadrid;madrid;spain;165
luzhoumedicalcollege;sichuan;china;162
nationalcenterforhealthstatistics;maryland;unitedstates;158
coloradoschoolofmines;colorado;unitedstates;156
alfred-wegener-instituthelmholtz-zentrumfurpolar-undmeeresforschung;bremen;germany;152
miamiveteransaffairshealthcaresystem;florida;unitedstates;150
montrealbehaviouralmedicinecentre;quebec;canada;145
nanchanguniversity;jiangxi;china;137
schoolofmedicine;quebec;canada;134
beijinginstituteoftechnology;beijing;china;132
thegeorgewashingtonuniversity;washington,d.c.;unitedstates;131
stanfordhealthcare;california;unitedstates;127
guangxinormaluniversity;guangxi;china;127
bostoncollege;massachusetts;unitedstates;125
qingdaouniversityofscienceandtechnology;shandong;china;119
universityofmichigan,annarbor;michigan;unitedstates;118
universityofsanfrancisco;california;unitedstates;118
universityofminnesotatwincities;minnesota;unitedstates;118
westernsydneyuniversity;newsouthwales;australia;116
universitiputramalaysia;selangor;malaysia;115
universitatsklinikumheidelberg;baden-wurttemberg;germany;114
lincolninternationalbusinessschool;lincolnshire;unitedkingdom;114
casewesternreserveuniversity;ohio;unitedstates;109
hataymustafakemaluniversity;hatay;turkiye;109
zhejianggongshanguniversity;zhejiang;china;106
guilinuniversityofelectronictechnology;guangxi;china;101
guangdonguniversityofpetrochemicaltechnology;guangdong;china;101
canakkaleonsekizmartuniversitesi;canakkale;turkiye;99
wuhanecologicalenvironmentinvestmentanddevelopmentgroupco.ltd;hubei;china;95
universidadedesaopaulo;saopaulo;brazil;93
newyorkuniversity;newyork;unitedstates;93
liaoninguniversity;liaoning;china;92
yantaiuniversity;shandong;china;91
jiangsuoceanuniversity;jiangsu;china;90
nationalinstituteoftechnologypatna;bihar;india;89
yaleschoolofmedicine;connecticut;unitedstates;88
queenslanduniversityoftechnology;queensland;australia;86
schoolofhealthmanagementandinformationsciences;tehran;iran;85
grooteschuurhospital;westerncape;southafrica;83
chongqingbusinessvocationalcollege;chongqing;china;83
guangdonguniversityoffinance;guangdong;china;82
nanjingagriculturaluniversity;jiangsu;china;80
universityofsoutherncalifornia;california;unitedstates;79
universitatd'alacant;alicante;spain;79
universidaddezaragoza;zaragoza;spain;78
uconnschoolofmedicine;connecticut;unitedstates;78
stanforddoerrschoolofsustainability;california;unitedstates;78
wsbuniversity,dabrowagornicza;silesian;poland;77
guangxiuniversity;guangxi;china;76
sichuanuniversity;sichuan;china;76
shaanxiuniversityoftechnology;shaanxi;china;76
qiluhospitalofshandonguniversity;shandong;china;76
harbinengineeringuniversity;heilongjiang;china;75
