name;state_name;country_name;latitude;longitude
İzmit;Kocaeli;Turkey;40.77521;29.94624
Isparta;Isparta;Turkey;37.76444;30.55222
Zhuhai;Guangdong;China;22.27694;113.56778
Milan;Lombardy;Italy;45.46427;9.18951
Beijing;Beijing;China;39.9075;116.39723
Odense;Region of Southern Denmark;Denmark;55.39594;10.38831
Chongqing;Chongqing;China;29.56278;106.55278
Jember;Jawa Timur;Indonesia;-8.17211;113.69953
Neubiberg;Bavaria;Germany;48.0771;11.65812
Bengaluru;Karnataka;India;12.97194;77.59369
Ann Arbor;Michigan;United States;42.27756;-83.74088
Lappeenranta;South Karelia;Finland;61.05871;28.18871
Beijing;Beijing;China;39.9075;116.39723
Johnstown;Colorado;United States;40.33693;-104.9122
Johnstown;New York;United States;43.00674;-74.36764
Johnstown;Ohio;United States;40.15367;-82.68517
Johnstown;Pennsylvania;United States;40.32674;-78.92197
Beijing;Beijing;China;39.9075;116.39723
Brno;Jihomoravský kraj;Czech Republic;49.19522;16.60796
Pretoria;Gauteng;South Africa;-25.74486;28.18783
Houston;Alaska;United States;61.63028;-149.81806
Houston;Mississippi;United States;33.89845;-88.99923
Houston;Missouri;United States;37.32616;-91.95599
Houston;Pennsylvania;United States;40.24646;-80.21145
Houston;Texas;United States;29.76328;-95.36327
Bahawalpur;Punjab;Pakistan;29.39779;71.6752
Changsha;Guizhou;China;28.68778;105.98972
Changsha;Hunan;China;28.19874;112.97087
Shenyang;Liaoning;China;41.79222;123.43278
Shanghai;Shanghai;China;31.22222;121.45806
College Park;Georgia;United States;33.65344;-84.44937
College Park;Maryland;United States;38.98067;-76.93692
College Station;Texas;United States;30.62798;-96.33441
Toronto;Ontario;Canada;43.70011;-79.4163
Bamako;Bamako;Mali;12.65;-8.0
Lille;Hauts-de-France;France;50.63297;3.05858
Bethesda;Maryland;United States;38.98067;-77.10026
Bethesda;Ohio;United States;40.01618;-81.0726
Chennai;Tamil Nadu;India;13.08784;80.27847
Notre Dame;Indiana;United States;41.70019;-86.23793
Beijing;Beijing;China;39.9075;116.39723
Ottawa;Ontario;Canada;45.41117;-75.69812
Oak Ridge;Florida;United States;28.47112;-81.42452
Oak Ridge;North Carolina;United States;36.17347;-79.98893
Oak Ridge;Tennessee;United States;36.01036;-84.26964
Paris;Île-de-France;France;48.8534;2.3486
Toronto;Ontario;Canada;43.70011;-79.4163
Rapperswil;St. Gallen;Switzerland;47.22557;8.82228
New Haven;Connecticut;United States;41.30815;-72.92816
New Haven;Indiana;United States;41.0706;-85.01441
New Haven;Michigan;United States;42.72948;-82.80131
New Haven;Missouri;United States;38.60838;-91.21904
New Haven;West Virginia;United States;38.98647;-81.97347
Guangzhou;Guangdong;China;23.11667;113.25
Beijing;Beijing;China;39.9075;116.39723
Baltimore;Maryland;United States;39.29038;-76.61219
Baltimore;Ohio;United States;39.84534;-82.60072
Austin;Arkansas;United States;34.99842;-91.98376
Austin;Indiana;United States;38.75839;-85.80803
Austin;Minnesota;United States;43.66663;-92.97464
Austin;Texas;United States;30.26715;-97.74306
Seoul;Seoul;South Korea;37.566;126.9784
Stockholm;Stockholm County;Sweden;59.33258;18.0649
Brno;Jihomoravský kraj;Czech Republic;49.19522;16.60796
Shanghai;Shanghai;China;31.22222;121.45806
Heidelberg;Baden-Württemberg;Germany;49.40768;8.69079
Edmonton;Alberta;Canada;53.55014;-113.46871
Paris;Île-de-France;France;48.8534;2.3486
Rome;Lazio;Italy;41.89193;12.51133
Augsburg;Bavaria;Germany;48.37154;10.89851
Tamale;Northern;Ghana;9.40079;-0.8393
Atlanta;Georgia;United States;33.749;-84.38798
Atlanta;Illinois;United States;40.25948;-89.23342
Atlanta;Michigan;United States;45.00473;-84.14389
Atlanta;Texas;United States;33.11374;-94.16435
Coimbatore;Tamil Nadu;India;10.8;77.09
Beijing;Beijing;China;39.9075;116.39723
Hangzhou;Zhejiang;China;30.29365;120.16142
Washington, D.C.;District of Columbia;United States;38.89511;-77.03637
Washington, D.C.;District of Columbia;United States;38.89511;-77.03637
Braunschweig;Lower Saxony;Germany;52.26594;10.52673
Barcelona;Catalonia;Spain;41.38879;2.15899
Harbin;Heilongjiang;China;45.75;126.65
Murray;Kentucky;United States;36.61033;-88.31476
Murray;Utah;United States;40.66689;-111.88799
Kaohsiung;Kaohsiung;Taiwan;22.61626;120.31333
Athens;Attica Region;Greece;37.98376;23.72784
Qinhuangdao;Hebei;China;39.93167;119.58833
Dayton;Indiana;United States;40.3742;-86.7689
Dayton;Kentucky;United States;39.11284;-84.47272
Dayton;Maine;United States;43.54972;-70.57555
Dayton;Minnesota;United States;45.24385;-93.51496
Dayton;Nevada;United States;39.23714;-119.59295
Dayton;New Jersey;United States;40.37261;-74.51015
Dayton;Ohio;United States;39.75895;-84.19161
Dayton;Oregon;United States;45.22067;-123.07621
Dayton;Tennessee;United States;35.49396;-85.01245
Dayton;Texas;United States;30.04661;-94.8852
Dayton;Virginia;United States;38.41485;-78.93864
Dayton;Washington;United States;46.32375;-117.97244
Quetta;Balochistan;Pakistan;30.18414;67.00141
Beijing;Beijing;China;39.9075;116.39723
Coimbra;Coimbra;Portugal;40.20564;-8.41955
Raiganj;West Bengal;India;25.61666667;88.11666667
Quito;Pichincha;Ecuador;-0.22985;-78.52495
Oak Ridge;Florida;United States;28.47112;-81.42452
Oak Ridge;North Carolina;United States;36.17347;-79.98893
Oak Ridge;Tennessee;United States;36.01036;-84.26964
Murfreesboro;Arkansas;United States;34.06233;-93.6899
Murfreesboro;North Carolina;United States;36.44238;-77.09858
Murfreesboro;Tennessee;United States;35.84562;-86.39027
Indianapolis;Indiana;United States;39.76838;-86.15804
Amman;Amman Governorate;Jordan;31.95522;35.94503
Brussels;Brussels-Capital Region;Belgium;50.85045;4.34878
Guangzhou;Guangdong;China;23.11667;113.25
Kaohsiung;Kaohsiung;Taiwan;22.61626;120.31333
Ranchi;Jharkhand;India;23.34316;85.3094
Shenzhen;Guangdong;China;22.55653;113.9859
Acre;Northern District;Israel;32.92814;35.07647
Salt Lake City;Utah;United States;40.76078;-111.89105
Fuzhou;Fujian;China;26.06139;119.30611
Belfast;Northern Ireland;United Kingdom;54.59682;-5.92541
Kunming;Yunnan;China;25.03889;102.71833
Melbourne;Victoria;Australia;-37.814;144.96332
Pasadena;California;United States;34.14778;-118.14452
Pasadena;Maryland;United States;39.10733;-76.57108
Pasadena;Texas;United States;29.69106;-95.2091
Sendai;Miyagi Prefecture;Japan;38.26667;140.86667
Lampang;Lampang;Thailand;18.29232;99.49277
Harbin;Heilongjiang;China;45.75;126.65
Bucharest;Bucharest;Romania;44.43225;26.10626
Laxenburg;Lower Austria;Austria;48.06833;16.35607
Nanning;Guangxi Zhuang;China;22.81667;108.31667
Naples;Campania;Italy;40.85216;14.26811
Beijing;Beijing;China;39.9075;116.39723
The Hague;South Holland;Netherlands;52.07667;4.29861
Munich;Bavaria;Germany;48.13743;11.57549
Trento;Trentino-South Tyrol;Italy;46.06787;11.12108
Rahim Yar Khan;Punjab;Pakistan;28.41987;70.30345
Lisbon;Guarda;Portugal;38.71666667;-9.16666667
Lisbon;Lisbon;Portugal;38.72635;-9.14843
Bonn;North Rhine-Westphalia;Germany;50.73438;7.09549
Toronto;Ontario;Canada;43.70011;-79.4163
Cali;Valle del Cauca;Colombia;3.41033;-76.58097
Campinas;Santa Catarina;Brazil;-27.59444;-48.60694
Campinas;São Paulo;Brazil;-22.90556;-47.06083
Mathura;Uttar Pradesh;India;27.63333;77.58333
Sharjah;Sharjah Emirate;United Arab Emirates;25.33737;55.41206
