name;state_name;country_name;latitude;longitude
Isparta;Isparta;Turkey;37.76444;30.55222
Ankara;Ankara;Turkey;39.91987;32.85427
Cape Town;Western Cape;South Africa;-33.92584;18.42322
Prague;Praha, Hlavní město;Czech Republic;50.08804;14.42076
Taiyuan;Shanxi;China;37.86944;112.56028
Nanjing;Taiwan;China;32.06167;118.77778
Hangzhou;Zhejiang;China;30.29365;120.16142
Beijing;Beijing;China;39.9075;116.39723
Guwahati;Assam;India;26.1844;91.7458
Guangzhou;Guangdong;China;23.11667;113.25
Dhaka;Dhaka District;Bangladesh;23.81093;90.36542
Bandung;Jawa Barat;Indonesia;-6.92222;107.60694
Vellore;Tamil Nadu;India;12.86;79.035
Beijing;Beijing;China;39.9075;116.39723
Wuhan;Hubei;China;30.58333;114.26667
Pittsburgh;Pennsylvania;United States;40.44062;-79.99589
Panipat;Haryana;India;29.33259;76.92634
Guangzhou;Guangdong;China;23.11667;113.25
Bhimavaram;Andhra Pradesh;India;16.54078;81.52322
Casablanca;Casablanca-Settat;Morocco;33.5884;-7.55785
Nanning;Guangxi Zhuang;China;22.81667;108.31667
Hyderabad;Telangana;India;17.38405;78.45636
Chennai;Tamil Nadu;India;13.08784;80.27847
Johor Bahru;Johor;Malaysia;1.4655;103.7578
Suwon;Gyeonggi Province;South Korea;37.29111;127.00889
Palaiseau;Île-de-France;France;48.71828;2.2498
Munich;Bavaria;Germany;48.13743;11.57549
Changzhou;Taiwan;China;31.77359;119.95401
Kharagpur;Bihar;India;25.12446;86.55578
Kharagpur;West Bengal;India;22.330239;87.323653
Curitiba;Paraná;Brazil;-25.42778;-49.27306
Changwon;South Gyeongsang Province;South Korea;35.22806;128.68111
Tianjin;Tianjin;China;39.14666667;117.20555556
Chongqing;Chongqing;China;29.56278;106.55278
Canberra;Australian Capital Territory;Australia;-35.28346;149.12807
Cambridge;England;United Kingdom;52.2;0.11667
Changsha;Guizhou;China;28.68778;105.98972
Changsha;Hunan;China;28.19874;112.97087
Toronto;Ontario;Canada;43.70011;-79.4163
Enschede;Overijssel;Netherlands;52.21833;6.89583
Shenzhen;Guangdong;China;22.55653;113.9859
Rolla;Missouri;United States;37.95143;-91.77127
Rolla;North Dakota;United States;48.85778;-99.61792
Milan;Lombardy;Italy;45.46427;9.18951
Pittsburgh;Pennsylvania;United States;40.44062;-79.99589
London;England;United Kingdom;51.50853;-0.12574
Chicago;Illinois;United States;41.85003;-87.65005
Boston;Georgia;United States;30.79186;-83.78989
Boston;Massachusetts;United States;42.35843;-71.05977
Boston;New York;United States;42.62895;-78.73753
Hamilton;Waikato Region;New Zealand;-37.78333;175.28333
Sydney;New South Wales;Australia;-33.86785;151.20732
Beijing;Beijing;China;39.9075;116.39723
Mountain View;Arkansas;United States;35.86841;-92.11765
Mountain View;California;United States;37.38605;-122.08385
Mountain View;Hawaii;United States;19.55583;-155.10806
Mountain View;Missouri;United States;36.99533;-91.70376
Mountain View;North Carolina;United States;35.68319;-81.36898
Mountain View;Wyoming;United States;41.26884;-110.33988
Athens;Attica Region;Greece;37.98376;23.72784
New Haven;Connecticut;United States;41.30815;-72.92816
New Haven;Indiana;United States;41.0706;-85.01441
New Haven;Michigan;United States;42.72948;-82.80131
New Haven;Missouri;United States;38.60838;-91.21904
New Haven;West Virginia;United States;38.98647;-81.97347
Walldorf;Baden-Württemberg;Germany;49.30637;8.64236
Walldorf;Thuringia;Germany;50.61667;10.38333
Murcia;Murcia;Spain;37.98662;-1.14146
Chengdu;Sichuan;China;30.66667;104.06667
Sunnyvale;California;United States;37.36883;-122.03635
Sunnyvale;Texas;United States;32.79652;-96.56082
Guangzhou;Guangdong;China;23.11667;113.25
Wuhan;Hubei;China;30.58333;114.26667
Beijing;Beijing;China;39.9075;116.39723
Guilin;Guangxi Zhuang;China;25.28194;110.28639
Beijing;Beijing;China;39.9075;116.39723
