state_name;affiliation_state;affiliation_country;affiliation_name;citied_by;cover_date;country_name;area_km2
newyork;ny;unitedstates;collegeofengineeringandcomputerscience;2;2021-12-14;unitedstates;136932.6539458316
texas;tx;unitedstates;"texasa&amp;muniversity";28;2021-12-01;unitedstates;685338.8687343894
vaud;vd;switzerland;universitedelausanne(unil);6;2021-12-01;switzerland;3312.1476662723
california;ca;unitedstates;elevateu;124;2021-12-01;unitedstates;409736.0520512069
queensland;qld;australia;princessalexandrahospital;75;2021-12-01;australia;1730135.5915559076
australiancapitalterritory;act;australia;theaustraliannationaluniversity;5;2021-12-01;australia;2349.2816671833
california;ca;unitedstates;pr3vent;0;2021-12-01;unitedstates;409736.0520512069
massachusetts;ma;unitedstates;massgeneralbrigham;9;2021-12-01;unitedstates;21161.5293886358
quebec;qc;canada;universiteduquebecarimouski;12;2021-12-01;canada;1505505.2764716432
saopaulo;sp;brazil;universidadenovedejulho;38;2021-12-01;brazil;248638.1451676981
connecticut;ct;unitedstates;yaleschoolofmedicine;20;2021-12-01;unitedstates;12704.5232646375
texas;tx;unitedstates;mayscancercenter;9;2021-12-01;unitedstates;685338.8687343894
rhodeisland;ri;unitedstates;thewarrenalpertmedicalschool;61;2021-12-01;unitedstates;2832.3850914376
britishcolumbia;bc;canada;universityofbritishcolumbia,facultyofmedicine;7;2021-12-01;canada;945598.3248456959
california;ca;unitedstates;googlellc;20;2021-12-01;unitedstates;409736.0520512069
georgia;ga;unitedstates;morehouseschoolofmedicine;6;2021-12-01;unitedstates;152164.1143214319
minnesota;mn;unitedstates;mayoclinic;6;2021-12-01;unitedstates;224780.1530011972
westernaustralia;wa;australia;edithcowanuniversity;99;2021-12-01;australia;2528138.6968684313
newhampshire;nh;unitedstates;dartmouthcollege;2;2021-12-01;unitedstates;24266.4317038202
massachusetts;ma;unitedstates;collegeofengineering;8;2021-12-01;unitedstates;21161.5293886358
massachusetts;ma;unitedstates;brighamandwomen'shospital;69;2021-12-01;unitedstates;21161.5293886358
newjersey;nj;unitedstates;princetonuniversity;91;2021-12-01;unitedstates;19667.4032436701
tamilnadu;tn;india;collegeofengineering,guindy;2;2021-11-25;india;130683.6903163263
bern;be;switzerland;universityofbern;4;2021-11-02;switzerland;5921.973092167
ontario;on;canada;universityoftorontofacultyofmedicine;0;2021-11-01;canada;1077587.553876187
tamilnadu;tn;india;sankaranethralaya;17;2021-11-01;india;130683.6903163263
aguascalientes;agu;mexico;institutonacionaldeestadisticaygeografia(inegi);17;2021-11-01;mexico;5547.9533427834
queensland;qld;australia;queenslanduniversityoftechnology;26;2021-11-01;australia;1730135.5915559076
oregon;or;unitedstates;"oregonhealth&amp;scienceuniversity";17;2021-11-01;unitedstates;251886.9829907966
britishcolumbia;bc;canada;universityofvictoria;22;2021-11-01;canada;945598.3248456959
brussels-capitalregion;bru;belgium;vrijeuniversiteitbrussel;15;2021-11-01;;
texas;tx;unitedstates;erikjonssonschoolofengineeringandcomputerscience;51;2021-11-01;unitedstates;685338.8687343894
shanghai;shanghai;china;donghuauniversity;49;2021-12-28;;6746.0374352377
;pg;italy;universitadeglistudidiperugia;9;2021-12-10;;
guangdong;guangdong;china;sunyat-senuniversity;1;2021-12-01;;175489.8177846857
hubei;hubei;china;chinashipdevelopmentanddesigncenter;3;2021-12-01;;185599.3219275883
;mi;italy;asstgrandeospedalemetropolitanoniguarda;170;2021-12-01;;
heilongjiang;heilongjiang;china;harbininstituteoftechnology;21;2021-12-01;;452255.9859723494
;harjumaa;estonia;tallinnatehnikaulikool;0;2021-12-01;;
nordjylland;nordjylland;denmark;aalborguniversity;32;2021-12-01;;7919.8189225484
;wht;belgium;universitedemons;44;2021-12-01;;
;gyeonggi-do;southkorea;kyonggiuniversity;2;2021-12-01;;
;gharbia;egypt;facultyofengineering;43;2021-12-01;;
oxfordshire;oxfordshire;unitedkingdom;oxfordsocialsciencesdivision;37;2021-12-01;;2617.0936147012
gwynedd;gwynedd;unitedkingdom;bangoruniversity;6;2021-12-01;;2587.3813622168
groningen;groningen;netherlands;rijksuniversiteitgroningen;45;2021-12-01;;2396.0322174076
;ile-de-france;france;sorbonneuniversite;19;2021-12-01;;
;stockholms;sweden;theroyalinstituteoftechnology(kth);60;2021-12-01;;
hessen;hessen;germany;technischeuniversitatdarmstadt;5;2021-12-01;;21012.4690108772
gelderland;gelderland;netherlands;"wageningenuniversity&amp;research";93;2021-12-01;;5133.7128302247
meknes-tafilalet;meknes-tafilalet;morocco;universitemoulayismail;49;2021-12-01;;58938.0997002239
hertfordshire;hertfordshire;unitedkingdom;hertfordshirebusinessschool;52;2021-12-01;;1633.1582221829
hunan;hunan;china;centralsouthuniversity;52;2021-12-01;;211351.4896151163
hubei;hubei;china;wuhanuniversity;1;2021-11-25;;185599.3219275883
shandong;shandong;china;shandongnormaluniversity;5;2021-11-03;;155914.8264022369
bremen;bremen;germany;universitatbremen;85;2021-11-01;;385.6647920868
midtjylland;midtjylland;denmark;aarhusuniversitet;21;2021-11-01;;13190.98608415
guangdong;guangdong;china;nanfangcollegeofsunyet-senuniversity;13;2021-11-01;;175489.8177846857
;wales;unitedkingdom;cardiffmetropolitanuniversity;35;2021-11-01;;
yunnan;yunnan;china;yunnannormaluniversity;3;2021-11-01;;385394.9249282127
;scotland;unitedkingdom;universityofaberdeen;3;2021-11-01;;
noord-brabant;noord-brabant;netherlands;tilburglawschool;20;2021-11-01;;5201.1124418825
;uk;india;centralbuildingresearchinstituteindia;43;2021-11-01;;
hubei;hubei;china;huazhonguniversityofscienceandtechnology;15;2021-11-01;;185599.3219275883
;centraldistrict;israel;ruppinacademiccenter;45;2021-11-01;;
khuzestan;khuzestan;iran;shahidchamranuniversityofahvaz;7;2021-11-01;;63838.1016964094
baden-wurttemberg;baden-wurttemberg;germany;eberhardkarlsuniversitattubingen;21;2021-11-01;;36123.5600929418
;tehranprovince;iran;islamicazaduniversity,westtehranbranch;139;2021-11-01;;
uusimaa;uusimaa;finland;helsinginyliopisto;42;2021-11-01;;9037.1435028818
;hauts-de-france;france;imtnordeurope;7;2021-10-30;;
jiangxi;jiangxi;china;jiangxiuniversityofchinesemedicine;1;2021-10-29;;167798.2020149683
beijing;na;china;stategridcorporationofchina;6;2021-12-28;;16251.9254289633
;na;unitedkingdom;policytracker;1;2021-12-24;;22789.176045694
;na;unitedkingdom;policytracker;1;2021-12-24;;30.9980156679
;na;unitedkingdom;policytracker;1;2021-12-24;;7.6593176403
;na;unitedkingdom;policytracker;1;2021-12-24;;0.6005401661
;na;unitedkingdom;policytracker;1;2021-12-24;;3.022459955
;na;unitedkingdom;policytracker;1;2021-12-24;;133.2970135584
;na;unitedkingdom;policytracker;1;2021-12-24;;37.8687418131
mexico;na;mexico;institutonacionaldegeriatria;5;2021-12-22;;21825.7223219755
utrecht;na;netherlands;universiteitutrecht;23;2021-12-10;;1395.3875657593
;na;unitedkingdom;holisticai;13;2021-12-01;;
;na;poland;uniwersytetszczecinski;6;2021-12-01;;
;na;southkorea;sangjiuniversity;21;2021-12-01;;
;na;poland;gdanskuniversityoftechnology;2;2021-12-01;;
;na;na;na;25;2021-12-01;;
brussels;na;belgium;europeanparliament;4;2021-12-01;;164.5380927464
bristol;na;unitedkingdom;universityofbristol;38;2021-12-01;;122.0538383163
