state_name;affiliation_state;affiliation_country;affiliation_name;citied_by;cover_date;country_name;area_km2
geneva;ge;switzerland;worldpsychiatricassociation;1;2024-12-27;;
pennsylvania;pa;unitedstates;pennsylvaniastateuniversity;0;2024-12-27;unitedstates;119356.6385566692
indiana;in;unitedstates;indianauniversity-purdueuniversityindianapolis;0;2024-12-26;unitedstates;94332.3449078269
newsouthwales;nsw;australia;universityoftechnologysydney;3;2024-12-21;australia;801934.7316220269
gujarat;gj;india;marwadiuniversity;0;2024-12-20;india;184427.9817839093
lucerne;lu;switzerland;universitatluzern;0;2024-12-20;switzerland;1462.5592985113
tamilnadu;tn;india;hindustaninstituteoftechnologyandscience;0;2024-12-18;india;130683.6903163263
massachusetts;ma;unitedstates;northeasternuniversity;2;2024-12-17;unitedstates;21161.5293886358
lucerne;lu;switzerland;universitatluzern;0;2024-12-16;switzerland;1462.5592985113
nevada;nv;unitedstates;universityofnevada,reno;0;2024-12-16;unitedstates;287089.4246827738
districtofcolumbia;dc;unitedstates;u.s.departmentofveteransaffairs;0;2024-12-15;unitedstates;162.2352916304
maharashtra;mh;india;"symbiosisschoolofbanking&amp;finance";0;2024-12-10;india;306563.1909541172
indiana;in;unitedstates;indianauniversitybloomington;0;2024-12-10;unitedstates;94332.3449078269
kansas;ks;unitedstates;universityofkansas;0;2024-12-09;unitedstates;212825.5831370989
ontario;on;canada;universityofottawa;0;2024-12-09;canada;1077587.553876187
illinois;il;unitedstates;theuniversityofchicago;1;2024-12-09;unitedstates;150153.0283211724
ontario;on;canada;universityoftoronto;0;2024-12-08;canada;1077587.553876187
pennsylvania;pa;unitedstates;templeuniversity;0;2024-12-06;unitedstates;119356.6385566692
newyork;ny;unitedstates;edresearcher;0;2024-12-05;unitedstates;136932.6539458316
california;ca;unitedstates;stanforduniversity;0;2024-12-03;unitedstates;409736.0520512069
massachusetts;ma;unitedstates;mitmedialab;0;2024-12-02;unitedstates;21161.5293886358
texas;tx;unitedstates;collegeofengineering;0;2024-12-01;unitedstates;685338.8687343894
texas;tx;unitedstates;"texasa&amp;muniversity";0;2024-12-01;unitedstates;685338.8687343894
virginia;va;unitedstates;virginiapolytechnicinstituteandstateuniversity;0;2024-12-01;unitedstates;103724.922258893
hubei;hubei;china;wuhanuniversity;0;2024-12-31;;185599.3219275883
varna;varna;bulgaria;universityofeconomics-varna;0;2024-12-30;;3924.8027057425
zuid-holland;zuid-holland;netherlands;universiteitleiden;0;2024-12-30;;3194.8081331608
madrid;madrid;spain;universidadpolitecnicademadrid;0;2024-12-30;;8000.7993162946
selangor;selangor;malaysia;lincolnuniversitycollege,malaysia;1;2024-12-30;;7729.6797853954
;centralmacedonia;greece;aristotleuniversityofthessaloniki;0;2024-12-27;;
;efeler;turkey;aydinadnanmenderesuniversity;0;2024-12-27;;
;albatinah;oman;universityoftechnologyandappliedsciencesshinas;0;2024-12-25;;
sharjah;sharjah;unitedarabemirates;universityofsharjah;0;2024-12-24;;2583.6573637813
oyo;oyo;nigeria;firsttechnicaluniversity;0;2024-12-24;;27507.734274231
;auvergne-rhone-alpes;france;laboratoirehypoxieetphysiopathologiescardiovasculairesetrespiratoires;0;2024-12-23;;
gauteng;gauteng;southafrica;universityofpretoria;0;2024-12-20;;18213.915798629
thuringen;thuringen;germany;iuinternationalehochschulegmbh;0;2024-12-19;;16067.872923431
kwara;kwara;nigeria;kwarastateuniversity;0;2024-12-18;;35692.4657851502
;bo;italy;almamaterstudiorumuniversitadibologna;0;2024-12-16;;
easterncape;easterncape;southafrica;rhodesuniversity;0;2024-12-16;;169346.2749856798
;bo;italy;almamaterstudiorumuniversitadibologna;0;2024-12-16;;
;bo;italy;almamaterstudiorumuniversitadibologna;0;2024-12-16;;
gauteng;gauteng;southafrica;collegeofbusinessandeconomics;0;2024-12-15;;18213.915798629
dhofar;dhofar;oman;dhofaruniversity;1;2024-12-15;;128193.5822137935
johor;johor;malaysia;universititunhusseinonnmalaysia;0;2024-12-15;;19192.8464825936
aveiro;aveiro;portugal;ciceco-institutodemateriaisdeaveiro;3;2024-12-15;;2766.6959849103
kwazulu-natal;kwazulu-natal;southafrica;universityofkwazulu-natal;0;2024-12-12;;94006.1687446395
zhejiang;zhejiang;china;zhejianguniversity;0;2024-12-09;;101337.2056883386
gauteng;gauteng;southafrica;humansciencesresearchcouncilofsouthafrica;0;2024-12-09;;18213.915798629
beijing;beijing;china;theopenuniversityofchina;0;2024-12-06;;16251.9254289633
;scotland;unitedkingdom;robertgordonuniversity;0;2024-12-05;;
uppsala;uppsala;sweden;uppsalauniversitet;0;2024-12-05;;7006.354987141
gelderland;gelderland;netherlands;radbouduniversiteit;0;2024-12-05;;5133.7128302247
lagos;lagos;nigeria;universityoflagos;0;2024-12-05;;3545.1817261892
cadiz;cadiz;spain;universidaddecadiz;0;2024-12-02;;7428.5232725645
tarragona;tarragona;spain;universitatroviraivirgili;0;2024-12-02;;6265.436468496
;greatermanchester;unitedkingdom;universityofsalford;0;2024-12-02;;
easterncape;easterncape;southafrica;universityofforthare;0;2024-12-02;;169346.2749856798
van;van;belgium;universiteitantwerpen;0;2024-12-02;;19472.9480196998
abudhabi;abudhabi;unitedarabemirates;sorbonneuniversityabudhabi;0;2024-12-02;;59354.3902809608
;westjava;indonesia;universitaskomputerindonesia;0;2024-12-01;;
lima;lima;peru;universidadnacionaltecnologicadelimasur;0;2024-12-01;;32501.4450540356
yogyakarta;yogyakarta;indonesia;universitasnegeriyogyakarta;0;2024-12-01;;3040.9786266081
;casablanca-settat;morocco;hassaniiuniversityofcasablanca;0;2024-12-01;;
;centralluzon;philippines;nuevaecijauniversityofscienceandtechnology(neust);0;2024-12-01;;
madrid;madrid;spain;universidadautonomademadrid;0;2024-12-01;;8000.7993162946
;trondelag;norway;norgesteknisk-naturvitenskapeligeuniversitet;0;2024-12-01;;
salamanca;salamanca;spain;universidaddesalamanca;0;2024-12-01;;12578.5401355887
;sindh;pakistan;theagakhanuniversity;0;2024-12-01;;
;si;italy;universitadeglistudidisiena;0;2024-12-01;;
beijing;na;china;centraluniversityoffinanceandeconomics;0;2024-12-31;;16251.9254289633
busan;na;southkorea;pukyongnationaluniversity;0;2024-12-31;;282.0941524978
;na;indonesia;universitasmuhammadiyahsemarang;0;2024-12-31;;
;na;slovakia;universityofzilina;0;2024-12-30;;
;na;poland;stateuniversityofappliedsciences;0;2024-12-30;;
;na;ghana;universityofghanabusinessschool;0;2024-12-30;;
;na;unitedkingdom;imperialcollegelondon;0;2024-12-26;;
istanbul;na;turkey;kadirhasuniversitesi;0;2024-12-18;;4807.2010887487
;na;india;banrasidaschandiwalainstituteofprofessionalstudies;0;2024-12-18;;22789.176045694
;na;india;banrasidaschandiwalainstituteofprofessionalstudies;0;2024-12-18;;30.9980156679
;na;india;banrasidaschandiwalainstituteofprofessionalstudies;0;2024-12-18;;7.6593176403
;na;india;banrasidaschandiwalainstituteofprofessionalstudies;0;2024-12-18;;0.6005401661
;na;india;banrasidaschandiwalainstituteofprofessionalstudies;0;2024-12-18;;3.022459955
;na;india;banrasidaschandiwalainstituteofprofessionalstudies;0;2024-12-18;;133.2970135584
;na;india;banrasidaschandiwalainstituteofprofessionalstudies;0;2024-12-18;;37.8687418131
manila;na;philippines;mapuauniversity;0;2024-12-18;;49.1641549355
;na;portugal;unitednationsuniversity;0;2024-12-16;;
;na;bangladesh;bangladeshopenuniversity;0;2024-12-15;;
;na;na;na;0;2024-12-12;;
;na;indonesia;universitas17agustus1945samarinda;0;2024-12-06;;
;na;india;"collegeofhorticulture&amp;forestry";0;2024-12-06;;
;na;india;dbs;0;2024-12-06;;
;na;malaysia;head-regularoryaffairsapac;0;2024-12-06;;
bihar;na;india;collegeofagriculture;0;2024-12-06;;94689.3660305596
kars;na;turkiye;kafkasuniversitesi;0;2024-12-05;;10510.9413698705
;na;tanzania;d-treeinternational;0;2024-12-04;;
lagos;na;nigeria;technologyconsultingandresearch;0;2024-12-04;;3545.1817261892
;na;russianfederation;instituteofscientificinformationonsocialsciences,russianacademyofsciences;0;2024-12-01;;
;na;unitedkingdom;londonschoolofeconomicsandpoliticalscience;0;2024-12-01;;
;na;russianfederation;russianpresidentialacademyofnationaleconomyandpublicadministration;0;2024-12-01;;
bucharest;na;romania;universitateaspiruharet;0;2024-12-01;;284.4997537065
chongqing;na;china;southwestuniversity;0;2024-12-01;;82362.5464307894
berlin;na;germany;technischeuniversitatberlin;0;2024-12-01;;889.247879319
koper;na;slovenia;universityofprimorska;0;2024-12-01;;312.4137624811
;na;na;na;0;2024-12-01;;
victoria;vic;australia;melbournelawschool;0;2024-12-15;;227944.597594159
victoria;vic;australia;melbournelawschool;0;2024-12-15;;227944.597594159
