state_name;affiliation_state;affiliation_country;affiliation_name;citied_by;cover_date;country_name;area_km2
newjersey;nj;unitedstates;proteindatabank;354;2023-01-06;unitedstates;19667.4032436701
massachusetts;ma;unitedstates;northeasternuniversity;345;2023-01-01;unitedstates;21161.5293886358
queensland;qld;australia;queenslanduniversityoftechnology;306;2023-12-01;australia;1730135.5915559076
newsouthwales;nsw;australia;macquarieuniversity;230;2023-12-01;australia;801934.7316220269
georgia;ga;unitedstates;kennesawstateuniversity;152;2023-06-01;unitedstates;152164.1143214319
aucklandregion;auk;newzealand;theuniversityofauckland;152;2023-01-01;;
gujarat;gj;india;nirmauniversity,instituteoftechnology;148;2023-02-01;india;184427.9817839093
texas;tx;unitedstates;samhoustonstateuniversity;141;2023-04-01;unitedstates;685338.8687343894
massachusetts;ma;unitedstates;llc;137;2023-07-01;unitedstates;21161.5293886358
uttarpradesh;up;india;bennettuniversity;130;2023-06-01;india;240261.4837625755
rajasthan;rj;india;birlainstituteoftechnologyandscience,pilani;125;2023-01-01;india;343081.5107532024
rajasthan;rj;india;manipaluniversityjaipur;122;2023-04-01;india;343081.5107532024
quebec;qc;canada;ecoledetechnologiesuperieure;119;2023-02-01;canada;1505505.2764716432
pennsylvania;pa;unitedstates;universityofpennsylvaniaschoolofdentalmedicine;117;2023-10-01;unitedstates;119356.6385566692
ontario;on;canada;universityofguelph;115;2023-01-01;canada;1077587.553876187
newsouthwales;nsw;australia;theuniversityofnewcastle,australia;114;2023-06-01;australia;801934.7316220269
westbengal;wb;india;kazinazruluniversity;113;2023-12-01;india;86363.0481262015
vaud;vd;switzerland;centrehospitalieruniversitairevaudois;112;2023-11-01;switzerland;3312.1476662723
aucklandregion;auk;newzealand;masseyuniversityauckland;107;2023-01-01;;
california;ca;unitedstates;googlellc;106;2023-06-17;unitedstates;409736.0520512069
pennsylvania;pa;unitedstates;drexeluniversity;106;2023-06-01;unitedstates;119356.6385566692
newfoundlandandlabrador;nl;canada;memorialuniversityofnewfoundland;104;2023-01-01;canada;403323.6392799639
zhejiang;zhejiang;china;westlakeuniversity;795;2023-12-29;;101337.2056883386
shaanxi;shaanxi;china;xi'anjiaotonguniversity;622;2023-01-01;;205731.1595793134
;kafrel-sheikh;egypt;facultyofartificialintelligence;294;2023-10-01;;
;mp;poland;krakowuniversityofeconomics;210;2023-06-01;;
selangor;selangor;malaysia;universitikebangsaanmalaysia;192;2023-01-01;;7729.6797853954
somerset;somerset;unitedkingdom;universityofbath,departmentofcomputerscience;189;2023-01-01;;3437.3568983897
balikesir;balikesir;turkey;bandirmaonyedieyluluniversity;183;2023-03-01;;14542.3975783247
;vienna;austria;bokuuniversity;177;2023-05-25;;
fars;fars;iran;shirazuniversityoftechnology;172;2023-01-01;;125717.2778373775
shaanxi;shaanxi;china;northwestuniversity;163;2023-12-01;;205731.1595793134
murcia;murcia;spain;universidaddemurcia;156;2023-01-01;;11309.7477141351
jiangsu;jiangsu;china;nanjinguniversityofchinesemedicine;153;2023-12-01;;100090.7772935139
;hongkong;hongkong;hongkongcentreforcerebro-caradiovasularhealthengineering(coche);147;2023-09-01;;
hunan;hunan;china;changshauniversityofscienceandtechnology;147;2023-03-01;;211351.4896151163
guangdong;guangdong;china;zhongkaiuniversityofagricultureandengineering;146;2023-06-01;;175489.8177846857
dhaka;dhaka;bangladesh;jagannathuniversity,bangladesh;144;2023-02-01;;30548.5646266249
;rasalkhaimah;unitedarabemirates;hct-rasalkhaimahcampus;141;2023-01-01;;
hubei;hubei;china;wuhantextileuniversity;141;2023-07-12;;185599.3219275883
hunan;hunan;china;centralsouthuniversity;140;2023-01-01;;211351.4896151163
zhejiang;zhejiang;china;zhejianggongshanguniversity;138;2023-02-01;;101337.2056883386
dhaka;dhaka;bangladesh;nationalinstituteoftextileengineeringandresearch(niter),universityofdhaka;137;2023-08-01;;30548.5646266249
zhejiang;zhejiang;china;collegeofenvironmentalandresourcesciences;136;2023-04-06;;101337.2056883386
selangor;selangor;malaysia;universitikebangsaanmalaysia;136;2023-02-01;;7729.6797853954
hunan;hunan;china;hunanuniversityofscienceandtechnology;136;2023-09-01;;211351.4896151163
southkarelia;southkarelia;finland;lutuniversity;133;2023-02-01;;7308.4755358257
jiangsu;jiangsu;china;nanjinguniversity;130;2023-04-01;;100090.7772935139
;gyeongnam;southkorea;injeuniversity;130;2023-01-01;;
jiangsu;jiangsu;china;hohaiuniversity;130;2023-02-01;;100090.7772935139
hunan;hunan;china;hunanuniversity;129;2023-12-01;;211351.4896151163
arriyad;arriyad;saudiarabia;princesattambinabdulazizuniversity;127;2023-04-01;;377087.1139892674
heilongjiang;heilongjiang;china;harbininstituteoftechnology;125;2023-01-01;;452255.9859723494
shaanxi;shaanxi;china;northwesternpolytechnicaluniversity;124;2023-01-01;;205731.1595793134
beijing;beijing;china;chineseacademyofsciences;121;2023-01-01;;16251.9254289633
jiangsu;jiangsu;china;soochowuniversity;120;2023-10-01;;100090.7772935139
zhejiang;zhejiang;china;wenzhouuniversity;120;2023-02-01;;101337.2056883386
hubei;hubei;china;wuhanuniversity;119;2023-01-01;;185599.3219275883
;eastazarbaijanprovince;iran;islamicazaduniversity,tabrizbranch;117;2023-11-01;;
heilongjiang;heilongjiang;china;harbininstituteoftechnology;117;2023-01-01;;452255.9859723494
jiangxi;jiangxi;china;nanchanguniversity;117;2023-01-01;;167798.2020149683
;eastjava;indonesia;universitassurabaya;116;2023-03-01;;
;eastazarbaijanprovince;iran;islamicazaduniversity,tabrizbranch;115;2023-12-01;;
shaanxi;shaanxi;china;xidianuniversity;114;2023-02-15;;205731.1595793134
;rm;italy;sapienzauniversitadiroma;114;2023-04-01;;
;hongkong;hongkong;thehongkongpolytechnicuniversity;113;2023-09-14;;
;southmoravianregion;czechrepublic;brnouniversityoftechnology;112;2023-06-29;;
shaanxi;shaanxi;china;xidianuniversity;111;2023-11-01;;205731.1595793134
shanxi;shanxi;china;northuniversityofchina;110;2023-09-15;;156093.5465970927
liaoning;liaoning;china;shenyangaerospaceuniversity;110;2023-01-01;;146513.7227709306
;munster;ireland;universityoflimerick;107;2023-02-01;;
shaanxi;shaanxi;china;xi'anjiaotonguniversity;106;2023-09-01;;205731.1595793134
shaanxi;shaanxi;china;shaanxinormaluniversity;103;2023-01-01;;205731.1595793134
;eastazarbaijanprovince;iran;islamicazaduniversity,tabrizbranch;103;2023-05-15;;
;na;hongkong;theuniversityofhongkong;389;2023-12-01;;
chittagong;na;bangladesh;asianuniversityforwomen;264;2023-11-01;;29223.1452326525
;na;india;jamiamilliaislamia;235;2023-02-01;;
alahmadi;na;kuwait;americanuniversityofthemiddleeast;234;2023-01-01;;4812.9025864688
;na;china;taiyuanuniversityofscienceandtechnology;203;2023-02-01;;
;na;qatar;departmentofarchitectureandurbanplanning,collegeofengineering,qataruniversity;198;2023-06-01;;
;na;qatar;collegeofengineering,qataruniversity;195;2023-06-01;;
;na;france;"sustainableagrifoodtechinnovation&amp;research(safir)";171;2023-01-01;;
;na;pakistan;informationtechnologyuniversity;162;2023-05-01;;
samsun;na;turkiye;ondokuzmayisuniversitesi;162;2023-02-01;;9468.8729270745
