state_name;affiliation_state;affiliation_country;affiliation_name;citied_by;cover_date;country_name;area_km2
california;ca;unitedstates;stanforduniversityschoolofmedicine;264;2022-02-05;unitedstates;409736.0520512069
tennessee;tn;unitedstates;"collegeofarts&amp;sciences";143;2022-01-01;unitedstates;109298.3231164403
newyork;ny;unitedstates;columbiabusinessschool;137;2022-06-01;unitedstates;136932.6539458316
zurich;zh;switzerland;universitatzurich;131;2022-04-01;switzerland;1738.6108428883
ontario;on;canada;universityofwaterloo;115;2022-01-01;canada;1077587.553876187
tamilnadu;tn;india;nationalinstituteoftechnologytiruchirappalli;92;2022-01-01;india;130683.6903163263
texas;tx;unitedstates;mccoycollegeofbusiness;84;2022-03-01;unitedstates;685338.8687343894
louisiana;la;unitedstates;universityofneworleans;83;2022-11-01;unitedstates;119547.6575548466
ontario;on;canada;responsiblegamblingcouncil;80;2022-02-01;canada;1077587.553876187
pennsylvania;pa;unitedstates;universityofpennsylvania;73;2022-01-01;unitedstates;119356.6385566692
georgia;ga;unitedstates;schellercollegeofbusiness;72;2022-11-01;unitedstates;152164.1143214319
delhi;dl;india;allindiainstituteofmedicalsciences,newdelhi;70;2022-05-01;india;1482.3887299728
karnataka;ka;india;nationalinstituteofmentalhealthandneurosciences;64;2022-06-01;india;191841.355605401
gujarat;gj;india;nirmauniversity,instituteofmanagement;62;2022-03-01;india;184427.9817839093
saopaulo;sp;brazil;universidadeestadualdecampinas;61;2022-12-01;brazil;248638.1451676981
ontario;on;canada;royalmilitarycollegeofcanada;58;2022-10-01;canada;1077587.553876187
districtofcolumbia;dc;unitedstates;panamericanhealthorganization;58;2022-01-01;unitedstates;162.2352916304
ontario;on;canada;gordons.langschoolofbusinessandeconomics;57;2022-11-01;canada;1077587.553876187
guangdong;guangdong;china;guangzhoucollegeoftechnologyandbusiness;307;2022-12-01;;175489.8177846857
skane;skane;sweden;ekonomihogskolanvidlundsuniversitet;257;2022-03-01;;11481.8216306491
shandong;shandong;china;qingdaouniversity;227;2022-02-01;;155914.8264022369
shaanxi;shaanxi;china;northwestuniversity;214;2022-10-01;;205731.1595793134
ogun;ogun;nigeria;federaluniversityofagriculture,abeokuta;191;2022-08-01;;16208.1297856275
;southyorkshire;unitedkingdom;theuniversityofsheffield;164;2022-02-01;;
jiangsu;jiangsu;china;nanjingnormaluniversity;154;2022-01-01;;100090.7772935139
;ile-de-france;france;sciencespoparis;151;2022-09-01;;
;vr;italy;universitadeglistudidiverona;140;2022-01-01;;
hunan;hunan;china;centralsouthuniversity;133;2022-09-01;;211351.4896151163
;rabat-sale-kenitra;morocco;internationaluniversityofrabat;129;2022-05-01;;
hunan;hunan;china;changshauniversityofscienceandtechnology;125;2022-05-01;;211351.4896151163
merseyside;merseyside;unitedkingdom;universityofliverpool;123;2022-08-01;;138.6718812309
;sindh;pakistan;ilmauniversity;116;2022-03-02;;
hampshire;hampshire;unitedkingdom;southamptonbusinessschool;110;2022-07-01;;3642.39866055
liaoning;liaoning;china;liaoninguniversityoftechnology;108;2022-03-25;;146513.7227709306
;rabat-sale-kenitra;morocco;internationaluniversityofrabat;103;2022-03-15;;
abudhabi;abudhabi;unitedarabemirates;unitedarabemiratesuniversity;96;2022-04-01;;59354.3902809608
oxfordshire;oxfordshire;unitedkingdom;universityofoxford;86;2022-01-01;;2617.0936147012
shandong;shandong;china;shandonguniversityofscienceandtechnology;86;2022-01-01;;155914.8264022369
hunan;hunan;china;changshauniversityofscienceandtechnology;84;2022-04-01;;211351.4896151163
baden-wurttemberg;baden-wurttemberg;germany;zentrumfureuropaischewirtschaftsforschunggmbh;83;2022-02-01;;36123.5600929418
;canaryislands;spain;universidaddelaspalmasdegrancanaria;82;2022-05-01;;
;alexandria;egypt;alexandriauniversity;81;2022-01-01;;
;stockholms;sweden;theroyalinstituteoftechnology(kth);79;2022-05-01;;
jiangsu;jiangsu;china;nanjinguniversityofscienceandtechnology;76;2022-02-01;;100090.7772935139
abudhabi;abudhabi;unitedarabemirates;unitedarabemiratesuniversity;74;2022-10-01;;59354.3902809608
oxfordshire;oxfordshire;unitedkingdom;universityofoxford;74;2022-05-01;;2617.0936147012
;rm;italy;sapienzauniversitadiroma;74;2022-08-01;;
selangor;selangor;malaysia;nottinghamuniversitybusinessschoolmalaysia;73;2022-09-15;;7729.6797853954
jiangxi;jiangxi;china;jiangxiuniversityoffinanceandeconomics;73;2022-04-01;;167798.2020149683
;occitanie;france;universitedemontpellier;71;2022-02-01;;
hubei;hubei;china;hubeiuniversityofeconomics;70;2022-01-01;;185599.3219275883
amman;amman;jordan;philadelphiauniversity;68;2022-09-01;;7871.3516534212
surrey;surrey;unitedkingdom;kingstonbusinessschool;66;2022-06-01;;1683.0304026124
mountlebanon;mountlebanon;lebanon;beirutarabuniversity;66;2022-02-01;;2012.9676161242
;seville;spain;universidaddesevilla;66;2022-05-19;;
hubei;hubei;china;wuchanguniversityoftechnology;63;2022-01-01;;185599.3219275883
rheinland-pfalz;rheinland-pfalz;germany;universitattrier;63;2022-02-01;;20096.5156115097
jiangxi;jiangxi;china;nanchanguniversity;62;2022-11-01;;167798.2020149683
eastsussex;eastsussex;unitedkingdom;universityofsussex;62;2022-03-01;;1671.9896435443
;me;italy;istitutoditecnologieavanzateperl'energia,messina;62;2022-01-15;;
southkarelia;southkarelia;finland;lutkauppakorkeakoulu;62;2022-03-01;;7308.4755358257
hampshire;hampshire;unitedkingdom;southamptonbusinessschool;61;2022-01-01;;3642.39866055
liaoning;liaoning;china;dalianuniversityoftechnology;60;2022-12-01;;146513.7227709306
;crete;greece;hellenicmediterraneanuniversity;59;2022-07-01;;
jiangsu;jiangsu;china;jiangsuuniversity;59;2022-02-01;;100090.7772935139
;hongkong;hongkong;thehongkongpolytechnicuniversity;59;2022-02-25;;
merseyside;merseyside;unitedkingdom;liverpoolbusinessschool;58;2022-02-17;;138.6718812309
berlin;na;germany;hochschulefurwirtschaftundrechtberlin;656;2022-12-01;;889.247879319
shanghai;na;china;fudanuniversity;334;2022-11-01;;6746.0374352377
shanghai;na;china;tongjiuniversity;178;2022-03-01;;6746.0374352377
beijing;na;china;beijinginstituteoftechnology;177;2022-04-01;;16251.9254289633
;na;israel;onoacademiccollege;166;2022-06-01;;
;na;china;zhejianguniversityoffinanceandeconomics;149;2022-09-01;;
;na;nigeria;centralbankofnigeria;149;2022-04-05;;
;na;unitedkingdom;thebartlettfacultyofthebuiltenvironment;145;2022-01-01;;
;na;pakistan;universityofmanagementandtechnologylahore;115;2022-05-01;;
;na;italy;universitadeglistudidigenova;102;2022-02-01;;
dhaka;na;bangladesh;bracuniversity;100;2022-08-01;;30548.5646266249
;na;taiwan;asiauniversity;99;2022-03-01;;
kualalumpur;na;malaysia;internationalislamicuniversitymalaysia;94;2022-12-01;;239.0553990456
;na;pakistan;universityofmanagementandtechnologylahore;88;2022-04-07;;
reykjavik;na;iceland;haskoliislands;87;2022-10-01;;355.0193636221
;na;mauritius;universityofmauritius;83;2022-09-01;;
;na;na;na;80;2022-04-28;;
famagusta;na;cyprus;isletmeveekonomifakultesi;77;2022-09-01;;194.7549662801
;na;srilanka;universityofperadeniya;75;2022-12-01;;
;na;italy;luissuniversity;75;2022-07-01;;
;na;bruneidarussalam;universititeknologibrunei;71;2022-01-01;;
beijing;na;china;universityofchineseacademyofsciences;70;2022-08-01;;16251.9254289633
;na;unitedkingdom;king'scollegelondon;68;2022-01-01;;
beijing;na;china;beijingnormaluniversity;68;2022-01-01;;16251.9254289633
beijing;na;china;pekinguniversity;67;2022-12-01;;16251.9254289633
hochiminhcity;na;vietnam;universityoffinance-marketing;60;2022-08-01;;1908.3472445416
hanoi;na;vietnam;phenikaauniversity;59;2022-03-01;;3303.2150049986
beijing;na;china;beihanguniversity;58;2022-01-01;;16251.9254289633
florida;fl;unitedstates;universityofcentralflorida;84;2022-05-01;;146717.8790698472
florida;fl;unitedstates;universityofcentralflorida;84;2022-05-01;;146717.8790698472
victoria;vic;australia;swinburnebusinessschool;65;2022-05-26;;227944.597594159
victoria;vic;australia;swinburnebusinessschool;65;2022-05-26;;227944.597594159
victoria;vic;australia;rmituniversity;61;2022-01-03;;227944.597594159
victoria;vic;australia;rmituniversity;61;2022-01-03;;227944.597594159
punjab;punjab;pakistan;namaluniversity;102;2022-01-01;;203843.6330733062
punjab;punjab;pakistan;namaluniversity;102;2022-01-01;;203843.6330733062
punjab;punjab;pakistan;sulemandawoodschoolofbusiness;66;2022-11-01;;203843.6330733062
punjab;punjab;pakistan;sulemandawoodschoolofbusiness;66;2022-11-01;;203843.6330733062
