state_name;affiliation_state;affiliation_country;affiliation_name;citied_by;cover_date;country_name;area_km2
tamilnadu;tn;india;velloreinstituteoftechnology;451;2021-02-01;india;130683.6903163263
california;ca;unitedstates;googlellc;403;2021-06-10;unitedstates;409736.0520512069
colorado;co;unitedstates;nationalrenewableenergylaboratory;399;2021-03-01;unitedstates;269201.8602314456
california;ca;unitedstates;facebookresearch;374;2021-05-21;unitedstates;409736.0520512069
california;ca;unitedstates;intelcorporation;354;2021-05-01;unitedstates;409736.0520512069
newsouthwales;nsw;australia;schoolofcomputerscience;316;2021-02-01;australia;801934.7316220269
ontario;on;canada;carletonuniversity;307;2021-04-01;canada;1077587.553876187
aichi;aichi;japan;nagoyainstituteoftechnology;545;2021-10-01;;4939.5654305843
fujian;fujian;china;fuzhouuniversity;536;2021-02-18;;120723.6958900323
niedersachsen;niedersachsen;germany;gottfriedwilhelmleibnizuniversitathannover;447;2021-04-01;;47595.5433570332
niedersachsen;niedersachsen;germany;georg-august-universitatgottingen;440;2021-08-25;;47595.5433570332
selangor;selangor;malaysia;universitikebangsaanmalaysia;378;2021-11-01;;7729.6797853954
hubei;hubei;china;wuhannationallaboratoryforoptoelectronics;323;2021-01-19;;185599.3219275883
;southyorkshire;unitedkingdom;theuniversityofsheffield;315;2021-01-01;;
;scotland;unitedkingdom;universityofglasgow;303;2021-07-15;;
hebei;hebei;china;hebeiuniversity;298;2021-02-01;;188968.3850206354
niedersachsen;niedersachsen;germany;georg-august-universitatgottingen;295;2021-12-01;;47595.5433570332
;rm;italy;universitadeglistudiromatre;290;2021-04-01;;
berlin;na;germany;technischeuniversitatberlin;799;2021-08-25;;889.247879319
;na;macao;statekeylaboratoryofinternetofthingsforsmartcity;601;2021-03-20;;
beijing;na;china;universityofscienceandtechnologybeijing;503;2021-10-21;;16251.9254289633
;na;qatar;departmentofelectricalengineering,collegeofengineering,qataruniversity;409;2021-04-01;;
limassol;na;cyprus;cyprusuniversityoftechnology;374;2021-07-01;;1272.3010859636
rabat;na;morocco;ecolemohammadiad'ingenieurs,mohammedvuniversityinrabat;336;2021-06-01;;22.368830184
shanghai;na;china;tongjiuniversity;301;2021-05-01;;6746.0374352377
