state_name;affiliation_state;affiliation_country;affiliation_name;citied_by;cover_date;country_name;area_km2
uttarpradesh;up;india;dayalbagheducationalinstitute;74;2024-04-18;india;240261.4837625755
odisha;or;india;internationalmanagementinstitute,bhubaneswar;31;2024-01-15;india;155187.885956204
kerala;kl;india;universityofkerala;25;2024-02-01;india;37724.3515065956
odisha;or;india;c.v.ramanglobaluniversity;17;2024-02-01;india;155187.885956204
tamilnadu;tn;india;srminstituteofscienceandtechnologyramapuramcampus;15;2024-01-01;india;130683.6903163263
alabama;al;unitedstates;departmentofcivil,construction,andenvironmentalengineering;14;2024-01-10;unitedstates;133834.9089337738
tamilnadu;tn;india;christianmedicalcollege,vellore;11;2024-04-01;india;130683.6903163263
texas;tx;unitedstates;houstonmethodist;10;2024-02-01;unitedstates;685338.8687343894
alabama;al;unitedstates;o'nealcomprehensivecancercenter;9;2024-06-01;unitedstates;133834.9089337738
zurich;zh;switzerland;schulthessklinik;9;2024-12-01;switzerland;1738.6108428883
alabama;al;unitedstates;universityofalabamaatbirminghamschoolofhealthprofessions;9;2024-09-01;unitedstates;133834.9089337738
texas;tx;unitedstates;theuniversityoftexasataustin;9;2024-03-15;unitedstates;685338.8687343894
westbengal;wb;india;indianinstituteoftechnologykharagpur;8;2024-12-01;india;86363.0481262015
odisha;or;india;c.v.ramanglobaluniversity;8;2024-03-01;india;155187.885956204
jammuandkashmir;jk;india;shrimatavaishnodeviuniversity;8;2024-10-01;india;42553.2471657589
tamilnadu;tn;india;velloreinstituteoftechnology;7;2024-01-01;india;130683.6903163263
hubei;hubei;china;wuhanuniversityoftechnology;23;2024-02-01;;185599.3219275883
pirkanmaa;pirkanmaa;finland;tampereuniversity;20;2024-05-07;;15050.7913468747
;leinster;ireland;trinitybusinessschool;20;2024-02-01;;
;constantineprovince;algeria;universiteconstantine2;11;2024-01-01;;
tehran;tehran;iran;sbumsschoolofmedicine;7;2024-06-01;;14417.313695594
shanghai;na;china;fudanuniversity;9;2024-05-01;;6746.0374352377
florida;fl;unitedstates;faucollegeofengineeringandcomputerscience;11;2024-12-01;;146717.8790698472
florida;fl;unitedstates;faucollegeofengineeringandcomputerscience;11;2024-12-01;;146717.8790698472
florida;fl;unitedstates;morsanicollegeofmedicine;9;2024-04-11;;146717.8790698472
florida;fl;unitedstates;morsanicollegeofmedicine;9;2024-04-11;;146717.8790698472
florida;fl;unitedstates;floridastateuniversity;8;2024-06-01;;146717.8790698472
florida;fl;unitedstates;floridastateuniversity;8;2024-06-01;;146717.8790698472
