state_name;affiliation_state;affiliation_country;affiliation_name;citied_by;cover_date;country_name;area_km2
massachusetts;ma;unitedstates;broadinstitute;821;2021-01-08;unitedstates;21161.5293886358
jammuandkashmir;jk;india;universityofjammu;580;2021-09-01;india;42553.2471657589
queensland;qld;australia;qimrberghofermedicalresearchinstitute;458;2021-12-01;australia;1730135.5915559076
massachusetts;ma;unitedstates;harvardmedicalschool;375;2021-06-01;unitedstates;21161.5293886358
newyork;ny;unitedstates;weillcornellmedicine;330;2021-01-01;unitedstates;136932.6539458316
alberta;ab;canada;cummingschoolofmedicine;266;2021-01-01;canada;663739.1300613766
connecticut;ct;unitedstates;yaleschoolofmedicine;257;2021-06-01;unitedstates;12704.5232646375
ontario;on;canada;universityoftoronto,instituteofbiomaterialsandbiomedicalengineering;251;2021-10-01;canada;1077587.553876187
newjersey;nj;unitedstates;rutgersschoolofhealthprofessions;193;2021-05-01;unitedstates;19667.4032436701
australiancapitalterritory;act;australia;commonwealthscientificandindustrialresearchorganisation;191;2021-02-01;australia;2349.2816671833
newyork;ny;unitedstates;icahnschoolofmedicineatmountsinai;169;2021-08-01;unitedstates;136932.6539458316
zurich;zh;switzerland;universitatzurich;161;2021-12-01;switzerland;1738.6108428883
newfoundlandandlabrador;nl;canada;memorialuniversityofnewfoundland;157;2021-01-01;canada;403323.6392799639
minnesota;mn;unitedstates;mayoclinic;154;2021-02-01;unitedstates;224780.1530011972
ontario;on;canada;universityoftoronto;152;2021-08-01;canada;1077587.553876187
newyork;ny;unitedstates;kategleasoncollegeofengineering;149;2021-03-01;unitedstates;136932.6539458316
louisiana;la;unitedstates;lsuhealthneworleansschoolofmedicine;148;2021-02-01;unitedstates;119547.6575548466
virginia;va;unitedstates;universityofvirginiaschoolofengineeringandappliedscience;147;2021-01-07;unitedstates;103724.922258893
massachusetts;ma;unitedstates;harvardmedicalschool;145;2021-11-01;unitedstates;21161.5293886358
texas;tx;unitedstates;theuniversityoftexasataustin;142;2021-07-01;unitedstates;685338.8687343894
massachusetts;ma;unitedstates;harvardmedicalschool;140;2021-12-01;unitedstates;21161.5293886358
zurich;zh;switzerland;ethzurich;129;2021-05-26;switzerland;1738.6108428883
california;ca;unitedstates;stanfordengineering;125;2021-06-01;unitedstates;409736.0520512069
michigan;mi;unitedstates;universityofmichigan,annarbor;122;2021-07-31;unitedstates;250043.5692191957
massachusetts;ma;unitedstates;massachusettsinstituteoftechnology;121;2021-04-15;unitedstates;21161.5293886358
california;ca;unitedstates;ucrschoolofmedicine;118;2021-10-01;unitedstates;409736.0520512069
newsouthwales;nsw;australia;universityofwollongong;118;2021-03-01;australia;801934.7316220269
ontario;on;canada;universityoftoronto;117;2021-06-01;canada;1077587.553876187
ohio;oh;unitedstates;clevelandclinicfoundation;114;2021-11-20;unitedstates;116043.6526534473
ontario;on;canada;universityoftorontofacultyofmedicine;114;2021-11-01;canada;1077587.553876187
newsouthwales;nsw;australia;universityoftechnologysydney;111;2021-09-01;australia;801934.7316220269
uttarpradesh;up;india;indianinstituteoftoxicologyresearch;105;2021-05-20;india;240261.4837625755
michigan;mi;unitedstates;universityofmichigan,annarbor;101;2021-12-01;unitedstates;250043.5692191957
guangdong;guangdong;china;southernmedicaluniversity;607;2021-07-02;;175489.8177846857
nordrhein-westfalen;nordrhein-westfalen;germany;universitatbonn;579;2021-06-10;;34537.8361635312
;ch;italy;universityofg.d'annunziochietiandpescara;519;2021-12-01;;
gelderland;gelderland;netherlands;radbouduniversitymedicalcenter;503;2021-05-01;;5133.7128302247
oxfordshire;oxfordshire;unitedkingdom;universityofoxfordmedicalsciencesdivision;435;2021-07-09;;2617.0936147012
;scotland;unitedkingdom;universityofdundeeschoolofmedicine;427;2021-07-01;;
;leinster;ireland;universitycollegedublin;339;2021-06-01;;
zhejiang;zhejiang;china;alibabagroupholdinglimited;329;2021-06-01;;101337.2056883386
tehran;tehran;iran;k.n.toosiuniversityoftechnology;268;2021-06-01;;14417.313695594
;makkahalmukarramah;saudiarabia;taifuniversity;265;2021-02-01;;
;styria;austria;medizinischeuniversitatgraz;264;2021-07-01;;
;acoruna;spain;universidadedacoruna;261;2021-01-01;;
;pi;italy;universitadipisa;245;2021-10-01;;
;wbr;belgium;universitecatholiquedelouvain;239;2021-03-01;;
yunnan;yunnan;china;yunnannormaluniversity;198;2021-07-29;;385394.9249282127
henan;henan;china;xinxiangmedicaluniversity;184;2021-04-16;;166146.9719278261
gelderland;gelderland;netherlands;"wageningenuniversity&amp;research";175;2021-08-01;;5133.7128302247
shandong;shandong;china;qingdaouniversity;172;2021-01-01;;155914.8264022369
;fi;italy;universitadeglistudidifirenze;165;2021-07-01;;
brandenburg;brandenburg;germany;hasso-plattner-institutfursoftwaresystemtechnikgmbh;162;2021-01-01;;30037.6959402187
sachsen;sachsen;germany;universitatsklinikumcarlgustavcarusdresden;158;2021-05-03;;18166.8780464507
;munster;ireland;apcmicrobiomeireland;155;2021-03-01;;
anhui;anhui;china;universityofscienceandtechnologyofchina;136;2021-10-01;;140193.6675195935
braga;braga;portugal;universidadedominho;132;2021-01-01;;2698.6616112343
;mi;italy;universitadeglistudidimilano-bicocca;131;2021-09-01;;
;evros;greece;universitygeneralhospitalofalexandroupolis;128;2021-01-01;;
noord-holland;noord-holland;netherlands;vrijeuniversiteitamsterdam;122;2021-06-01;;3485.8391249585
oxfordshire;oxfordshire;unitedkingdom;universityofoxford;121;2021-01-01;;2617.0936147012
;greatermanchester;unitedkingdom;theuniversityofmanchester;118;2021-06-01;;
;ile-de-france;france;institutpasteur,paris;116;2021-02-26;;
;acoruna;spain;universidadedacoruna;114;2021-09-10;;
heilongjiang;heilongjiang;china;harbininstituteoftechnology;113;2021-06-01;;452255.9859723494
hubei;hubei;china;huazhonguniversityofscienceandtechnology;112;2021-04-01;;185599.3219275883
;tyneandwear;unitedkingdom;newcastleuniversity;111;2021-09-09;;
kelantan;kelantan;malaysia;universitisainsmalaysia,healthcampus;103;2021-01-01;;15084.281730743
gelderland;gelderland;netherlands;"wageningenuniversity&amp;research";103;2021-04-01;;5133.7128302247
bayern;bayern;germany;technischeuniversitatmunchen;101;2021-12-01;;70023.8710338274
baden-wurttemberg;baden-wurttemberg;germany;universitatfreiburg;101;2021-01-01;;36123.5600929418
dhaka;na;bangladesh;universityofdhaka;613;2021-12-01;;30548.5646266249
;na;unitedkingdom;moorfieldseyehospitalnhsfoundationtrust;374;2021-05-01;;
brest;na;france;centrehospitalieruniversitairedebrest;269;2021-05-01;;32942.5726633818
;na;unitedkingdom;imperialcollegelondonschoolofmedicine;212;2021-09-01;;
shanghai;na;china;fudanuniversity;201;2021-12-01;;6746.0374352377
shanghai;na;china;shanghaijiaotonguniversityschoolofmedicine;198;2021-03-09;;6746.0374352377
madrid;na;spain;imdeafoodinstitute;198;2021-02-19;;8000.7993162946
;na;unitedkingdom;uclschoolofpharmacy;184;2021-11-01;;
;na;srilanka;universityofmoratuwa;166;2021-01-01;;
;na;bruneidarussalam;universitibruneidarussalam;150;2021-03-15;;
beijing;na;china;capitalmedicaluniversity;142;2021-02-01;;16251.9254289633
;na;unitedkingdom;king'scollegelondon;136;2021-03-01;;
;na;na;na;132;2021-05-01;;
;na;macao;instituteofchinesemedicalsciences;123;2021-10-10;;
;na;unitedkingdom;theinstituteofcancerresearch;123;2021-02-01;;
bristol;na;unitedkingdom;universityofthewestofengland;116;2021-09-01;;122.0538383163
;na;unitedkingdom;king'scollegelondon;113;2021-07-01;;
;na;unitedkingdom;thealanturinginstitute;111;2021-03-15;;
;na;israel;weizmanninstituteofscienceisrael;108;2021-06-11;;
;na;pakistan;bahriauniversity;108;2021-09-01;;
;na;france;irisinstitutderecherchesinternationalesservier;105;2021-12-01;;
tehran;na;iran;islamicazaduniversity,scienceandresearchbranch;105;2021-01-01;;14417.313695594
berlin;na;germany;technischeuniversitatberlin;104;2021-04-01;;889.247879319
;na;unitedkingdom;uclschoolofpharmacy;103;2021-08-01;;
maryland;md;unitedstates;nationalinstitutesofhealth(nih);220;2021-05-01;;25461.8359249494
maryland;md;unitedstates;nationalinstitutesofhealth(nih);220;2021-05-01;;25461.8359249494
maryland;md;unitedstates;nationalcenterforbiotechnologyinformation(ncbi);196;2021-01-08;;25461.8359249494
maryland;md;unitedstates;nationalcenterforbiotechnologyinformation(ncbi);196;2021-01-08;;25461.8359249494
maryland;md;unitedstates;thejohnshopkinshospital;169;2021-08-01;;25461.8359249494
maryland;md;unitedstates;thejohnshopkinshospital;169;2021-08-01;;25461.8359249494
florida;fl;unitedstates;universityoffloridacollegeofmedicine;140;2021-06-25;;146717.8790698472
florida;fl;unitedstates;universityoffloridacollegeofmedicine;140;2021-06-25;;146717.8790698472
saintgeorge;saintgeorge;saintvincentandthegrenadines;abc;111;2021-03-01;;55.3928261706
saintgeorge;saintgeorge;saintvincentandthegrenadines;abc;111;2021-03-01;;55.3928261706
saintgeorge;saintgeorge;saintvincentandthegrenadines;abc;111;2021-03-01;;55.3928261706
saintgeorge;saintgeorge;saintvincentandthegrenadines;abc;111;2021-03-01;;55.3928261706
saintgeorge;saintgeorge;saintvincentandthegrenadines;abc;111;2021-03-01;;55.3928261706
