state_name;affiliation_state;affiliation_country;affiliation_name;citied_by;cover_date;country_name;area_km2
andhrapradesh;ap;india;kldeemedtobeuniversity;0;2023-12-29;india;160581.4926456832
gujarat;gj;india;gujaratuniversity;3;2023-12-29;india;184427.98178390934
tamilnadu;tn;india;dhanabhagiyamkrishnasamymudaliarcollegeforwomen;0;2023-12-22;india;130683.69031632628
georgia;ga;unitedstates;collegeofengineering;3;2023-12-20;unitedstatesofamerica;152164.11432143187
california;ca;unitedstates;collegeofengineering;16;2023-12-20;unitedstatesofamerica;409736.05205120693
ontario;on;canada;iveybusinessschool;8;2023-12-15;canada;1077587.553876187
westernaustralia;wa;australia;theuniversityofwesternaustralia;1;2023-12-15;australia;2528138.6968684313
massachusetts;ma;unitedstates;universityofmassachusettsamherst;14;2023-12-12;unitedstatesofamerica;21161.529388635758
karnataka;ka;india;visvesvarayatechnologicaluniversity;0;2023-12-11;india;191841.35560540104
maharashtra;mh;india;vishwakarmainstituteoftechnology;1;2023-12-11;india;306563.1909541172
newyork;ny;unitedstates;brooklyncollege;0;2023-12-01;unitedstatesofamerica;136932.6539458316
newyork;ny;unitedstates;leonardn.sternschoolofbusiness;1;2023-12-01;unitedstatesofamerica;136932.6539458316
britishcolumbia;bc;canada;universitycanadawest;2;2023-12-01;canada;945598.3248456959
tamilnadu;tn;india;ssncollegeofengineering,kalavakkam;3;2023-12-01;india;130683.69031632628
westbengal;wb;india;indianinstituteoftechnologykharagpur;19;2023-12-01;india;86363.04812620154
ontario;on;canada;banqueducanada;3;2023-12-01;canada;1077587.553876187
indiana;in;unitedstates;collegeofagriculture;1;2023-12-01;unitedstatesofamerica;94332.34490782692
pernambuco;pe;brazil;universidadedepernambuco;2;2023-12-01;brazil;97630.0639357953
ticino;ti;switzerland;idsiadallemolleinstituteforartificialintelligence;2;2023-12-01;switzerland;2920.8460598454617
odisha;or;india;centurionuniversityoftechnologyandmanagement;3;2023-12-01;india;155187.88595620397
virginia;va;unitedstates;emergingtechnologiesinstitute;3;2023-12-01;unitedstatesofamerica;103724.92225889304
jharkhand;jh;india;amityuniversityjharkhand;10;2023-12-01;india;77947.98877239911
california;ca;unitedstates;universityofcalifornia,berkeley;1;2023-12-01;unitedstatesofamerica;409736.05205120693
illinois;il;unitedstates;thegraingercollegeofengineering;2;2023-12-01;unitedstatesofamerica;150153.0283211724
karnataka;ka;india;siddagangainstituteoftechnology;2;2023-12-01;india;191841.35560540104
texas;tx;unitedstates;baylorcollegeofmedicine;0;2023-12-01;unitedstatesofamerica;685338.8687343894
nevada;nv;unitedstates;universityofnevada,lasvegas;0;2023-12-01;unitedstatesofamerica;287089.42468277377
utah;ut;unitedstates;computersciencedepartment;2;2023-12-01;unitedstatesofamerica;219762.28584148962
newyork;ny;unitedstates;colgateuniversity;0;2023-12-01;unitedstatesofamerica;136932.6539458316
massachusetts;ma;unitedstates;collegeofengineering;1;2023-12-01;unitedstatesofamerica;21161.529388635758
quebec;qc;canada;concordiainstituteforinformationsystemsengineering;11;2023-12-01;canada;1505505.2764716432
alberta;ab;canada;universityofalberta;3;2023-12-01;canada;663739.1300613766
missouri;mo;unitedstates;washingtonuniversityschoolofmedicineinst.louis;1;2023-12-01;unitedstatesofamerica;180475.97622118753
california;ca;unitedstates;departmentofneurosciences;10;2023-12-01;unitedstatesofamerica;409736.05205120693
newhampshire;nh;unitedstates;universityofnewhampshiredurham;17;2023-12-01;unitedstatesofamerica;24266.43170382024
indiana;in;unitedstates;lylesschoolofcivilandconstructionengineering;7;2023-12-01;unitedstatesofamerica;94332.34490782692
virginia;va;unitedstates;universityofvirginiaschoolofengineeringandappliedscience;4;2023-12-01;unitedstatesofamerica;103724.92225889304
assam;as;india;indianinstituteoftechnologyguwahati;0;2023-12-01;india;79529.61869578768
massachusetts;ma;unitedstates;questromschoolofbusiness;19;2023-12-01;unitedstatesofamerica;21161.529388635758
illinois;il;unitedstates;collegeofengineering;23;2023-12-01;unitedstatesofamerica;150153.0283211724
gujarat;gj;india;s.v.nationalinstituteoftechnology;4;2023-12-01;india;184427.98178390934
illinois;il;unitedstates;collegeofengineering;1;2023-12-01;unitedstatesofamerica;150153.0283211724
ontario;on;canada;universityofwaterloo;1;2023-12-01;canada;1077587.553876187
michigan;mi;unitedstates;broadcollegeofbusiness;2;2023-12-01;unitedstatesofamerica;250043.56921919566
regionmetropolitanadesantiago;rm;chile;universidadadolfoibanez;3;2023-12-01;chile;16080.993788211512
texas;tx;unitedstates;"schoolofengineering&amp;computerscience";6;2023-12-01;unitedstatesofamerica;685338.8687343894
california;ca;unitedstates;stanforduniversityschoolofmedicine;21;2023-12-01;unitedstatesofamerica;409736.05205120693
alabama;al;unitedstates;theuniversityofalabama;2;2023-12-01;unitedstatesofamerica;133834.90893377384
nuevoleon;nle;mexico;universidaddemonterrey;6;2023-12-01;mexico;64983.96629581631
northcarolina;nc;unitedstates;ncstateuniversity;18;2023-12-01;unitedstatesofamerica;127661.41419226406
colorado;co;unitedstates;coloradostateuniversity;4;2023-12-01;unitedstatesofamerica;269201.86023144564
idaho;id;unitedstates;collegeofengineering;17;2023-12-01;unitedstatesofamerica;216254.42408344318
iowa;ia;unitedstates;collegeofliberalartsandsciences;23;2023-12-01;unitedstatesofamerica;145446.36329336744
colorado;co;unitedstates;collegeofengineering,designandcomputing;4;2023-12-01;unitedstatesofamerica;269201.86023144564
virginia;va;unitedstates;universityofvirginiaschoolofengineeringandappliedscience;10;2023-12-01;unitedstatesofamerica;103724.92225889304
rajasthan;rj;india;birlainstituteoftechnologyandscience,pilani;0;2023-12-01;india;343081.5107532024
california;ca;unitedstates;universityofcalifornia,berkeley;2;2023-12-01;unitedstatesofamerica;409736.05205120693
tamilnadu;tn;india;bharathidasanuniversity;4;2023-12-01;india;130683.69031632628
texas;tx;unitedstates;theuniversityoftexasataustin;6;2023-12-01;unitedstatesofamerica;685338.8687343894
st.gallen;sg;switzerland;universityofst.gallen;11;2023-12-01;;
wisconsin;wi;unitedstates;universityofwisconsin-madison;6;2023-12-01;unitedstatesofamerica;169395.3018014624
westernaustralia;wa;australia;curtinuniversity;1;2023-12-01;australia;2528138.6968684313
georgia;ga;unitedstates;collegeofengineering;36;2023-12-01;unitedstatesofamerica;152164.11432143187
newyork;ny;unitedstates;thethomasj.watsoncollegeofengineeringandappliedscience;28;2023-12-01;unitedstatesofamerica;136932.6539458316
pennsylvania;pa;unitedstates;"p.c.rossincollegeofengineering&amp;appliedscience";9;2023-12-01;unitedstatesofamerica;119356.63855666919
uttarpradesh;up;india;instituteofmanagementstudies;7;2023-12-01;india;240261.48376257546
pennsylvania;pa;unitedstates;"p.c.rossincollegeofengineering&amp;appliedscience";21;2023-12-01;unitedstatesofamerica;119356.63855666919
britishcolumbia;bc;canada;simonfraseruniversity;0;2023-11-28;canada;945598.3248456959
newjersey;nj;unitedstates;stevensinstituteoftechnology;0;2023-11-27;unitedstatesofamerica;19667.40324367006
washington;wa;unitedstates;microsoftcorporation;0;2023-11-24;unitedstatesofamerica;174111.6091089331
georgia;ga;unitedstates;collegeofcomputing;2;2023-11-22;unitedstatesofamerica;152164.11432143187
pennsylvania;pa;unitedstates;schoolofcomputerscience;4;2023-11-21;unitedstatesofamerica;119356.63855666919
massachusetts;ma;unitedstates;d'amore-mckimschoolofbusiness;3;2023-11-21;unitedstatesofamerica;21161.529388635758
