state_name;affiliation_state;affiliation_country;affiliation_name;citied_by;cover_date;country_name;area_km2
puducherry;py;india;puducherrytechnologicaluniversity;0;2024-12-30;india;526.3087684748
northcarolina;nc;unitedstates;ncstateuniversity;2;2024-12-27;unitedstates;127661.4141922641
quebec;qc;canada;polytechniquemontreal;0;2024-12-26;canada;1505505.2764716432
pernambuco;pe;brazil;cesarcentrodeestudiosesistemasavancadosdorecife;0;2024-12-25;brazil;97630.0639357953
tamilnadu;tn;india;velloreinstituteoftechnology,chennai;0;2024-12-24;india;130683.6903163263
aucklandregion;auk;newzealand;theuniversityofauckland;0;2024-12-23;;
madhyapradesh;mp;india;vitbhopaluniversity;0;2024-12-18;india;309518.6866615667
andhrapradesh;ap;india;"madanapalleinstituteoftechnology&amp;science";0;2024-12-18;india;160581.4926456832
rajasthan;rj;india;malaviyanationalinstituteoftechnologyjaipur;0;2024-12-17;india;343081.5107532024
indiana;in;unitedstates;universityofnotredame;0;2024-12-17;unitedstates;94332.3449078269
texas;tx;unitedstates;margieandbillklessecollegeofengineeringandintegrateddesign;0;2024-12-16;unitedstates;685338.8687343894
maharashtra;mh;india;"dattamegheinstituteofhighereducation&amp;research(deemedtobeuniversity)";0;2024-12-10;india;306563.1909541172
maharashtra;mh;india;"dattamegheinstituteofhighereducation&amp;research(deemedtobeuniversity)";0;2024-12-10;india;306563.1909541172
maharashtra;mh;india;yeshwantraochavancollegeofengineering;0;2024-12-10;india;306563.1909541172
illinois;il;unitedstates;universityofillinoisatchicago;0;2024-12-10;unitedstates;150153.0283211724
uttarpradesh;up;india;indianinstituteoftechnologykanpur;1;2024-12-09;india;240261.4837625755
pennsylvania;pa;unitedstates;carnegiemellonuniversity;0;2024-12-08;unitedstates;119356.6385566692
massachusetts;ma;unitedstates;massachusettsgeneralhospital;0;2024-12-06;unitedstates;21161.5293886358
washington;wa;unitedstates;pacificnorthwestnationallaboratory;0;2024-12-06;;
tamilnadu;tn;india;"veltechrangarajandr.sagunthalar&amp;dinstituteofscienceandtechnology";0;2024-12-03;india;130683.6903163263
tamilnadu;tn;india;velloreinstituteoftechnology;0;2024-12-02;india;130683.6903163263
virginia;va;unitedstates;i-66expressmobilitypartners;0;2024-12-02;unitedstates;103724.922258893
haryana;hr;india;thenorthcapuniversity;0;2024-12-01;india;43945.4348596055
maharashtra;mh;india;siesgraduateschooloftechnology;0;2024-12-01;india;306563.1909541172
tamilnadu;tn;india;"velsinstituteofscience,technology&amp;advancedstudies";0;2024-12-01;india;130683.6903163263
tamilnadu;tn;india;annamalaiuniversity;0;2024-12-01;india;130683.6903163263
washington;wa;unitedstates;washingtonstateuniversitycollegeofnursing;0;2024-12-01;;
california;ca;unitedstates;universityofcalifornia,berkeley;0;2024-12-01;unitedstates;409736.0520512069
california;ca;unitedstates;universityofcalifornia,berkeley;1;2024-12-01;unitedstates;409736.0520512069
tamilnadu;tn;india;collegeofengineering,guindy;0;2024-12-01;india;130683.6903163263
cartago;cartago;costarica;institutotecnologicodecostarica;0;2024-12-30;;3099.317891383
selangor;selangor;malaysia;lincolnuniversitycollege,malaysia;1;2024-12-30;;7729.6797853954
amman;amman;jordan;philadelphiauniversity;0;2024-12-27;;7871.3516534212
;stockholms;sweden;theroyalinstituteoftechnology(kth);0;2024-12-27;;
;attica;greece;"nationalcentreforscientificresearch""demokritos""";0;2024-12-27;;
;achaia;greece;universityofpatras;0;2024-12-27;;
jilin;jilin;china;jilinuniversity;0;2024-12-23;;191022.3391030987
;ile-de-france;france;laboratoired'analyseetdemodelisationdesystemespourl'aidealadecision;0;2024-12-20;;
jiangsu;jiangsu;china;oxfordsuzhoucentreforadvancedresearch;0;2024-12-16;;100090.7772935139
shandong;shandong;china;shandonguniversity;0;2024-12-16;;155914.8264022369
;westjava;indonesia;telkomuniversity;0;2024-12-15;;
;cairo;egypt;facultyofengineering;1;2024-12-15;;
zhejiang;zhejiang;china;statekeylaboratoryofchemicalengineering,zhejianguniversity;0;2024-12-11;;101337.2056883386
liaoning;liaoning;china;shenyangligonguniversity;0;2024-12-11;;146513.7227709306
tianjin;tianjin;china;tianjinuniversityoftechnology;0;2024-12-11;;11475.4487112348
hebei;hebei;china;hebeigeouniversity;0;2024-12-11;;188968.3850206354
beijing;beijing;china;beijingnationaldayschool;0;2024-12-11;;16251.9254289633
hubei;hubei;china;chinauniversityofgeosciences;0;2024-12-11;;185599.3219275883
valledelcauca;valledelcauca;colombia;universidaddelvalle,cali;0;2024-12-10;;20876.5209673655
telaviv;telaviv;israel;reichmanuniversity;0;2024-12-09;;177.9298197179
beijing;beijing;china;instituteofsoftwarechineseacademyofsciences;0;2024-12-09;;16251.9254289633
guangdong;guangdong;china;thehongkonguniversityofscienceandtechnology(guangzhou);2;2024-12-09;;175489.8177846857
hubei;hubei;china;fiberhometelecommunicationtechnologiescompanylimited;0;2024-12-08;;185599.3219275883
;vilnius;lithuania;vilniausuniversitetas;0;2024-12-04;;
hunan;hunan;china;nationaluniversityofdefensetechnologychina;0;2024-12-03;;211351.4896151163
shaanxi;shaanxi;china;xidianuniversity;0;2024-12-01;;205731.1595793134
;yaroslavloblast;russianfederation;yaroslavlstateuniversity;0;2024-12-01;;
selangor;selangor;malaysia;universitiputramalaysia;0;2024-12-01;;7729.6797853954
xinjiang;xinjiang;china;xinjianguniversity;0;2024-12-01;;1630221.7282375696
jiangsu;jiangsu;china;nanjinguniversityofpostandtelecommunications;0;2024-12-01;;100090.7772935139
jiangsu;jiangsu;china;southeastuniversity;0;2024-12-01;;100090.7772935139
pomeranian;pomeranian;poland;uniwersytetgdanski;0;2024-12-01;;18649.6734069757
johor;johor;malaysia;universititeknologimalaysia;0;2024-12-01;;19192.8464825936
gansu;gansu;china;lanzhoujiaotonguniversity;0;2024-12-01;;405554.4355360637
kerman;kerman;iran;shahidbahonaruniversityofkerman;0;2024-12-01;;183150.9739960204
;tirana;albania;universityoftirana;0;2024-12-01;;
lampung;lampung;indonesia;universitaslampung;0;2024-12-01;;32924.9189145121
kastamonu;kastamonu;turkey;kastamonuuniversity;1;2024-12-01;;13130.5470751247
;makkahprovince;saudiarabia;universityofjeddah;0;2024-12-01;;
hazafon;hazafon;israel;westerngalileecollege;1;2024-12-01;;4659.2216332199
;achaia;greece;hellenicopenuniversity;1;2024-12-01;;
;northaegean;greece;universityoftheaegean;0;2024-12-01;;
;peloponnese;greece;universityofthepeloponnese;0;2024-12-01;;
;df;mexico;institutopolitecniconacional;0;2024-12-01;;
;manouba;tunisia;ecolenationaledessciencesdel'informatique;0;2024-12-01;;
gauteng;gauteng;southafrica;universityofjohannesburg;1;2024-12-01;;18213.915798629
;na;unitedkingdom;londonacademyofscienceandbusiness;0;2024-12-31;;
;na;thailand;chulalongkornuniversity;0;2024-12-31;;
istanbul;na;turkey;arcelika.s.;0;2024-12-31;;4807.2010887487
ankara;na;turkey;ankarauniversitesi;0;2024-12-31;;25685.6717312788
tokyo;na;japan;sophiauniversity;0;2024-12-30;;2183.2571056884
shanghai;na;china;shanghaimaritimeuniversity;0;2024-12-27;;6746.0374352377
;na;china;researchinstituteofchinatelecomcorporationltd.;0;2024-12-27;;
;na;greece;helvia.ai;0;2024-12-27;;
;na;unitedarabemirates;rochesterinstituteoftechnologydubai;0;2024-12-25;;
beijing;na;china;pekinguniversityfirsthospital;0;2024-12-21;;16251.9254289633
almaty;na;kazakhstan;alfarabikazakhnationaluniversity;0;2024-12-20;;221859.9847218153
tetovo;na;northmacedonia;southeasteuropeanuniversity;0;2024-12-17;;303.916573487
shanghai;na;china;tongjiuniversity;0;2024-12-13;;6746.0374352377
shanghai;na;china;tongjiuniversity;0;2024-12-11;;6746.0374352377
;na;china;nanhangjinchengcollege;0;2024-12-11;;
;na;india;yeshvantraochavhancollegeofengineering;0;2024-12-10;;
shanghai;na;china;eastchinauniversityofscienceandtechnology;0;2024-12-08;;6746.0374352377
nicosia;na;cyprus;openuniversityofcyprus;0;2024-12-05;;1967.9460500994
;na;india;continentalautomotive;0;2024-12-05;;
;na;italy;universitadeglistudidinapolifedericoii;0;2024-12-02;;
;na;singapore;nanyangtechnologicaluniversity;0;2024-12-02;;
;na;india;collegeofagriculture;0;2024-12-01;;
pisa;na;italy;businessengineeringfordatascience--b4dsresearchlaboratory;2;2024-12-01;;2433.1584980371
veszprem;veszprem;hungary;pannonegyetem;0;2024-12-11;;4791.5933208432
veszprem;veszprem;hungary;pannonegyetem;0;2024-12-11;;227.5132074672
veszprem;veszprem;hungary;pannonegyetem;0;2024-12-11;;4791.5933208432
veszprem;veszprem;hungary;pannonegyetem;0;2024-12-11;;227.5132074672
