state_name;affiliation_state;affiliation_country;affiliation_name;citied_by;cover_date;country_name;area_km2
washington;wa;unitedstates;instituteforhealthmetricsandevaluation;2306;2022-02-01;;
minnesota;mn;unitedstates;universityofminnesotamedicalschool;1301;2022-01-01;unitedstates;224780.1530011972
quebec;qc;canada;institut-hopitalneurologiquedemontreal;1254;2022-05-01;canada;1505505.2764716432
geneva;ge;switzerland;globalallianceonhealthandpollution;999;2022-06-01;;
massachusetts;ma;unitedstates;brighamandwomen'shospital;856;2022-12-20;unitedstates;21161.5293886358
newsouthwales;nsw;australia;diabetesnsw;499;2022-10-01;australia;801934.7316220269
newyork;ny;unitedstates;columbiauniversity;448;2022-10-08;unitedstates;136932.6539458316
california;ca;unitedstates;stanfordhealthcare;381;2022-12-01;unitedstates;409736.0520512069
washington;wa;unitedstates;instituteforhealthmetricsandevaluation;263;2022-07-07;;
california;ca;unitedstates;stanforduniversityschoolofmedicine;263;2022-02-05;unitedstates;409736.0520512069
newyork;ny;unitedstates;newyorkuniversity;239;2022-12-01;unitedstates;136932.6539458316
northcarolina;nc;unitedstates;departmentofnutrition;232;2022-01-01;unitedstates;127661.4141922641
minnesota;mn;unitedstates;universityofminnesotatwincities;227;2022-02-01;unitedstates;224780.1530011972
california;ca;unitedstates;stanforduniversityschoolofmedicine;226;2022-07-01;unitedstates;409736.0520512069
newyork;ny;unitedstates;vageloscollegeofphysiciansandsurgeons;209;2022-12-12;unitedstates;136932.6539458316
maharashtra;mh;india;homibhabhanationalinstitute;196;2022-04-01;india;306563.1909541172
newsouthwales;nsw;australia;schoolofmedicineandpublichealth;190;2022-12-01;australia;801934.7316220269
utah;ut;unitedstates;brighamyounguniversity;190;2022-04-01;unitedstates;219762.2858414896
california;ca;unitedstates;lajollainstituteforimmunology;186;2022-09-01;unitedstates;409736.0520512069
ontario;on;canada;activehealthykidsglobalalliance;185;2022-11-01;canada;1077587.553876187
washington;wa;unitedstates;universityofwashington;181;2022-05-26;;
washington;wa;unitedstates;instituteforhealthmetricsandevaluation;179;2022-01-01;;
queensland;qld;australia;theuniversityofqueensland;177;2022-01-01;australia;1730135.5915559076
northcarolina;nc;unitedstates;rtiinternational;170;2022-09-20;unitedstates;127661.4141922641
virginia;va;unitedstates;virginiapolytechnicinstituteandstateuniversity;169;2022-07-01;unitedstates;103724.922258893
massachusetts;ma;unitedstates;massachusettsgeneralhospital;163;2022-08-09;unitedstates;21161.5293886358
sichuan;sichuan;china;southwesternuniversityoffinanceandeconomics;733;2022-03-01;;484815.9727816655
hainan;hainan;china;hainanuniversity;509;2022-06-01;;33840.6507115684
barcelona;barcelona;spain;universitatdebarcelona;471;2022-01-01;;7753.0499164184
jiangxi;jiangxi;china;eastchinainstituteoftechnology;384;2022-07-01;;167798.2020149683
;westjava;indonesia;universitasindonesia;376;2022-06-01;;
cambridgeshire;cambridgeshire;unitedkingdom;universityofcambridge;367;2022-08-23;;3060.4644265699
hubei;hubei;china;wuhanuniversity;357;2022-03-01;;185599.3219275883
;pd;italy;aziendaospedaleuniversitapadova;321;2022-02-01;;
southkarelia;southkarelia;finland;lutuniversity;300;2022-01-01;;7308.4755358257
shandong;shandong;china;oceanuniversityofchina;276;2022-02-01;;155914.8264022369
shandong;shandong;china;weifangmedicaluniversity;251;2022-10-10;;155914.8264022369
sichuan;sichuan;china;southwestjiaotonguniversity;242;2022-11-01;;484815.9727816655
hubei;hubei;china;wuhanuniversity;242;2022-02-01;;185599.3219275883
hubei;hubei;china;tongjimedicalcollegeofhuazhonguniversityofscienceandtechnology;241;2022-01-01;;185599.3219275883
henan;henan;china;zhengzhouuniversity;240;2022-06-01;;166146.9719278261
;loweraustria;austria;internationalinstituteforappliedsystemsanalysis,laxenburg;224;2022-09-01;;
jilin;jilin;china;jilinuniversity;224;2022-05-01;;191022.3391030987
;auvergne-rhone-alpes;france;centreinternationalderecherchesurlecancer;223;2022-01-01;;
shaanxi;shaanxi;china;northwestuniversity;214;2022-10-01;;205731.1595793134
;biscay;spain;universidaddelpaisvasco;209;2022-03-01;;
fujian;fujian;china;fuzhouuniversityofforeignstudiesandtrade;205;2022-03-01;;120723.6958900323
;leinster;ireland;universitycollegedublin;198;2022-02-01;;
guangdong;guangdong;china;shenzhenuniversity;192;2022-02-01;;175489.8177846857
;occitanie;france;universitedemontpellier;191;2022-02-01;;
baden-wurttemberg;baden-wurttemberg;germany;karlsruherinstitutfurtechnologie;188;2022-09-01;;36123.5600929418
