state_name;affiliation_state;affiliation_country;total_paper_num;total_cited_num;area_km2;paper_num_density;citation_density;academic_index;crdi_index;year;month
texas;tx;unitedstates;1;104;685338.8687343894;0.07441766233424105;7.739436882761068;52.0;19.93795151503177;2023;12
maharashtra;mh;india;1;52;306563.1909541172;0.07915661824617665;4.116144148801185;26.0;10.065100255682454;2023;12
shaanxi;shaanxi;china;1;40;205731.1595793134;0.08173720725615072;3.2694882902460285;20.0;7.783741832500726;2023;12
castelobranco;castelobranco;portugal;1;25;6400.1357697716;0.11410014549120084;2.8525036372800208;12.5;5.155534594257074;2023;12
silesian;silesian;poland;1;23;12248.8245563994;0.10623304441132712;2.443360021460524;11.5;4.68319768862395;2023;12
addisababa;na;ethiopia;1;20;550.8952317178;0.15839430671700594;3.167886134340119;10.0;4.4420934803523755;2023;12
westbengal;wb;india;1;21;86363.0481262015;0.08797917051331478;1.8475625807796103;10.5;4.145180583764309;2023;12
shanghai;shanghai;china;4;38;6746.0374352377;0.45367631440039413;4.309924986803744;7.6;4.121200433734713;2023;12
fujian;fujian;china;1;20;120723.6958900323;0.08546082362258882;1.7092164724517764;10.0;3.931559098691455;2023;12
tehran;tehran;iran;3;21;14417.313695594;0.31327488340257376;2.192924183818016;5.25;2.58539968907353;2023;12
cambridgeshire;cambridgeshire;unitedkingdom;1;12;3060.4644265699;0.1245849972323395;1.495019966788074;6.0;2.539868321340138;2023;12
daejeon;na;southkorea;1;11;366.0979336785;0.16932998284881742;1.8626298113369915;5.5;2.510653264728603;2023;12
jharkhand;jh;india;1;10;77947.9887723991;0.0887799073966381;0.887799073966381;5.0;1.992192993787673;2023;12
akershus;akershus;norway;1;8;4597.3766453178;0.1185753135711332;0.9486025085690656;4.0;1.689059274046733;2023;12
brussels;na;belgium;1;6;164.5380927464;0.19572530699796634;1.174351841987798;3.0;1.4566923829952547;2023;12
queensland;qld;australia;3;10;1730135.5915559076;0.2088596754086469;0.6961989180288229;2.5;1.1350195311458233;2023;12
california;ca;unitedstates;4;11;409736.0520512069;0.3095191636887223;0.8511777001439862;2.2;1.1202322879442361;2023;12
goias;go;brazil;1;5;341246.9525043914;0.07849068919113644;0.39245344595568227;2.5;0.9903147117156063;2023;12
mahasarakham;mahasarakham;thailand;1;4;5736.8678278748;0.11554224662651788;0.4621689865060715;2.0;0.8592370777108632;2023;12
oklahoma;ok;unitedstates;1;4;180637.1905342291;0.08261560092097218;0.33046240368388874;2.0;0.804359334868287;2023;12
quebec;qc;canada;1;4;1505505.2764716432;0.07030054991526741;0.28120219966106963;2.0;0.783834249858779;2023;12
skopje;na;northmacedonia;1;3;197.28756171;0.1890459834710235;0.5671379504130705;1.5;0.752061311294698;2023;12
guangdong;guangdong;china;2;5;175489.8177846857;0.16562677893232275;0.4140669473308069;1.6666666666666667;0.7487867976432655;2023;12
enugu;enugu;nigeria;1;3;7699.9562692478;0.11174308292015624;0.33522924876046867;1.5;0.6489907772268749;2023;12
virginia;va;unitedstates;1;3;103724.922258893;0.08658377979774737;0.25975133939324213;1.5;0.6154450397303298;2023;12
shandong;shandong;china;1;3;155914.8264022369;0.08363251774969648;0.25089755324908947;1.5;0.611510023666262;2023;12
gujarat;gj;india;1;3;184427.9817839093;0.08247409249358079;0.24742227748074236;1.5;0.6099654566581078;2023;12
kansas;ks;unitedstates;1;3;212825.5831370989;0.08151133126702831;0.24453399380108493;1.5;0.6086817750227044;2023;12
districtofcolumbia;dc;unitedstates;1;2;162.2352916304;0.19626343209724836;0.3925268641944967;1.0;0.5295967654305817;2023;12
murcia;murcia;spain;1;2;11309.7477141351;0.10714084429762391;0.21428168859524782;1.0;0.44047417763095725;2023;12
maranhao;ma;brazil;1;2;326135.3245953586;0.07877073077928531;0.15754146155857063;1.0;0.41210406411261863;2023;12
victoria;vic;australia;2;2;227944.597594159;0.1621157759433525;0.1621157759433525;0.6666666666666666;0.33029940618445724;2023;12
sichuan;sichuan;china;2;2;484815.9727816655;0.15277057002741887;0.15277057002741887;0.6666666666666666;0.3240692689071681;2023;12
budapest;na;hungary;1;1;538.424855857;0.15896978700614509;0.15896978700614509;0.5;0.2726465246707634;2023;12
