state_name;affiliation_state;affiliation_country;total_paper_num;total_cited_num;area_km2;paper_num_density;citation_density;academic_index;crdi_index;year;month
gelderland;gelderland;netherlands;1;93;5133.7128302247;0.11704422328417387;10.885112765428168;46.5;19.167385662904113;2021;12
bremen;bremen;germany;1;85;385.6647920868;0.16785400582982063;14.267590495534753;42.5;18.97848150045486;2021;11
westernaustralia;wa;australia;1;99;2528138.6968684313;0.06782882636702187;6.7150538103351645;49.5;18.76096087890073;2021;12
newjersey;nj;unitedstates;1;91;19667.4032436701;0.10114528085196968;9.204220557529242;45.5;18.268455279460404;2021;12
california;ca;unitedstates;3;144;409736.0520512069;0.2321393727665417;11.142689892794001;36.0;15.791609755186848;2021;12
berlin;na;germany;1;68;889.247879319;0.14724287842585465;10.012515732958116;34.0;14.719919537127991;2021;12
victoria;vic;australia;2;102;227944.597594159;0.1621157759433525;8.267904573110977;34.0;14.143340116351444;2021;12
queensland;qld;australia;2;101;1730135.5915559076;0.13923978360576458;7.031609072091112;33.666666666666664;13.61250517412118;2021;12
rhodeisland;ri;unitedstates;1;61;2832.3850914376;0.12579838857444925;7.673701703041405;30.5;12.766500030538618;2021;12
hertfordshire;hertfordshire;unitedkingdom;1;52;1633.1582221829;0.13515553445339484;7.0280877915765325;26.0;11.054414442009977;2021;12
hochiminhcity;na;vietnam;1;50;1908.3472445416;0.13237114152205412;6.6185570761027055;25.0;10.583642739208253;2021;12
massachusetts;ma;unitedstates;3;86;21161.5293886358;0.3012051998615734;8.634549062698436;21.5;10.145251420853336;2021;12
hunan;hunan;china;1;52;211351.4896151163;0.0815575363365159;4.240991889498827;26.0;10.107516475278446;2021;12
meknes-tafilalet;meknes-tafilalet;morocco;1;49;58938.0997002239;0.09103936011168151;4.460928645472394;24.5;9.683989335194692;2021;12
texas;tx;unitedstates;3;88;685338.8687343894;0.2232529870027231;6.548754285413212;22.0;9.590669090805312;2021;12
groningen;groningen;netherlands;1;45;2396.0322174076;0.12850189055247566;5.782585074861404;22.5;9.470362321804627;2021;12
bristol;na;unitedkingdom;1;38;122.0538383163;0.2077869415754545;7.895903779867271;19.0;9.034563573814241;2021;12
tokyo;na;japan;1;42;2183.2571056884;0.13005539881363334;5.4623267501726005;21.0;8.864127382995411;2021;11
uusimaa;uusimaa;finland;1;42;9037.1435028818;0.10977901512438383;4.610718635224121;21.0;8.573499216782835;2021;11
oxfordshire;oxfordshire;unitedkingdom;1;37;2617.0936147012;0.12706154652946225;4.701277221590103;18.5;7.776112922706521;2021;12
shanghai;shanghai;china;2;50;6746.0374352377;0.22683815720019707;5.670953930004927;16.666666666666668;7.521486251290597;2021;12
saopaulo;sp;brazil;1;38;248638.1451676981;0.08049094383480696;3.0586558657226646;19.0;7.379715603185823;2021;12
nordjylland;nordjylland;denmark;1;32;7919.8189225484;0.11139268857429628;3.564566034377481;16.0;6.558652907650592;2021;12
florida;fl;unitedstates;2;46;146717.8790698472;0.16811987175619805;3.8667570503925552;15.333333333333334;6.456070085160696;2021;12
utrecht;na;netherlands;1;23;1395.3875657593;0.1380901930357203;3.1760744398215666;11.5;4.938054877619096;2021;12
distritofederal;df;brazil;2;30;5792.1402763673;0.23082880806789005;3.4624321210183506;10.0;4.5644203096954135;2021;12
midtjylland;midtjylland;denmark;1;21;13190.98608415;0.1054033464606029;2.2134702756726607;10.5;4.272957874044422;2021;11
baden-wurttemberg;baden-wurttemberg;germany;1;21;36123.5600929418;0.09528593560221361;2.0010046476464862;10.5;4.198763527749566;2021;11
noord-brabant;noord-brabant;netherlands;1;20;5201.1124418825;0.11686584419011038;2.3373168838022074;10.0;4.151394242664106;2021;11
connecticut;ct;unitedstates;1;20;12704.5232646375;0.10582243413055054;2.1164486826110105;10.0;4.074090372247187;2021;12
