state_name;affiliation_state;affiliation_country;total_paper_num;total_cited_num;area_km2;paper_num_density;citation_density;academic_index;crdi_index;year;month
zhejiang;zhejiang;china;4;1189;101337.2056883386;0.347034884446643;103.15611940176463;237.8;113.76771809540377;2023;12
shaanxi;shaanxi;china;7;1343;205731.1595793134;0.572160450793055;109.77306934501041;167.875;92.74007659860115;2023;1
newjersey;nj;unitedstates;1;354;19667.4032436701;0.10114528085196968;35.80542942159727;177.0;70.96885823414975;2023;1
massachusetts;ma;unitedstates;2;482;21161.5293886358;0.20080346657438225;48.393635444426124;160.66666666666666;69.75370185922239;2023;1
victoria;vic;australia;6;930;227944.597594159;0.4863473278300575;75.3838358136589;132.85714285714286;69.57577533287728;2023;2
queensland;qld;australia;1;306;1730135.5915559076;0.06961989180288229;21.303686891681984;153.0;58.12443559449496;2023;12
beijing;beijing;china;5;614;16251.9254289633;0.5156750679681068;63.324898346483515;102.33333333333333;55.39130224926165;2023;1
chittagong;na;bangladesh;1;264;29223.1452326525;0.09725024411463178;25.674064446262786;132.0;52.590438230125805;2023;11
hunan;hunan;china;4;552;211351.4896151163;0.3262301453460636;45.01976005775678;110.4;51.91533006770095;2023;3
jiangsu;jiangsu;china;4;533;100090.7772935139;0.34740790399629545;46.292103207506365;106.6;51.07983703716755;2023;12
selangor;selangor;malaysia;2;328;7729.6797853954;0.22339000391977265;36.63596064284272;109.33333333333333;48.730894660031936;2023;1
alahmadi;na;kuwait;1;234;4812.9025864688;0.11793477273550543;27.59673682010827;117.0;48.23822386428126;2023;1
newsouthwales;nsw;australia;2;344;801934.7316220269;0.1471152492749454;25.30382287529061;114.66666666666667;46.70586826374407;2023;12
punjab;pb;india;4;458;50378.2424498875;0.3694353393414912;42.30034635460074;91.6;44.75659389798074;2023;1
dhaka;dhaka;bangladesh;3;385;30548.5646266249;0.2904976557109745;37.2805324829084;96.25;44.607010046206454;2023;2
somerset;somerset;unitedkingdom;1;189;3437.3568983897;0.12280864867305614;23.21083459920761;94.5;39.27788108262689;2023;1
maryland;md;unitedstates;2;268;25461.8359249494;0.1971419298764958;26.417018603450437;89.33333333333333;38.64916462222009;2023;2
balikesir;balikesir;turkey;1;183;14542.3975783247;0.10433085305467317;19.092546109005188;91.5;36.89895898735329;2023;3
hubei;hubei;china;2;260;185599.3219275883;0.1648621021179576;21.432073275334485;86.66666666666667;36.0878673480397;2023;7
ljubljana;na;slovenia;1;157;276.4264340186;0.17776021363379355;27.908353540505587;78.5;35.528704584713125;2023;9
rajasthan;rj;india;2;247;343081.5107532024;0.15691534246423944;19.37904479433357;82.33333333333333;33.95643115671038;2023;1
fars;fars;iran;1;172;125717.2778373775;0.08516582660619272;14.648522176265148;86.0;33.57789600095712;2023;1
heilongjiang;heilongjiang;china;2;242;452255.9859723494;0.15358616967263547;18.58392653038889;80.66666666666667;33.134726455576065;2023;1
samsun;na;turkiye;1;162;9468.8729270745;0.10921954070569527;17.69356559432263;81.0;32.93426171167611;2023;2
murcia;murcia;spain;1;156;11309.7477141351;0.10714084429762391;16.71397171042933;78.0;31.60703751824232;2023;1
pennsylvania;pa;unitedstates;2;223;119356.6385566692;0.17108816028274998;19.07632987152662;74.33333333333333;31.193583788380902;2023;10
georgia;ga;unitedstates;1;152;152164.1143214319;0.08380317942962132;12.73808327330244;76.0;29.60729548424402;2023;6
gujarat;gj;india;1;148;184427.9817839093;0.08247409249358079;12.206165689049957;74.0;28.762879927181178;2023;2
guangdong;guangdong;china;1;146;175489.8177846857;0.08281338946616137;12.090754862059562;73.0;28.39118941717524;2023;6
pathumthani;na;thailand;1;130;1478.0577200548;0.13700205682493474;17.810267387241517;65.0;27.649089814688818;2023;1
southkarelia;southkarelia;finland;1;133;7308.4755358257;0.11239836204399963;14.948982151851949;66.5;27.18712683796532;2023;2
texas;tx;unitedstates;1;141;685338.8687343894;0.07441766233424105;10.492890389127988;70.5;27.022436017154078;2023;4
shanghai;na;china;1;130;6746.0374352377;0.11341907860009853;14.74448021801281;65.0;26.619299765537637;2023;9
uttarpradesh;up;india;1;130;240261.4837625755;0.08071359022633516;10.49276672942357;65.0;25.19116010654997;2023;6
arriyad;arriyad;saudiarabia;1;127;377087.1139892674;0.07788019963558179;9.890785353718888;63.5;24.48955518445149;2023;4
daejeon;na;southkorea;1;109;366.0979336785;0.16932998284881742;18.456968130521098;54.5;24.37543270445664;2023;2
vaud;vd;switzerland;1;112;3312.1476662723;0.12337067475636404;13.817515572712773;56.0;23.31362874915638;2023;11
jiangxi;jiangxi;china;1;117;167798.2020149683;0.08312190364579146;9.7252627265576;58.5;22.769461543401132;2023;1
quebec;qc;canada;1;119;1505505.2764716432;0.07030054991526741;8.36576543991682;59.5;22.645355329944028;2023;2
westbengal;wb;india;1;113;86363.0481262015;0.08797917051331478;9.94164626800457;56.5;22.176541812839293;2023;12
ontario;on;canada;1;115;1077587.553876187;0.07199301579086308;8.279196815949255;57.5;21.95039661058004;2023;1
liaoning;liaoning;china;1;110;146513.7227709306;0.08406977617178778;9.247675378896655;55.0;21.443915051689483;2023;1
shanxi;shanxi;china;1;110;156093.5465970927;0.08362450570478883;9.19869562752677;55.0;21.42744004441052;2023;9
california;ca;unitedstates;1;106;409736.0520512069;0.07737979092218057;8.20225783775114;53.0;20.42654587622444;2023;6
newfoundlandandlabrador;nl;canada;1;104;403323.6392799639;0.07747435419363921;8.057332836138478;52.0;20.044935730110705;2023;1
