state_name;affiliation_state;affiliation_country;total_paper_num;total_cited_num;area_km2;paper_num_density;citation_density;academic_index;crdi_index;year;month
ljubljana;na;slovenia;1;1214;276.4264340186;0.17776021363379355;215.80089935142536;607.0;274.3262198550197;2020;10
ontario;on;canada;2;1595;1077587.553876187;0.14398603158172615;114.82886018642662;531.6666666666666;215.54650429489166;2020;7
westbengal;wb;india;2;1425;86363.0481262015;0.17595834102662955;125.37031798147356;475.0;200.18209210750004;2020;9
oxfordshire;oxfordshire;unitedkingdom;1;928;2617.0936147012;0.12706154652946225;117.91311517934096;464.0;194.0133922419568;2020;3
illinois;il;unitedstates;2;1025;150153.0283211724;0.16779344295904125;85.99413951650864;341.6666666666667;142.60953320871144;2020;7
zurich;zh;switzerland;1;631;1738.6108428883;0.13402280536969738;84.56839018827905;315.5;133.40080433121625;2020;11
budapest;na;hungary;1;534;538.424855857;0.15896978700614509;84.88986626128148;267.0;117.34961201609588;2020;7
regionmetropolitanadesantiago;rm;chile;1;561;16080.9937882115;0.10324759607100759;57.921901395835256;280.5;112.8417163306354;2020;1
sichuan;sichuan;china;2;670;484815.9727816655;0.15277057002741887;51.17814095918532;223.33333333333334;91.55474828751535;2020;12
beijing;na;china;2;603;16251.9254289633;0.20627002718724272;62.190413196953685;201.0;87.79889440804698;2020;10
arriyad;arriyad;saudiarabia;1;436;377087.1139892674;0.07788019963558179;33.95576704111366;218.0;84.01121574691642;2020;9
queensland;qld;australia;1;437;1730135.5915559076;0.06961989180288229;30.423892717859562;218.5;82.99783753655414;2020;5
texas;tx;unitedstates;2;569;685338.8687343894;0.1488353246684821;42.34364986818315;189.66666666666666;77.38638395317277;2020;12
britishcolumbia;bc;canada;1;391;945598.3248456959;0.07267666750575649;28.41657699475079;195.5;74.66308455408551;2020;5
sachsen;sachsen;germany;1;361;18166.8780464507;0.10196371541002419;36.80890126301873;180.5;72.47028832614292;2020;5
jiangsu;jiangsu;china;3;568;100090.7772935139;0.26055592799722155;49.33192236747395;142.0;63.86415943182373;2020;10
syddanmark;syddanmark;denmark;1;313;11879.2166332436;0.1065799267737725;33.35951708019079;156.5;63.32203233565485;2020;7
victoria;vic;australia;2;422;227944.597594159;0.1621157759433525;34.20642872404738;140.66666666666666;58.3450703888858;2020;9
dhaka;na;bangladesh;2;397;30548.5646266249;0.19366510380731636;38.442523105752294;132.33333333333334;56.98984051429765;2020;7
norfolk;norfolk;unitedkingdom;1;272;5413.7977724058;0.11632112373661223;31.639345656358525;136.0;55.91855559336505;2020;7
karnataka;ka;india;1;287;191841.355605401;0.08220689845074691;23.593379855364365;143.5;55.72519558460504;2020;8
australiancapitalterritory;act;australia;1;225;2349.2816671833;0.1288279542446975;28.986289705056937;112.5;47.20503921976721;2020;10
