state_name;affiliation_state;affiliation_country;total_paper_num;total_cited_num;area_km2;paper_num_density;citation_density;academic_index;crdi_index;year;month
victoria;vic;australia;4;322;227944.597594159;0.324231551886705;26.10063992687975;64.4;30.27495715958882;2024;1
shaanxi;shaanxi;china;3;255;205731.1595793134;0.24521162176845215;20.842987850318433;63.75;28.27939982402896;2024;1
hubei;hubei;china;2;138;185599.3219275883;0.1648621021179576;11.375485046139074;46.0;19.180115716085677;2024;4
shandong;shandong;china;2;129;155914.8264022369;0.16726503549939295;10.788594789710846;43.0;17.985286608403413;2024;4
makkah;makkah;saudiarabia;1;84;138262.262621067;0.08448147282720882;7.096443717485541;42.0;16.39364173010425;2024;12
anhui;anhui;china;1;82;140193.6675195935;0.084382579958653;6.919371556609546;41.0;16.001251378856065;2024;1
istanbul;na;turkey;1;76;4807.2010887487;0.11795125790515393;8.964295600791699;38.0;15.694082286232286;2024;3
beijing;na;china;2;102;16251.9254289633;0.20627002718724272;10.51977138654938;34.0;14.90868047124554;2024;1
aljawf;aljawf;saudiarabia;2;104;117538.0056731597;0.17131317212520508;8.908284950510664;34.666666666666664;14.582088263100843;2024;2
california;ca;unitedstates;2;105;409736.0520512069;0.15475958184436114;8.12487804682896;35.0;14.42654587622444;2024;5
zhejiang;zhejiang;china;1;67;101337.2056883386;0.08675872111166075;5.81283431448127;33.5;13.133197678530976;2024;2
chongqing;chongqing;china;1;56;82362.5464307894;0.08834782154010545;4.947478006245905;28.0;11.011941942595337;2024;1
amman;amman;jordan;1;52;7871.3516534212;0.11146890015782242;5.796382808206766;26.0;10.635950569454863;2024;1
hunan;hunan;china;1;49;211351.4896151163;0.0815575363365159;3.9963192804892795;24.5;9.525958938941931;2024;1
