state_name;affiliation_state;affiliation_country;total_paper_num;total_cited_num;area_km2;paper_num_density;citation_density;academic_index;crdi_index;year;month
uttarpradesh;up;india;1;74;240261.4837625755;0.08071359022633516;5.972805676748801;37.0;14.351173088991713;2024;4
odisha;or;india;3;56;155187.885956204;0.25099565220829295;4.685252174554801;14.0;6.312082608921031;2024;1
kerala;kl;india;1;25;37724.3515065956;0.09489387807769643;2.372346951942411;12.5;4.989080276673369;2024;2
hubei;hubei;china;1;23;185599.3219275883;0.0824310510589788;1.8959141743565122;11.5;4.492781741805164;2024;2
florida;fl;unitedstates;6;56;146717.8790698472;0.5043596152685942;4.707356409173546;8.0;4.403905341480713;2024;12
pirkanmaa;pirkanmaa;finland;1;20;15050.7913468747;0.1039581840571191;2.079163681142382;10.0;4.061040621733167;2024;5
tamilnadu;tn;india;3;33;130683.6903163263;0.2546571972074233;2.8012291692816564;8.25;3.768628788829693;2024;1
alabama;al;unitedstates;3;32;133834.9089337738;0.2541431740001418;2.710860522668179;8.0;3.6550012322227734;2024;1
texas;tx;unitedstates;2;19;685338.8687343894;0.1488353246684821;1.4139355843505799;6.333333333333333;2.6320347474507986;2024;2
zurich;zh;switzerland;1;9;1738.6108428883;0.13402280536969738;1.2062052483272765;4.5;1.946742684565658;2024;12
shanghai;na;china;1;9;6746.0374352377;0.11341907860009853;1.0207717074008869;4.5;1.8780635953336617;2024;5
jammuandkashmir;jk;india;1;8;42553.2471657589;0.09382152473763043;0.7505721979010435;4.0;1.6147979075462244;2024;10
westbengal;wb;india;1;8;86363.0481262015;0.08797917051331478;0.7038333641065182;4.0;1.5972708448732778;2024;12
tehran;tehran;iran;1;7;14417.313695594;0.10442496113419125;0.7309747279393387;3.5;1.4451332296911765;2024;6
