state_name;affiliation_state;affiliation_country;total_paper_num;total_cited_num;area_km2;paper_num_density;citation_density;academic_index;crdi_index;year;month
oxfordshire;oxfordshire;unitedkingdom;1;718;2617.0936147012;0.12706154652946225;91.23019040815389;359.0;150.11908398489444;2022;1
kwazulu-natal;kwazulu-natal;southafrica;1;513;94006.1687446395;0.08732765423389177;44.79908662198648;256.5;100.46213809207346;2022;4
jiangsu;jiangsu;china;1;465;100090.7772935139;0.08685197599907386;40.38616883956934;232.5;90.9910069385228;2022;12
newyork;ny;unitedstates;3;617;136932.6539458316;0.25365148626740674;52.16765567566332;154.25;68.89043572064357;2022;1
punjab;pb;india;4;496;50378.2424498875;0.3694353393414912;45.8099820783449;99.2;48.45980580589546;2022;1
punjab;punjab;pakistan;4;496;203843.6330733062;0.3271953294534189;40.57222085222394;99.2;46.699805393892454;2022;5
california;ca;unitedstates;5;571;409736.0520512069;0.38689895461090285;44.183860616565106;95.16666666666667;46.57914207928089;2022;12
zhejiang;zhejiang;china;3;400;101337.2056883386;0.26027616333498227;34.7034884446643;100.0;44.98792153599976;2022;1
massachusetts;ma;unitedstates;5;499;21161.5293886358;0.5020086664359557;50.10046491030837;83.16666666666667;44.58971341447033;2022;12
jura;ju;switzerland;2;258;848.0947339821;0.29655239617323076;38.25525910634676;86.0;41.51727050084;2022;4
haryana;hr;india;1;206;43945.4348596055;0.09353901006144799;19.269036072658288;103.0;40.787525027573245;2022;1
merseyside;merseyside;unitedkingdom;1;172;138.6718812309;0.202458003491774;34.82277660058513;86.0;40.341744868025636;2022;10
beijing;na;china;4;363;16251.9254289633;0.41254005437448543;37.438009934484555;72.6;36.816849996286344;2022;5
ontario;on;canada;1;192;1077587.553876187;0.07199301579086308;13.822659031845712;96.0;36.63155068254552;2022;6
shanghai;na;china;1;172;6746.0374352377;0.11341907860009853;19.508081519216947;86.0;35.207166865939016;2022;5
indiana;in;unitedstates;1;174;94332.3449078269;0.08730124771552707;15.190417102501709;87.0;34.09257278340575;2022;12
karnataka;ka;india;3;304;191841.355605401;0.24662069535224077;24.990897129027065;76.0;33.745839274793106;2022;8
hunan;hunan;china;1;171;211351.4896151163;0.0815575363365159;13.94633871354422;85.5;33.175965416626916;2022;12
jammuandkashmir;jk;india;1;164;42553.2471657589;0.09382152473763043;15.38673005697139;82.0;32.49351719390301;2022;10
sichuan;sichuan;china;1;163;484815.9727816655;0.07638528501370943;12.450801457234638;81.5;31.34239558074945;2022;12
hovedstaden;hovedstaden;denmark;1;146;2529.7530685779;0.12761169793130445;18.631307897970448;73.0;30.58630653196725;2022;5
granada;granada;spain;2;208;12682.0189668835;0.21168458053736178;22.015196375885623;69.33333333333333;30.520071429918772;2022;1
pennsylvania;pa;unitedstates;1;151;119356.6385566692;0.08554408014137499;12.917156101347622;75.5;29.50090006049633;2022;12
vastragotaland;vastragotaland;sweden;1;147;29476.73914203;0.09716859788958476;14.28378388976896;73.5;29.293650829219516;2022;11
minnesota;mn;unitedstates;3;238;224780.1530011972;0.24344953274739686;19.313662931293486;59.5;26.352370821346963;2022;1
florida;fl;unitedstates;4;272;146717.8790698472;0.3362397435123961;22.864302558842937;54.4;25.866847434118444;2022;10
newsouthwales;nsw;australia;1;130;801934.7316220269;0.0735576246374727;9.56249120287145;65.0;24.878682942502977;2022;12
hubei;hubei;china;2;167;185599.3219275883;0.1648621021179576;13.765985526849459;55.666666666666664;23.199171431878028;2022;12
mexico;na;mexico;1;112;21825.7223219755;0.10009118013553059;11.210212175179425;56.0;22.436767785104987;2022;2
uttarpradesh;up;india;1;115;240261.4837625755;0.08071359022633516;9.282062876028542;57.5;22.28759215541829;2022;5
hanoi;na;vietnam;1;96;3303.2150049986;0.12341177976498165;11.847530857438239;48.0;19.990314212401074;2022;1
maryland;md;unitedstates;2;134;25461.8359249494;0.1971419298764958;13.208509301725218;44.666666666666664;19.357439299422794;2022;12
britishcolumbia;bc;canada;1;101;945598.3248456959;0.07267666750575649;7.340343418081406;50.5;19.304340028529055;2022;1
maharashtra;mh;india;1;96;306563.1909541172;0.07915661824617665;7.599035351632957;48.0;18.559397323293044;2022;10
distritocapital;distritocapital;colombia;1;82;369.3033241517;0.1690810749587273;13.864648146615638;41.0;18.344576407191454;2022;1
bucharest;na;romania;1;78;284.4997537065;0.1768583918808859;13.794954566709102;39.0;17.65727098619666;2022;4
bayern;bayern;germany;1;83;70023.8710338274;0.08963299606120292;7.439538673079843;41.5;16.343057223047015;2022;11
illinois;il;unitedstates;1;80;150153.0283211724;0.08389672147952063;6.71173771836165;40.0;15.598544813280391;2022;5
tehran;tehran;iran;1;73;14417.313695594;0.10442496113419125;7.623022162795961;36.5;14.742482374643386;2022;3
zuid-holland;zuid-holland;netherlands;1;70;3194.8081331608;0.1239219522585676;8.674536658099733;35.0;14.599486203452768;2022;2
odisha;or;india;1;73;155187.885956204;0.08366521740276431;6.1075608704017945;36.5;14.230408695934853;2022;6
shaanxi;shaanxi;china;1;73;205731.1595793134;0.08173720725615072;5.966816129699002;36.5;14.182851112318383;2022;1
kerala;kl;india;1;70;37724.3515065956;0.09489387807769643;6.64257146543875;35.0;13.912488447838816;2022;12
utah;ut;unitedstates;1;65;219762.2858414896;0.08129878865103;5.28442126231695;32.5;12.621906683655993;2022;5
tamilnadu;tn;india;1;64;130683.6903163263;0.08488573240247443;5.432686873758364;32.0;12.505857535386946;2022;1
washington,d.c.;na;unitedstates;1;63;174111.6091089331;0.08286749682367246;5.2206522998913645;31.5;12.267839932238346;2022;10
hessen;hessen;germany;1;61;21012.4690108772;0.10047303819039852;6.12885532961431;30.5;12.243109455934905;2022;3
virginia;va;unitedstates;1;61;103724.922258893;0.08658377979774737;5.2816105676625895;30.5;11.956064782486779;2022;12
