state_name;affiliation_state;affiliation_country_x;affiliation_name;citied_by;cover_date;country_name;area_km2;year;month;affiliation_country_y;total_paper_num;affiliation_country;total_cited_num;paper_num_density;citation_density;academic_index;crdi_index
karnataka;ka;india;dayanandasagarcollegeofengineering;2;2022-12-20;india;191841.35560540104;2022;12;india;12;india;103;0.9864827814089631;8.467310540426933;7.923076923076923;5.792290081637606
michigan;mi;unitedstates;universityofmichiganmedicalschool;14;2022-12-20;unitedstatesofamerica;250043.56921919566;2022;12;unitedstates;11;unitedstates;265;0.884998865980066;21.320427225883407;22.083333333333332;14.762919808398934
rhodeisland;ri;unitedstates;thefmglobalgroup;12;2022-12-15;unitedstatesofamerica;2832.3850914376494;2022;12;unitedstates;4;unitedstates;28;0.5031935542977959;3.5223548800845714;5.6;3.2085161447941224
texas;tx;unitedstates;cullencollegeofengineering;14;2022-12-15;unitedstatesofamerica;685338.8687343894;2022;12;unitedstates;24;unitedstates;310;1.786023896021785;23.06947532361472;12.4;12.418499739878834
texas;tx;unitedstates;collegeofengineering;7;2022-12-09;unitedstatesofamerica;685338.8687343894;2022;12;unitedstates;24;unitedstates;310;1.786023896021785;23.06947532361472;12.4;12.418499739878834
ontario;on;canada;instituteofhealthpolicy,managementandevaluation;11;2022-12-09;canada;1077587.553876187;2022;12;canada;30;canada;297;2.1597904737258924;21.381925689886337;9.580645161290322;11.040787108300849
tamilnadu;tn;india;bharathinstituteofhighereducationandresearch;0;2022-12-07;india;130683.69031632628;2022;12;india;14;india;285;1.188400253634642;24.192433734705215;19.0;14.79361132944662
indiana;in;unitedstates;universityofnotredame;5;2022-12-06;unitedstatesofamerica;94332.34490782692;2022;12;unitedstates;8;unitedstates;113;0.6984099817242165;9.865040991854558;12.555555555555555;7.706335509711444
ontario;on;canada;universityofottawa;3;2022-12-05;canada;1077587.553876187;2022;12;canada;30;canada;297;2.1597904737258924;21.381925689886337;9.580645161290322;11.040787108300849
tennessee;tn;unitedstates;oakridgenationallaboratory;0;2022-12-02;unitedstatesofamerica;109298.32311644025;2022;12;unitedstates;10;unitedstates;112;0.8619318380133493;9.653636585749512;10.181818181818182;6.899128868527015
ontario;on;canada;schulichschoolofbusiness;22;2022-12-01;canada;1077587.553876187;2022;12;canada;30;canada;297;2.1597904737258924;21.381925689886337;9.580645161290322;11.040787108300849
connecticut;ct;unitedstates;yaleschooloftheenvironment;14;2022-12-01;unitedstatesofamerica;12704.52326463746;2022;12;unitedstates;8;unitedstates;114;0.8465794730444046;12.063757490882766;12.666666666666666;8.525667876864611
parana;pr;brazil;universidadeestadualdemaringa;10;2022-12-01;brazil;198666.17842736215;2022;12;brazil;3;brazil;22;0.24591401096869123;1.8033694137704024;5.5;2.5164278082463647
texas;tx;unitedstates;cockrellschoolofengineering;4;2022-12-01;unitedstatesofamerica;685338.8687343894;2022;12;unitedstates;24;unitedstates;310;1.786023896021785;23.06947532361472;12.4;12.418499739878834
alberta;ab;canada;universityofalberta;2;2022-12-01;canada;663739.1300613766;2022;12;canada;8;canada;63;0.5967634839128071;4.699512435813356;7.0;4.098758639908721
georgia;ga;unitedstates;collegeofengineering;15;2022-12-01;unitedstatesofamerica;152164.11432143187;2022;12;unitedstates;8;unitedstates;104;0.6704254354369705;8.715530660680617;11.555555555555555;6.980503883891047
tamilnadu;tn;india;tamilnaduagriculturaluniversity;12;2022-12-01;india;130683.69031632628;2022;12;india;14;india;285;1.188400253634642;24.192433734705215;19.0;14.79361132944662
districtofcolumbia;dc;unitedstates;johnshopkinsuniversityschoolofadvancedinternationalstudies;4;2022-12-01;unitedstatesofamerica;162.23529163041653;2022;12;unitedstates;5;unitedstates;30;0.9813171604862224;5.887902962917335;5.0;3.956406707801186
newjersey;nj;unitedstates;nokiabelllabs;4;2022-12-01;unitedstatesofamerica;19667.40324367006;2022;12;unitedstates;12;unitedstates;263;1.2137433702236364;26.60120886406803;20.23076923076923;16.01524048835363
ohio;oh;unitedstates;collegeofengineeringandcomputerscienceatwrightstateuniversity;10;2022-12-01;unitedstatesofamerica;116043.6526534473;2022;12;unitedstates;15;unitedstates;158;1.2862585201405332;13.548589745480283;9.875;8.236616088540272
westbengal;wb;india;raiganjuniversity;6;2022-12-01;india;86363.04812620154;2022;12;india;8;india;110;0.7038333641065182;9.677708756464625;12.222222222222221;7.534588114264455
tennessee;tn;unitedstates;oakridgenationallaboratory;6;2022-12-01;unitedstatesofamerica;109298.32311644025;2022;12;unitedstates;10;unitedstates;112;0.8619318380133493;9.653636585749512;10.181818181818182;6.899128868527015
tennessee;tn;unitedstates;middletennesseestateuniversity;2;2022-12-01;unitedstatesofamerica;109298.32311644025;2022;12;unitedstates;10;unitedstates;112;0.8619318380133493;9.653636585749512;10.181818181818182;6.899128868527015
indiana;in;unitedstates;butleruniversity;5;2022-12-01;unitedstatesofamerica;94332.34490782692;2022;12;unitedstates;8;unitedstates;113;0.6984099817242165;9.865040991854558;12.555555555555555;7.706335509711444
newfoundlandandlabrador;nl;canada;c-coreresearchinstitute;19;2022-12-01;canada;403323.6392799639;2022;12;canada;2;canada;21;0.15494870838727842;1.6269614380664235;7.0;2.927303382151234
jharkhand;jh;india;birlainstituteoftechnology,mesra;19;2022-12-01;india;77947.98877239911;2022;12;india;1;india;19;0.0887799073966381;1.686818240536124;9.5;3.758532715977587
newyork;ny;unitedstates;unitednationsdevelopmentprogramme;10;2022-12-01;unitedstatesofamerica;136932.6539458316;2022;12;unitedstates;31;unitedstates;312;2.621065358096536;26.3797545718103;9.75;12.916939976635613
utah;ut;unitedstates;johnandmarciapricecollegeofengineering;7;2022-12-01;unitedstatesofamerica;219762.28584148962;2022;12;unitedstates;4;unitedstates;35;0.32519515460412;2.84545760278605;7.0;3.3902175857967234
california;ca;unitedstates;tetratech,inc.;10;2022-12-01;unitedstatesofamerica;409736.05205120693;2022;12;unitedstates;66;unitedstates;1008;5.107066200863917;77.99882924955801;15.044776119402986;32.71689052327497
ontario;on;canada;torontometropolitanuniversity;12;2022-12-01;canada;1077587.553876187;2022;12;canada;30;canada;297;2.1597904737258924;21.381925689886337;9.580645161290322;11.040787108300849
saopaulo;sp;brazil;universidadeestadualdecampinas;3;2022-12-01;brazil;248638.14516769807;2022;12;brazil;6;brazil;86;0.48294566300884173;6.922221169793398;12.285714285714286;6.5636270395055085
uttarpradesh;up;india;glauniversity,mathura;29;2022-12-01;india;240261.48376257546;2022;12;india;9;india;139;0.7264223120370163;11.219189041460586;13.9;8.6152037844992
texas;tx;unitedstates;dellmedicalschool;9;2022-12-01;unitedstatesofamerica;685338.8687343894;2022;12;unitedstates;24;unitedstates;310;1.786023896021785;23.06947532361472;12.4;12.418499739878834
newsouthwales;nsw;australia;unswsydney;24;2022-12-01;australia;801934.7316220269;2022;12;australia;17;australia;169;1.250479618837036;12.431238563732887;9.38888888888889;7.690202357152937
pennsylvania;pa;unitedstates;thechildren'shospitalofphiladelphia;10;2022-12-01;unitedstatesofamerica;119356.63855666919;2022;12;unitedstates;25;unitedstates;305;2.1386020035343747;26.09094444311937;11.73076923076923;13.320105225807657
alabama;al;unitedstates;theuniversityofalabama;15;2022-12-01;unitedstatesofamerica;133834.90893377384;2022;12;unitedstates;4;unitedstates;154;0.33885756533352235;13.046016265340612;30.8;14.728291276891378
oklahoma;ok;unitedstates;universityofoklahomahealthsciencescenter;5;2022-12-01;unitedstatesofamerica;180637.19053422907;2022;12;unitedstates;3;unitedstates;40;0.24784680276291657;3.3046240368388875;10.0;4.5174902798672685
australiancapitalterritory;act;australia;"anucollegeofbusiness&amp;economics";0;2022-12-01;australia;2349.2816671832716;2022;12;australia;11;australia;120;1.4171074966916748;15.459354509363726;10.0;8.958820668685133
