state_name;affiliation_state;affiliation_country;total_paper_num;total_cited_num;area_km2;paper_num_density;citation_density;academic_index;crdi_index
beijing;beijing;china;116;947;16251.925428963288;11.96366157686008;97.66885787315945;8.094017094017094;39.24217884801221
lincolnshire;lincolnshire;unitedkingdom;1;112;5947.3673910662865;0.11506325160693644;12.887084179976881;56.0;23.00071581052794
guangdong;guangdong;china;36;478;175489.81778468573;2.98128202078181;39.58480016482514;12.91891891891892;18.49500036817529
selangor;selangor;malaysia;2;122;7729.679785395419;0.22339000391977262;13.626790239106128;40.666666666666664;18.172282303230855
jiangsu;jiangsu;china;42;425;100090.77729351394;3.647782991961102;36.91208979960639;9.883720930232558;16.814531240600015
california;ca;unitedstates;60;473;409736.05205120693;4.642787455330834;36.60064110619141;7.754098360655738;16.332508974059326
tianjin;tianjin;china;6;190;11475.448711234842;0.6418449343943531;20.325089589154516;27.142857142857142;16.036597222135338
shanghai;shanghai;china;31;308;6746.037435237712;3.515991436603054;34.93307620883034;9.625;16.024689215144466
seoul;seoul;southkorea;19;202;577.7896951119151;2.9869802917994766;31.7563167864997;10.1;14.947765692766394
michigan;mi;unitedstates;5;173;250043.56921919566;0.4022722118091209;13.918618528595584;28.833333333333332;14.384741357912679
brussels;na;belgium;6;120;164.53809274643118;1.1743518419877548;23.487036839755095;17.142857142857142;13.934748608199996
kerala;kl;india;6;167;37724.351506595616;0.5693632684661785;15.847277638975301;23.857142857142858;13.424594588194779
tamilnadu;tn;india;29;271;130683.69031632628;2.4616862396717587;23.00403348107057;9.033333333333333;11.499684351358555
ostergotland;ostergotland;sweden;1;56;11939.06110373091;0.10652288061099438;5.9652813142156855;28.0;11.357268064942227
zhejiang;zhejiang;china;33;258;101337.20568833864;2.8630377966848046;22.383750046808473;7.588235294117647;10.945007712536976
massachusetts;ma;unitedstates;26;218;21161.529388635758;2.6104450654669695;21.88757785660767;8.074074074074074;10.857365665382906
banaadir;banaadir;somalia;1;45;203.5396441255955;0.18794301167305982;8.457435525287693;22.5;10.381792845653584
sichuan;sichuan;china;20;236;484815.9727816655;1.5277057002741887;18.026927263235425;11.238095238095237;10.264242733868285
victoria;vic;australia;34;254;227944.59759415901;2.7559681910369926;20.588703544805767;7.257142857142857;10.200604864328538
shaanxi;shaanxi;china;10;172;205731.15957931342;0.8173720725615071;14.058799648057922;15.636363636363637;10.170845118994356
newyork;ny;unitedstates;28;236;136932.6539458316;2.3674138718291293;19.953916919702664;8.137931034482758;10.153087275338184
hubei;hubei;china;24;232;185599.32192758835;1.9783452254154912;19.12400384568308;9.28;10.127449690366191
oslo;oslo;norway;2;62;783.0183759400284;0.3001005730603054;9.303117764869468;20.666666666666668;10.089961668198812
oklahoma;ok;unitedstates;3;88;180637.19053422907;0.24784680276291657;7.270172881045553;22.0;9.839339894602823
punjab;pb;india;14;168;50378.24244988747;1.293023687695219;15.51628425234263;11.2;9.336435980012615
shandong;shandong;china;16;186;155914.8264022369;1.3381202839951436;15.555648301443545;10.941176470588236;9.278315018675642
newjersey;nj;unitedstates;13;151;19667.40324367006;1.3148886510756062;15.272937408647424;10.785714285714286;9.124513448479107
alahmadi;na;kuwait;2;60;4812.902586468782;0.23586954547101097;7.076086364130329;20.0;9.103985303200446
adana;adana;turkey;2;62;15351.343504762726;0.20748989958552735;6.432186887151348;20.666666666666668;9.102114484467847
utah;ut;unitedstates;4;95;219762.28584148962;0.32519515460412;7.723384921847851;19.0;9.016193358817324
pennsylvania;pa;unitedstates;20;190;119356.63855666919;1.7108816028274998;16.253375226861248;9.047619047619047;9.003958625769265
southaustralia;sa;australia;4;98;983875.0812460284;0.289870716357594;7.101832550761053;19.6;8.997234422372882
punjab;punjab;pakistan;14;168;203843.63307330624;1.1451836530869661;13.742203837043593;11.2;8.69579583004352
stockholm;stockholm;sweden;1;40;6318.30078355326;0.11426790356950468;4.570716142780188;20.0;8.228328015449897
vastragotaland;vastragotaland;sweden;2;54;29476.739142030045;0.1943371957791695;5.247104286037576;18.0;7.813813827272249
illinois;il;unitedstates;9;120;150153.0283211724;0.7550704933156855;10.067606577542474;12.0;7.607559023619387
northdakota;nd;unitedstates;2;53;182746.03729637442;0.16507291292519832;4.374432192517755;17.666666666666668;7.402057257369873
goa;ga;india;1;35;3420.6464704608975;0.12288216976035181;4.300875941612313;17.5;7.3079193704575545
newsouthwales;nsw;australia;9;122;801934.7316220269;0.6620186217372543;8.97403020577167;12.2;7.278682942502975
hainan;hainan;china;2;49;33840.65071156836;0.1917647106691417;4.698235411393971;16.333333333333332;7.0744444851321475
barcelona;barcelona;spain;5;74;7753.049916418421;0.5582867840949935;8.262644404605904;12.333333333333334;7.051421507344744
jerusalem;jerusalem;israel;1;32;635.2685746868368;0.15490377098547223;4.956920671535111;16.0;7.037274814173528
hebei;hebei;china;5;83;188968.3850206354;0.4115449792178834;6.831646655016864;13.833333333333334;7.025508322522694
gauteng;gauteng;southafrica;6;82;18213.915798629;0.6116210390825483;8.358820867461493;11.714285714285714;6.894909206943251
northcarolina;nc;unitedstates;10;112;127661.41419226406;0.8505466489441733;9.52612246817474;10.181818181818182;6.852829099645699
okayama;okayama;japan;1;33;6934.876875216996;0.11306509240556936;3.731148049383789;16.5;6.781404380596452
okinawa;okinawa;japan;1;32;3296.6507639035112;0.12344207454476135;3.950146385432363;16.0;6.691196153325708
tokyo;tokyo;japan;13;91;2183.257105688409;1.6907201845772324;11.835041292040627;6.5;6.675253825539286
maharashtra;mh;india;14;128;306563.1909541172;1.108192655446473;10.13204713551061;8.533333333333333;6.591191041430139
budapest;na;hungary;2;37;538.4248558570337;0.31793957401228706;5.881882119227311;12.333333333333334;6.177718342190977
ashsharqiyah;ashsharqiyah;saudiarabia;8;96;553148.0484543691;0.6049889153481227;7.259866984177473;10.666666666666666;6.177174188730754
westbengal;wb;india;7;84;86363.04812620154;0.6158541935932035;7.390250323118441;10.5;6.1687015055705485
georgia;ga;unitedstates;13;112;152164.11432143187;1.0894413325850771;9.385956096117587;8.0;6.158465809567555
jilin;jilin;china;8;92;191022.3391030987;0.6578865731070217;7.56569559073075;10.222222222222221;6.148601462019998
riograndedosul;rs;brazil;3;55;272278.88866112946;0.2397202786791024;4.394871775783544;13.75;6.128197351487549
liaoning;liaoning;china;13;111;146513.72277093065;1.092907090233241;9.331745155068443;7.928571428571429;6.117741224624371
madrid;madrid;spain;15;95;8000.7993162945595;1.6689992396219004;10.570328517605368;5.9375;6.058942585742423
aljawf;aljawf;saudiarabia;4;62;117538.00567315967;0.34262634425041016;5.310708335881357;12.4;6.01777822671059
hsinchu;na;taiwan;4;51;1380.5120768171987;0.5531788926554846;7.0530308813574285;10.2;5.935403258004304
gaborone;na;botswana;1;26;285.17101606145053;0.17678496628114676;4.596409123309816;13.0;5.924398029863654
manchester;na;unitedkingdom;2;32;122.09718586685811;0.415543472365961;6.648695557855376;10.666666666666666;5.910301898962667
