state_name;affiliation_state;affiliation_country;total_paper_num;total_cited_num;area_km2;paper_num_density;citation_density;academic_index;crdi_index;year;month
pennsylvania;pa;unitedstates;2;59;119356.6385566692;0.17108816028274998;5.047100728341124;19.666666666666668;8.294951851763514;2022;12
nara;nara;japan;1;28;3851.0398015642;0.12111877745781142;3.39132576881872;14.0;5.83748151542551;2022;12
michigan;mi;unitedstates;1;22;250043.5692191957;0.08045444236182418;1.769997731960132;11.0;4.283484058107319;2022;12
murcia;murcia;spain;1;19;11309.7477141351;0.10714084429762391;2.0356760416548543;9.5;3.880938961984159;2022;12
macau;na;macao;1;11;30.0767278984;0.29099719512604705;3.2009691463865173;5.5;2.9973221138375217;2022;12
northcarolina;nc;unitedstates;1;14;127661.4141922641;0.08505466489441733;1.1907653085218426;7.0;2.75860665780542;2022;12
shanghai;shanghai;china;2;17;6746.0374352377;0.22683815720019707;1.9281243362016751;5.666666666666667;2.6072097200228463;2022;12
uttarpradesh;up;india;2;17;240261.4837625755;0.16142718045267032;1.3721310338476975;5.666666666666667;2.400074960322345;2022;12
california;ca;unitedstates;3;21;409736.0520512069;0.2321393727665417;1.6249756093657919;5.25;2.3690383273774445;2022;12
massachusetts;ma;unitedstates;2;13;21161.5293886358;0.20080346657438225;1.3052225327334845;4.333333333333333;1.9464531108804;2022;12
beijing;beijing;china;8;20;16251.9254289633;0.8250801087489709;2.062700271872427;2.2222222222222223;1.7033342009478734;2022;12
niigata;niigata;japan;1;8;12452.8123755055;0.10604698948346149;0.8483759158676919;4.0;1.6514743017837177;2022;12
rajasthan;rj;india;5;18;343081.5107532024;0.3922883561605986;1.4122380821781548;3.0;1.6015088127795842;2022;12
arkansas;ar;unitedstates;1;8;137540.2755808926;0.08451885582003858;0.6761508465603087;4.0;1.5868899007934492;2022;12
colorado;co;unitedstates;1;8;269201.8602314456;0.07997939409849217;0.6398351527879373;4.0;1.57327151562881;2022;12
karnataka;ka;india;2;10;191841.355605401;0.16441379690149382;0.8220689845074692;3.3333333333333335;1.439938704914099;2022;12
henan;henan;china;1;7;166146.9719278261;0.08319028716704961;0.5823320101693473;3.5;1.3885074324454656;2022;12
tokyo;na;japan;3;9;2183.2571056884;0.3901661964409;1.1704985893227;2.25;1.2702215952545333;2022;12
madrid;madrid;spain;1;5;8000.7993162946;0.11126661597479331;0.5563330798739665;2.5;1.05586656528292;2022;12
malatya;malatya;turkey;1;5;11831.3620818841;0.10662579508481412;0.5331289754240707;2.5;1.0465849235029616;2022;12
florida;fl;unitedstates;2;6;146717.8790698472;0.16811987175619805;0.5043596152685942;2.0;0.8908264956749307;2022;12
baden-wurttemberg;baden-wurttemberg;germany;1;4;36123.5600929418;0.09528593560221361;0.38114374240885446;2.0;0.8254765593370227;2022;12
illinois;il;unitedstates;1;4;150153.0283211724;0.08389672147952063;0.3355868859180825;2.0;0.8064945357992009;2022;12
missouri;mo;unitedstates;1;4;180475.9762211875;0.08262169550489391;0.33048678201957565;2.0;0.8043694925081565;2022;12
coventry;na;unitedkingdom;1;3;109.5879588205;0.2125032125185546;0.6375096375556638;1.5;0.7833376166914062;2022;12
addisababa;na;ethiopia;1;3;550.8952317178;0.15839430671700594;0.4751829201510178;1.5;0.7111924089560079;2022;12
oran;oran;algeria;1;3;2511.9973749401;0.12772645704758484;0.3831793711427545;1.5;0.6703019427301132;2022;12
sichuan;sichuan;china;1;3;484815.9727816655;0.07638528501370943;0.22915585504112831;1.5;0.6018470466849459;2022;12
ashsharqiyah;ashsharqiyah;saudiarabia;2;4;553148.0484543691;0.15124722883703068;0.30249445767406136;1.3333333333333333;0.5956916732814751;2022;12
budapest;budapest;hungary;3;3;538.424855857;0.4769093610184353;0.4769093610184353;0.75;0.5679395740122902;2022;12
tamilnadu;tn;india;3;4;130683.6903163263;0.2546571972074233;0.33954292960989774;1.0;0.5314000422724403;2022;12
delhi;dl;india;1;2;1482.3887299728;0.13694719765757102;0.27389439531514204;1.0;0.4702805309909044;2022;12
maharashtra;mh;india;2;3;306563.1909541172;0.1583132364923533;0.2374698547385299;1.0;0.4652610304102944;2022;12
ohio;oh;unitedstates;1;2;116043.6526534473;0.08575056800936888;0.17150113601873776;1.0;0.4190839013427022;2022;12
newyork;ny;unitedstates;1;2;136932.6539458316;0.08455049542246891;0.16910099084493782;1.0;0.41788382875580227;2022;12
guangdong;guangdong;china;1;2;175489.8177846857;0.08281338946616137;0.16562677893232275;1.0;0.41614672279949466;2022;12
groningen;groningen;netherlands;2;2;2396.0322174076;0.2570037811049513;0.2570037811049513;0.6666666666666666;0.39355807629218975;2022;12
granada;granada;spain;2;2;12682.0189668835;0.21168458053736178;0.21168458053736178;0.6666666666666666;0.36334527591379673;2022;12
westbengal;wb;india;1;1;86363.0481262015;0.08797917051331478;0.08797917051331478;0.5;0.22531944700887652;2022;12
anhui;anhui;china;1;1;140193.6675195935;0.084382579958653;0.084382579958653;0.5;0.22292171997243534;2022;12
hubei;hubei;china;1;1;185599.3219275883;0.0824310510589788;0.0824310510589788;0.5;0.22162070070598586;2022;12
minnesota;mn;unitedstates;1;1;224780.1530011972;0.08114984424913228;0.08114984424913228;0.5;0.22076656283275486;2022;12
puducherry;py;india;1;0;526.3087684748;0.15954596344871963;0.0;0.0;0.053181987816239874;2022;12
davao;na;philippines;1;0;2047.2410947362;0.1311520697932369;0.0;0.0;0.04371735659774564;2022;12
davaodelsur;davaodelsur;philippines;1;0;3877.1083317283;0.12101991561656239;0.0;0.0;0.04033997187218746;2022;12
riodejaneiro;rj;brazil;1;0;43977.8125496113;0.09353256661982394;0.0;0.0;0.03117752220660798;2022;12
jiangsu;jiangsu;china;1;0;100090.7772935139;0.08685197599907386;0.0;0.0;0.028950658666357956;2022;12
ontario;on;canada;1;0;1077587.553876187;0.07199301579086308;0.0;0.0;0.023997671930287692;2022;12
