state_name;affiliation_state;affiliation_country;total_paper_num;total_cited_num;area_km2;paper_num_density;citation_density;academic_index;crdi_index;year;month
utrecht;na;netherlands;1;3653;1395.3875657593;0.1380901930357203;504.44347515948624;1826.5;777.0271884508406;2021;9
oxfordshire;oxfordshire;unitedkingdom;5;4513;2617.0936147012;0.6353077326473112;573.428759487463;752.1666666666666;442.0769112955923;2021;4
florida;fl;unitedstates;2;2168;146717.8790698472;0.16811987175619805;182.2419409837187;722.6666666666666;301.6922425073805;2021;2
california;ca;unitedstates;5;3161;409736.0520512069;0.38689895461090285;244.59751910501276;526.8333333333334;257.2725837976523;2021;1
beijing;na;china;7;2897;16251.9254289633;0.7219450951553495;298.78213438072106;362.125;220.5430264919588;2021;1
gelderland;gelderland;netherlands;1;987;5133.7128302247;0.11704422328417387;115.5226483814796;493.5;203.04656420158793;2021;7
hubei;hubei;china;1;997;185599.3219275883;0.0824310510589788;82.18375790580185;498.5;193.58872965228693;2021;6
nottinghamshire;nottinghamshire;unitedkingdom;1;895;2080.995712593;0.1308715146817643;117.13000564017905;447.5;188.25362571828694;2021;10
maryland;md;unitedstates;4;1722;25461.8359249494;0.3942838597529916;169.73920162366286;344.4;171.51116182780527;2021;6
newmexico;nm;unitedstates;1;811;315076.3727934706;0.07898536340165267;64.05712971874031;405.5;156.5453716940473;2021;4
queensland;qld;australia;1;800;1730135.5915559076;0.06961989180288229;55.69591344230584;400.0;151.9218444447029;2021;3
cadiz;cadiz;spain;1;647;7428.5232725645;0.11219293808429923;72.5888309405416;323.5;132.06700795954197;2021;1
newyork;ny;unitedstates;2;895;136932.6539458316;0.16910099084493782;75.67269340310968;298.3333333333333;124.72504257576264;2021;1
districtofcolumbia;dc;unitedstates;1;507;162.2352916304;0.19626343209724836;99.50556007330492;253.5;117.73394116846738;2021;2
newsouthwales;nsw;australia;2;867;801934.7316220269;0.1471152492749454;63.77446056068884;289.0;117.64052526998792;2021;2
northcarolina;nc;unitedstates;1;597;127661.4141922641;0.08505466489441733;50.77763494196714;298.5;116.45422986895386;2021;1
westbengal;wb;india;2;785;86363.0481262015;0.17595834102662955;69.0636488529521;261.6666666666667;110.3020912868818;2021;1
osmaniye;na;turkey;1;522;2910.6106825113;0.12536887116557555;65.44255074843043;261.0;108.855973206532;2021;2
shandong;shandong;china;2;775;155914.8264022369;0.16726503549939295;64.81520125601477;258.3333333333333;107.7719332082825;2021;1
ontario;on;canada;2;777;1077587.553876187;0.14398603158172615;55.938573269500615;259.0;105.02751976702746;2021;9
louisiana;la;unitedstates;1;536;119547.6575548466;0.08553237977200455;45.84535555779444;268.0;104.64362931252215;2021;1
pennsylvania;pa;unitedstates;2;719;119356.6385566692;0.17108816028274998;61.50619362164861;239.66666666666666;100.44798281619934;2021;11
oslo;oslo;norway;1;463;783.01837594;0.1500502865301535;69.47328266346106;231.5;100.37444431666374;2021;5
amman;na;jordan;1;491;7871.3516534212;0.11146890015782242;54.731229977490806;245.5;100.11423295921621;2021;1
britishcolumbia;bc;canada;2;724;945598.3248456959;0.14535333501151299;52.617907274167706;241.33333333333334;98.03219798083752;2021;4
bihar;br;india;1;499;94689.3660305596;0.08727246671811371;43.54896089233875;249.5;97.71207778635228;2021;9
jiangsu;jiangsu;china;2;690;100090.7772935139;0.17370395199814773;59.92786343936096;230.0;96.70052246378638;2021;6
hovedstaden;hovedstaden;denmark;1;435;2529.7530685779;0.12761169793130445;55.51108860011743;217.5;91.04623343268291;2021;4
westerncape;westerncape;southafrica;1;460;129675.3547671455;0.08494158151578868;39.07312749726279;230.0;89.71935635959285;2021;1
