word,frequency
investigate,10
influence,12
artificial,78
intelligence,78
production,14
efficiency,32
advanced,13
manufacturing,4
enterprise,22
role,26
enhancing,18
corporate,6
environmental,9
social,19
governance,48
esg,17
performance,29
analyzing,5
financial,35
annual,1
report,6
chinese,4
ashare,3
listed,3
company,7
found,4
notable,3
positive,12
effect,19
outcome,20
enable,7
automation,13
intelligent,5
market,13
trend,21
forecasting,8
product,9
design,14
optimization,5
thereby,2
boosting,2
competitiveness,4
additionally,7
foster,8
responsibility,3
sustainable,29
examine,18
variable,3
impact,47
across,20
differing,3
regional,6
ownership,5
factor,16
offering,9
insight,18
targeted,4
strategy,37
contribution,3
pivotal,6
theoretical,11
advancement,10
practical,17
guiding,4
highquality,1
growth,8
sector,39
prominent,1
smart,32
city,33
adopting,4
complicated,1
multidimensional,4
nature,5
various,12
ecosystemlike,1
environment,23
stakeholder,13
discuss,9
strategic,8
guarantee,6
collaboration,19
capability,9
public,47
demand,5
information,23
security,23
availability,3
infrastructure,11
identify,17
configurations,1
lead,4
high,16
via,8
adoption,41
model,57
understand,8
practice,38
capital,14
mainland,1
china,5
reveal,16
complexity,8
configurational,2
perspective,19
indicate,9
not,19
work,16
isolation,1
combination,6
others,5
promote,5
understanding,21
relationship,13
help,12
strategists,1
planning,10
policymaking,6
relating,1
increasing,8
uncertainty,7
crop,10
caused,1
climate,10
change,17
underscore,7
necessity,3
accurate,5
yield,6
prediction,13
staple,1
rice,3
account,5
integrating,14
satellite,1
imagery,2
key,26
temperature,1
precipitation,1
solar,2
radiation,1
derived,3
korea,1
meteorological,1
administration,12
automated,7
synoptic,1
observing,1
asos,2
combined,5
nasas,1
shuttle,1
radar,1
topography,1
mission,1
digital,101
elevation,1
srtm,1
dem,1
incorporate,3
topographic,1
comprehensive,18
database,9
vegetation,1
indices,1
moderate,1
resolution,3
imaging,6
spectroradiometer,1
modis,1
visible,1
infrared,1
radiometer,1
suite,1
viirs,1
established,5
machine,30
learning,65
automl,1
employed,7
