word,frequency
recent,28
year,19
mobile,15
device,58
equipped,1
increasingly,4
advanced,12
sensing,23
computing,60
capability,9
coupled,1
advancement,7
deep,46
learning,119
open,23
countless,1
possibility,4
meaningful,1
applications,87
medical,22
purpose,10
vehicular,4
network,107
traditional,15
cloudbased,2
machine,48
require,12
centralized,14
cloud,49
server,14
center,4
critical,9
issue,41
related,19
unacceptable,1
latency,10
communication,43
inefficiency,1
end,11
edge,40
mec,1
bring,8
intelligence,21
closer,4
produced,2
conventional,4
enabling,13
still,11
personal,5
shared,7
external,3
party,4
recently,5
light,4
stringent,1
privacy,75
legislation,2
growing,10
concern,23
concept,10
federated,35
introduced,7
local,14
train,5
model,79
required,9
then,23
send,2
update,9
than,16
raw,4
aggregation,4
serve,4
enable,8
collaborative,3
training,19
optimization,6
largescale,8
complex,10
heterogeneous,5
varying,1
constraint,4
involved,7
raises,4
challenge,74
cost,31
resource,26
allocation,1
implementation,15
scale,7
survey,35
begin,3
introduction,5
background,7
fundamental,3
highlight,7
aforementioned,6
review,51
existing,30
solution,41
present,40
finally,26
discuss,24
important,19
future,46
direction,26
wireless,31
actively,3
around,3
world,15
context,13
fifthgeneration,2
5g,37
become,21
challenging,7
interesting,6
topic,10
provide,65
overview,12
internet,43
things,28
iot,123
game,3
changer,1
generation,1
door,2
new,76
architecture,50
smart,52
service,40
cellular,1
lte,1
4g,1
not,27
sufficient,4
efficient,14
meet,6
demand,13
multiple,10
connectivity,5
high,21
rate,11
bandwidth,5
lowlatency,1
quality,8
qos,3
low,11
interference,1
address,13
consider,3
promising,8
detailed,10
vision,7
various,49
industry,41
layer,15
discussed,19
detail,6
comprehensive,22
emerging,13
drivers,2
radio,1
multipleinputmultipleoutput,1
antenna,1
beamformation,1
mmwave,1
commutation,1
hetnets,1
role,14
augmented,1
reality,2
lowpower,1
widearea,1
lpwans,1
control,58
measure,12
scenario,8
introduce,8
gap,3
focus,11
area,34
outline,5
grown,1
exponentially,2
last,6
few,12
decade,9
far,3
feature,33
fourthgeneration,1
soon,1
deployed,10
worldwide,3
paradigm,19
sixthgeneration,1
6g,15
full,4
support,22
artificial,16
expected,7
implemented,9
beyond,8
need,22
addressed,2
higher,7
capacity,12
lower,3
improved,10
compared,13
describe,11
terahertz,1
optical,3
freespace,1
blockchain,54
threedimensional,1
networking,6
quantum,1
unmanned,5
aerial,4
vehicle,18
cellfree,1
integration,7
information,45
energy,30
transfer,10
integrated,9
accessbackhaul,1
dynamic,13
slicing,1
holographic,1
beamforming,1
backscatter,1
intelligent,17
reflecting,1
surface,4
proactive,3
caching,2
big,11
analytic,12
assist,5
guaranteeing,2
besides,2
requirements,10
possible,10
presented,16
potential,23
achieving,5
goal,10
rapid,11
increase,16
volume,3
generated,11
connected,6
industrial,17
enhancing,4
sharing,19
leakage,3
major,16
obstacles,3
provider,6
share,4
private,6
lead,7
serious,3
financial,6
loss,6
first,20
design,22
empowered,1
secure,14
distributed,17
formulate,1
problem,29
machinelearning,2
incorporating,1
privacypreserved,2
wellmaintained,1
instead,2
revealing,1
actual,4
integrate,3
consensus,7
permissioned,2
work,24
numerical,5
derived,8
realworld,5
show,17
scheme,19
achieve,12
good,6
accuracy,26
efficiency,15
enhanced,7
importance,5
mean,5
developing,8
drug,7
subject,6
debate,2
estimate,13
ranging,1
million,14
billion,8
objective,7
investment,6
therapeutic,8
agent,8
market,10
publicly,3
available,12
analyzed,11
approved,4
food,24
administration,1
fda,3
expenditure,3
medicine,2
accessed,2
exchange,6
commission,1
drugsfda,1
database,12
clinicaltrialsgov,1
alongside,1
published,4
clinical,5
trial,6
success,6
exposure,2
conduct,2
preclinical,2
studies,20
main,13
outcome,2
median,6
spending,2
capitalized,2
real,7
capital,2
return,2
investor,1
per,3
bootstrapped,2
cis,1
amount,13
reported,7
dollars,2
biologics,1
period,2
product,9
company,6
accounting,1
failed,1
estimated,3
million12289,1
million16375,1
base,2
case,21
=5,1
ranged,1
million14735,1
nervous,1
million53662,1
antineoplastic,1
immunomodulating,1
mainly,5
accessible,2
smaller,2
firm,5
orphan,1
certain,8
firstinclass,1
received,4
accelerated,2
approval,1
varied,1
sensitivity,3
analyse,5
conclusions,2
relevance,4
differences,3
previous,5
reflect,2
spectrum,4
restricted,2
availability,5
public,11
domain,14
underlying,3
assumptions,1
calculations,2
communicate,2
minimal,1
human,11
intervention,6
fastest,1
history,4
crosscutting,2
nature,4
multidisciplinary,1
component,8
deployment,10
implementing,2
encryption,9
authentication,2
access,30
inherent,2
vulnerability,11
ineffective,1
effectively,6
ecosystem,3
mldl,4
considerably,2
transitioned,1
laboratory,3
novelty,1
practical,8
machinery,2
several,29
consequently,3
transforming,2
merely,1
facilitating,1
securitybased,1
advances,7
threat,19
newly,2
attack,55
thoroughly,1
opportunity,12
advantage,17
shortcomings,3
applying,5
kmeans,6
clustering,5
