word,frequency
examine,11
role,19
esg,18
performance,31
during,98
marketwide,2
triggered,4
response,31
covid19,175
global,65
pandemic,137
unique,4
circumstances,2
create,2
inimitable,1
opportunity,6
question,9
investor,38
interpret,1
signal,2
future,27
stock,60
andor,4
risk,52
mitigation,3
novel,7
covering,2
china,24
csi300,1
constituents,1
show,43
highesg,1
portfolio,14
generally,5
outperform,1
lowesg,1
mitigate,11
iii,3
attenuated,1
normal’,1
time,29
confirming,2
incremental,1
importance,7
phrase,1
context,8
investment,38
practice,10
health,59
resilience,15
key,15
learning,12
lessons,5
country,63
crises,22
coronavirus,19
disease,13
perspective,5
review,7
new,37
framework,9
combination,1
literature,11
national,16
government,16
submissions,1
interview,8
experts,1
conducted,8
comparative,5
report,9
domains,2
addressing,3
governance,12
financing,5
workforce,2
medical,4
product,9
public,13
function,4
service,12
delivery,2
community,13
engagement,2
prevent,1
spread,6
then,4
synthesize,1
salient,1
elements,3
underlie,1
highly,5
effective,9
offer,7
recommendations,3
toward,5
strengthening,2
globally,7
contagion,3
occur,6
nonfinancial,7
firm,58
g7,3
covid–19,1
period,32
empirical,15
listed,1
across,18
alike,1
experience,17
significant,36
increase,27
conditional,7
correlation,15
return,37
magnitude,2
considerably,2
higher,22
outbreak,20
indicating,3
transmission,4
optimal,5
hedge,11
ratio,5
significantly,13
case,13
implying,2
hedging,10
cost,12
first,25
measure,25
potential,11
effect,44
tourism,11
industry,17
panel,6
structural,10
vector,3
autoregression,3
psvar,1
pedroni,1
dynamic,18
modeling,5
realtime,2
parameter,3
connected,3
estimate,4
impact,91
worldwide,13
past,3
operated,1
mostly,2
idiosyncratic,1
shock,27
channel,3
exposing,1
domestic,7
sector,25
large,8
adverse,11
once,2
perished,1
zero,1
infection,9
inbound,1
arrivals,1
revived,1
immediately,1
different;,1
recovery,14
than,26
average,7
expected,7
months,2
private,3
policy,49
support,23
must,6
coordinated,4
assure,1
capacity,10
building,4
operational,6
sustainability,4
travel,6
2020–2021,2
prove,6
larger,4
destructive,1
previous,4
studies,8
indicate,10
managers,5
carefully,1
assess,9
epidemic,2
business,16
management,23
deal,4
sustain,1
precovid19,3
level,29
assessed,4
implications,16
household,8
income,19
food,39
security,13
east,3
african,1
–,5
kenya,2
