word,frequency
radiomic,9
rapidly,4
evolving,3
concerned,2
extraction,10
quantitative,3
metricsthe,1
socalled,2
featureswithin,1
medical,81
image,36
feature,19
capture,3
tissue,4
lesion,6
characteristic,8
heterogeneity,1
shape,1
alone,1
combination,8
demographic,2
histologic,1
genomic,2
proteomic,1
clinical,86
problem,14
solving,3
goal,12
continuing,1
education,7
provide,60
introduction,7
covering,2
basic,7
workflow,10
calculation,3
selection,9
dimensionality,2
reduction,3
processing,13
potential,42
applications,49
nuclear,1
include,8
pet,2
radiomicsbased,1
prediction,49
treatment,36
response,21
survival,10
discussed,12
current,26
limitations,16
sensitivity,12
acquisition,10
parameter,5
variation,5
common,7
pitfalls,2
covered,5
big,28
impact,17
aspects,7
modern,13
life,7
entertainment,1
commerce,1
healthcare,42
netflix,1
know,4
films,1
series,9
people,11
prefer,1
watch,1
amazon,1
items,3
buy,1
google,2
symptoms,5
conditions,14
searching,1
detailed,2
personal,3
profiling,1
great,6
value,10
behavioral,2
understanding,10
targeting,2
predicting,6
trend,8
there,17
optimism,1
artificial,64
intelligence,66
substantial,4
improvement,8
area,21
diagnostic,20
generally,2
believed,1
tool,39
facilitate,5
enhance,8
human,24
work,16
not,34
replace,1
physician,4
staff,2
ready,1
support,21
personnel,1
variety,6
task,22
administrative,1
documentation,1
patient,63
outreach,1
well,18
specialized,3
device,12
automation,3
monitoring,13
chapter,3
major,10
directly,4
associated,9
chain,6
drug,64
ambient,1
assisted,1
living,1
background,14
explainability,15
heavily,1
debated,1
topic,10
come,2
even,8
aidriven,2
shown,2
outperform,3
certain,6
analytical,4
lack,7
continue,6
spark,1
criticism,2
yet,8
purely,1
technological,7
issue,20
instead,1
invokes,1
host,3
legal,8
ethical,11
societal,2
question,5
require,13
thorough,1
exploration,1
comprehensive,13
assessment,13
role,13
evaluation,16
mean,6
adoption,3
practice,28
aibased,3
decision,11
case,15
point,8
adopted,2
multidisciplinary,4
analyze,13
relevance,4
perspective,15
drawing,1
conceptual,1
then,5
conducted,5
principles,1
biomedical,5
ethics,1
beauchamp,1
childress,1
autonomy,2
beneficence,1
nonmaleficence,1
justice,1
framework,8
determine,3
need,22
domain,15
highlight,9
core,5
considerations,4
relevant,10
view,7
considered,7
term,7
achieved,3
beneficial,2
looking,1
identified,8
informed,2
consent,2
certification,1
approval,6
liability,1
touchpoints,1
emphasize,1
importance,4
considering,2
interplay,2
actors,1
conclude,2
omitting,1
pose,6
threat,1
detrimental,2
consequence,3
individual,24
public,10
health,51
conclusions,9
ensure,6
lives,4
promise,7
sensitize,1
developers,1
professional,9
legislators,1
challenge,54
opaque,3
algorithm,39
foster,1
collaboration,4
moving,6
forward,3
broad,6
technique,27
currently,7
hindered,1
limited,8
availability,5
training,14
validation,6
due,14
absence,1
standardized,2
electronic,10
record,7
strict,2
requirement,4
protect,1
privacy,6
imaging,36
harmonized,1
exchange,1
formats,1
digital,17
communication,2
storage,3
standard,8
partially,1
addressing,4
first,13
preservation,1
equally,1
prevent,2
compromise,1
promoting,2
large,22
aim,17
improve,24
care,34
implementation,19
technical,8
solution,12
simultaneously,5
address,13
demand,2
protection,4
utilization,1
mandatory,1
here,11
present,21
overview,11
nextgeneration,4
federated,1
secure,1
privacypreserving,1
focus,11
alongside,1
attack,1
vector,4
future,37
prospects,2
beyond,4
purpose,6
focusing,6
select,3
best,9
deep,52
systematic,13
literature,14
search,8
pubmed,3
performed,7
articles,9
pertinent,1
emphasis,5
ophthalmology,1
review,67
methodology,10
audience,1
extensive,4
computer,13
programming,1
promising,10
medicine;,1
remain,6
translational,3
nontechnical,2
reader,4
layman’s,1
explanation,6
today,4
better,16
within,15
beginning,2
aimachine,1
era,9
expectations,1
high,11
expert,16
foresee,1
aiml,10
show,13
diagnosing,2
managing,1
treating,3
wide,7
obstacles,3
daily,2
numerous,4
especially,12
regarding,7
regulation,3
insight,9
available,16
aimlbased,6
approved,5
food,6
&,1
administration,3
fda,9
aimed,5
raise,2
awareness,2
regulatory,4
body,3
clearly,2
stating,1
whether,4
