word,frequency
stock,7
price,23
prediction,27
important,17
topic,2
investors,1
companies,4
increasing,15
effect,17
apply,4
forecasting,11
aimed,3
predict,8
future,7
sector,7
traded,1
borsa,1
istanbul,1
bist,1
index,6
selected,4
example,5
holding,1
white,1
good,5
petrochemical,1
iron,2
steel,2
transportation,9
communication,3
analyzed,8
addition,11
share,4
performance,22
algorithm,31
sectoral,3
basis,6
examined,1
test,11
xgboost,2
support,16
vector,6
svm,6
knearest,1
neighbors,1
knn,1
random,8
forest,9
obtained,8
mean,5
absolute,2
error,5
mae,1
percent,2
mape,1
squared,1
mse,1
r2,1
correlation,2
metric,3
best,9
estimation,4
petroleum,1
innovation,2
examination,2
current,8
macro,10
change,23
model,59
central,2
bank,1
governors,2
place,1
time,11
5year,1
period,4
forecast,10
investigated,2
showed,5
unpredictable,1
negatively,2
affected,1
latest,2
advances,2
improvement,4
decision,20
artificial,12
intelligence,8
word,2
intelligent,11
ahead,1
human,5
life,1
easier,1
reduce,13
damage,2
country’s,1
economy,5
environment,14
providing,3
technologybased,1
faster,2
safer,1
accessible,1
sustainable,5
efficient,6
main,2
goal,8
creating,4
architecture,6
design,16
implement,1
humanfocused,1
together,1
cuttingedge,1
industry,2
mobile,7
applications,6
augmented,2
reality,2
internet,6
things,3
need,10
updated,2
according,6
cits,2
provide,18
interoperability,3
integrity,3
factor,15
transport,2
create,4
complex,8
numerous,2
insignificant,1
idle,1
communicate,1
reach,7
level,32
world,2
reached,1
understanding,4
impact,13
input,7
variable,20
blackbox,2
deep,14
necessary,4
shapley,5
additive,5
explanation,6
shap,3
value,14
address,6
problem,12
interpretability,2
output,6
convolutional,2
neural,6
network,30
cnn,1
long,1
shortterm,1
memory,1
lstm,1
climatic,1
water,16
balance,1
cwb,7
within,5
1–3,1
month,3
leadtime,3
koppen–geiger,1
climate,22
zones,5
bangladesh,2
humid,1
subtropical,1
dry,1
winter,1
hot,1
summer,1
cwa,2
tropical,1
afam,2
monthly,1
antecedent,2
potential,5
evapotranspiration,1
pet,1
convective,1
available,2
energy,50
cape,1
relative,6
humidity,1
air,8
temperature,1
tem,1
niño–southern,1
oscillation,2
enso,1
indian,1
ocean,1
dipole,1
iod,1
north,1
atlantic,1
nao,1
show,24
maximum,2
atmospheric,1
ocean–atmospheric,1
teleconnections,1
low,6
term,10
effectively,3
decrease,6
negative,2
3months,1
help,7
policymakers,7
practitioners,1
drought,1
flood,3
adopting,1
better,12
preparedness,1
plan,5
helicopter,2
vulnerability,2
specifically,7
lie,1
singleloadpath,1
critical,6
part,4
transmit,2
engine,7
power,22
rotors,1
fault,2
even,3
single,2
trans,1
missions,1
gear,1
component,5
compromise,2
whole,1
yielding,1
high,16
maintenance,1
cost,6
safety,1
hazards,1
work,7
present,4
effective,5
agnosis,1
monitoring,2
early,5
detection,4
mechanical,1
degra,1
dation,1
capable,3
insight,2
cause,6
classification,4
task,4
performed,6
ensemble,1
learners,1
autoencoder,2
distance&densitybased,1
unsupervised,3
classifier,10
regressors,1
specific,9
health,13
flight,1
parameter,15
employs,3
reconstruction,1
information,14
infer,2
probable,1
detected,1
enacts,1
postprocessing,1
filtering,3
number,4
false,1
alarms,1
extensive,2
experimental,2
validation,2
witnesses,1
robustness,7
largescale,3
deployment,4
iot,2
device,10
brought,1
computation,2
wireless,2
access,8
applying,3
edge,2
require,6
training,12
order,3
adapt,4
themselves,1
varying,3
transmission,2
collected,7
huge,1
resource,20
issue,4
exploit,1
fact,3
sample,7
importance,16
influence,4
function,8
represent,4
preprocessing,1
scheme,5
combining,4
size,3
compression,1
removes,1
redundant,1
result,5
well,6
transmitted,1
substantially,1
reduced,2
keeping,1
accuracy,23
scheduling,2
ratebased,1
montecarlobased,1
multidevice,1
multichannel,1
maximizing,2
summation,1
scheduled,1
bring,1
than,16
industrial,9
symbiosis,3
widely,1
sought,2
sustainability,3
recent,6
year,8
multiple,10
identified,3
occurrence,1
interaction,9
emergence,3
mechanism,10
symbiotic,3
relationship,6
remain,1
not,19
explored,3
literature,5
especially,10
empirical,2
aim,8
knowledge,5
gap,1
firsthand,1
survey,3
enterprise,5
chunan,1
county,1
zhejiang,1
province,5
china,11
behind,2
simulating,1
nonlinear,2
categorized,1
sociopolitical,2
economic,10
technological,1
dimension,2
found,5
particularly,3
demand,17
cleaner,2
production,11
indirect,1
similar,1
environmental,7
protection,8
behavior,5
play,2
role,5
establishment,1
imperfect,1
regulations,2
lack,2
legal,2
scale,5
participation,8
quality,15
reused,1
raw,1
material,3
products,1
key,8
obstacles,1
multidimensional,1
revealed,2
suggest,7
influencing,4
formulate,1
relevant,2
boosting,4
severity,1
posed,1
great,2
challenge,12
smallholder,10
livelihood,2
autonomous,1
adaptation,5
consider,2
sound,1
government,13
interventions,7
explore,4
turn,2
recommendations,3
promote,3
achieve,7
purpose,2
household,3
agropastoral,1
region,8
tibetan,1
plateau,2
boosted,1
regression,4
tree,6
brt,2
adaption,1
strategy,35
mainly,3
adopted,4
offhome,1
activity,4
nature,6
reclaiming,1
farmland,2
raising,2
livestock,1
crop,15
management,15
local,3
helped,1
subsidies,2
credit,1
insurance,1
improved,1
varieties;,1
building,18
roads,1
irrigation,1
facilities;,1
organizing,1
cooperative,3
natural,4
capital,2
indicators,4
elevation,1
area,5
still,4
adoption,5
reflects,1
extent,1
played,1
targeted,3
improve,11
existing,7
lessons,2
countries,3
target,5
achieving,2
social,4
food,7
insecurity,6
limited,5
obtain,4
sufficient,2
program,5
efforts,3
fulfil,1
incidence,1
contribution,5
events,1
carried,2
out,6
namely,3
indonesian,1
susenas,1
aceh,1
consist,3
status,3
variables;,1
pkh,1
kks,1
bpnt,1
assistance,2
bpjs,2
jamkesda,1
pip,1
largest,3
determining,2
auc,1
manual,1
sizing,3
analog,3
circuit,6
specification,3
become,3
challenging,4
owing,2
everincreasing,1
complexity,4
innovative,1
operating,2
condition,10
conflicting,2
objective,5
optimize,1
designers,2
must,9
run,2
timeconsuming,2
simulation,13
several,6
weeks,1
find,4
optimum,2
configuration,3
recently,2
optimization,18
technique,11
wherein,2
evolutionary,1
bayesian,5
shown,2
context,9
introduce,2
multiobjective,3
differential,4
evolution,3
inference,1
modebi—a,1
generalized,3
gde3,2
gaussian,1
gps,2
perform,3
stateoftheart,5
singleobjective,1
potentially,2
induce,1
priori,1
bias,2
searches,1
directly,3
space,7
pareto,1
dominance,1
ensure,3
provided,4
diverse,2
solution,12
choose,2
employing,2
surrogate,2
preselect,1
candidate,2
offspring,3
selection,7
diversity,2
population,2
survival,2
addressed,1
proposes,7
resulting,3
modebi,1
variation,2
first,8
simultaneously,1
focus,5
minimizing,1
required,1
feasible,2
evaluation,3
voltage,1
regulators,1
highly,3
considerably,1
optimizationbased,2
india,1
agrarian,1
depend,1
agriculture,1
there,8
approximately,1
estimate,9
yield,12
controlled,2
past,2
reliability,3
matter,2
suffer,1
remote,4
sensing,3
image,8
statistics,3
devising,1
governance,2
subjected,1
classify,3
homogenous,1
class,8
record,2
growth,3
normalized,2
difference,4
vegetation,3
ndvi,3
ndwi,1
soil,4
adjusted,2
vegetative,2
savi,2
further,5
lead,7
desired,1
investigate,4
physical,4
weather,1
characteristics,6
indices,2
determined,1
satellite,1
state,7
karnataka,1
near,1
accurate,2
end,4
day,9
transplantation,3
paddy,2
estimated,3
only,8
predicting,4
actual,3
harvesting,1
practiced,1
farmers,2
transforming,1
practice,7
medicine,2
assessing,3
chest,1
radiographs,1
pathology,1
slides,1
warning,1
embedded,3
electronic,1
ehrs,1
becoming,1
ubiquitous,1
medical,17
despite,1
student,11
minimal,1
exposure,9
concepts,1
leaving,1
prepared,1
clinical,1
quickly,3
bolster,2
undergraduate,1
education,2
around,1
remedy,1
commentary,1
educators,1
treat,1
introduced,2
integrated,4
core,2
school,3
curricula,1
equipping,1
graduating,1
skills,1
solve,3
arising,1
confluence,1
waterenergy,1
nexus,1
studies,9
connect,1
generation,2
corresponding,6
currently,1
installed,1
cooling,5
individual,10
plant,2
assessment,7
plantlevel,1
complicates,1
decisionmaking,9
waterstressed,1
spatial,4
temporal,1
trend,5
installations,1
globally,1
identification,3
regional,1
global,5
combination,3
feature,10
demonstrate,2
average,4
corresponds,1
minor,1
underestimation,1
footprint,2
units,3
unknown,1
apart,1
special,1
emphasis,1
placed,1
characterized,1
extremely,5
stress,11
mistakes,1
planning,3
unsustainable,1
overexploitation,1
calculated,1
significantly,3
larger,1
majority,1
enable,2
source,6
score,6
seasonal,1
freshwater,1
availability,2
firewall,2
traffic,5
caused,2
misconfigured,1
uci,1
library,1
processed,1
produce,1
classifiable,1
permissible,1
base,2
able,1
action,11
avoid,2
unnecessary,1
latency,1
detrimental,3
short,2
regardless,1
tested,3
discovered,1
lbgm,1
consumption,25
city,12
essential,4
urban,9
benchmarking,3
powerful,1
capability,3
datadriven,2
usually,1
cover,2
large,2
representation,4
besides,3
open,3
valuable,1
contain,2
unlabeled,3
novel,8
framework,17
semisupervised,1
generic,2
mapping,2
higher,6
resolution,2
preliminary,1
labeling,1
pseudo,3
labeled,3
predictive,4
modelling,2
compared,7
generating,2
label,2
electricity,6
small,1
mediumsized,1
consisting,1
convergence,1
testing,1
screening,1
designed,4
select,1
credibility,1
enlarge,1
twolevel,1
district,3
enhance,2
implemented,2
map,2
new,13
york,1
significant,6
applicability,1
various,7
remarkably,1
enhanced,2
zerocarbonization,1
accelerated,1
prevalence,1
electric,5
vehicle,16
evs,4
advantages,2
carbon,14
emission,28
efficiency,6
stochastic,4
charging,13
load,5
nonnegligible,1
grid,4
overload,1
promising,3
station,6
response,7
aggregators,1
coordinating,1
improper,1
coordination,2
unfulfilled,1
