word,frequency
background,19
projected,13
trend,21
population,41
ageing,5
growth,52
number,28
people,28
dementia,31
expected,7
increase,39
addition,13
strong,4
evidence,21
emerged,4
supporting,7
importance,7
potentially,6
modifiable,2
risk,54
factor,52
characterising,1
distribution,3
magnitude,2
anticipated,1
crucial,9
health,148
planning,9
resource,35
prioritisation,1
aimed,9
improve,17
previous,9
forecast,2
prevalence,74
producing,3
countrylevel,2
estimate,40
incorporating,3
information,19
selected,4
forecasted,3
attributable,6
included,9
global,63
burden,44
disease,60
injuries,3
gbd,9
high,28
bodymass,2
index,27
fasting,1
plasma,1
glucose,2
smoking,2
relative,5
predict,2
riskattributable,1
globally,29
world,22
region,15
country,121
linear,3
regression,11
model,26
education,15
additional,7
predictor,1
then,4
not,30
assess,10
contribution,2
future,28
decomposition,1
estimated,18
57·4,1
uncertainty,9
interval,7
50·4–65·1,1
million,24
case,30
152·8,1
130·8–175·9,1
despite,6
large,6
living,5
agestandardised,4
bothsex,1
remained,5
stable,2
percentage,8
change,41
0·1,1
[–7·5,1
10·8],1
there,31
women,20
than,25
men,7
femaletomale,2
ratio,7
1·69,1
[1·64–1·73],1
expect,2
pattern,6
continue,6
1·67,1
[1·52–1·85],1
geographical,2
heterogeneity,11
across,23
smallest,1
highincome,9
asia,10
pacific,2
[41–67],1
western,1
europe,5
[58–90],1
largest,5
north,2
africa,5
middle,11
east,2
[329–403],1
eastern,3
subsaharan,2
[323–395],1
largely,9
attributed,2
varied,7
contributing,3
interpretation,8
individual,27
underscore,2
need,26
efforts,11
address,15
group,17
inform,10
national,39
decision,5
multifaceted,3
scaling,1
intervention,18
investing,1
biological,4
mechanism,17
key,25
addressing,6
affected,3
funding,14
bill,3
&,4
melinda,3
gates,4
foundation,5
venture,2
transgender,8
healthcare,11
rapidly,6
evolving,1
interdisciplinary,2
last,4
decade,6
unprecedented,2
visibility,1
gender,7
diverse,5
tgd,7
seeking,2
support,22
genderaffirming,3
medical,13
treatment,10
parallel,1
significant,16
rise,6
literature,20
area,14
professional,13
association,17
wpath,3
international,14
multidisciplinary,4
mission,1
promote,16
evidencebased,2
care,23
respect,4
main,12
function,4
highest,12
standard,10
soc,3
initially,2
version,3
soc7,1
published,7
view,3
increasing,23
commissioned,1
new,29
soc8,6
aim,11
overall,20
goal,14
provide,33
hcps,1
clinical,15
guidance,9
assist,1
accessing,1
safe,4
effective,7
pathway,9
achieving,7
lasting,2
personal,1
comfort,1
gendered,1
selves,1
optimizing,2
physical,22
psychological,4
wellbeing,7
selffulfillment,1
best,2
available,13
expert,7
consensus,6
stakeholder,13
serve,3
committee,1
recommendation,18
statements,3
derived,1
independent,3
systematic,17
review,34
opinion,4
grading,1
discussion,1
harm,6
well,13
feasibility,1
acceptability,1
within,12
context,10
settings,6
total,19
chapters,4
part,5
contain,2
followed,8
explanatory,1
text,1
relevant,16
references,2
general,7
related,25
covered,1
terminology,1
applicability,1
include,8
assessment,11
adult,12
adolescent,10
children,10
nonbinary,2
eunuchs,1
intersex,1
institutional,2
environment,8
finally,6
hormone,2
therapy,1
surgery,1
postoperative,1
voice,1
communication,5
primary,8
reproductive,2
sexual,9
mental,6
conclusions,13
guideline,8
intended,1
flexible,1
meet,4
adaptable,1
offer,10
promoting,8
optimal,4
experiencing,4
incongruence,1
criteria,8
forth,1
document,3
guidelines;,1
program,6
modify,1
consultation,4
person,1
autism,13
essential,9
informing,2
raising,2
awareness,8
developing,15
priority,8
synthesized,3
worldwide,12
examined,6
accounting,4
variability,2
critically,1
reviewed,7
hypotheses,3
social,40
determinants,6
viz,1
sex,15
sociodemographic,9
status,6
ethnicityrace,1
nativity,1
modifying,1
performed,8
search,7
november,1
medline,3
studies,54
estimating,1
extracted,3
researchers,8
indicating,3
range,8
median,7
maletofemale,1
cooccurring,1
intellectual,2
disability,13
likely,3
reflecting,4
complex,7
dynamic,2
interaction,4
community,14
service,9
capacity,3
help,14
limitation,4
synthesizing,2
methodological,9
features,2
precludes,1
quality,17
appraisal,2
reveal,8
measured,1
combined,5
effect,53
multiple,13
response,23
progress,10
identification,2
definition,7
linking,1
likelihood,3
variation,7
require,10
representative,10
sample,16
comparable,4
diagnostic,5
casefinding,1
time,10
lay,2
summary,2
considering,8
impact,48
geographic,2
ethnic,3
socioeconomic,5
approximately,9
diagnosed,3
spectrum,2
disorder,7
around,7
increased,22
greatly,3
reflect,4
difference,11
methodology,5
american,11
heart,15
defined,5
novel,6
construct,3
cardiovascular,7
paradigm,3
shift,3
focus,9
solely,1
inclusive,3
positive,14
promotion,3
preservation,2
life,22
course,3
extensive,3
subsequent,1
provided,6
insights,6
strengths,1
original,4
defining,1
quantifying,1
convened,1
writing,1
recommend,4
enhancements,1
update,3
quantification,1
metric,4
simple,1
responsiveness,1
interindividual,1
intraindividual,1
considered,9
age,29
expanded,1
entire,1
foundational,1
addressed,7
preserving,1
presidential,1
advisory,1
introduce,2
enhanced,3
assessing,1
component,8
diet,3
updated,6
activity,25
nicotine,4
exposure,13
sleep,1
body,2
mass,4
blood,5
lipids,2
pressure,2
scoring,4
algorithm,3
ranging,3
point,8
allowing,1
generation,8
composite,3
score,2
unweighted,1
average,8
varies,1
implementing,3
longitudinal,4
monitoring,5
discussed,7
potential,20
source,17
tool,11
widespread,2
adoption,4
lancet,1
commission,3
pollution,24
reported,21
responsible,4
premature,4
death,26
environmental,66
now,2
injuriaes,1
find,6
remain,11
per,16
year,60
corresponding,4
reduction,20
occurred,1
type,27
associated,26
extreme,4
poverty,2
household,1
air,3
water,9
offset,1
ambient,1
toxic,1
chemical,4
lead,6
modern,3
unintended,2
consequence,5
industrialisation,1
urbanisation,1
risen,1
ongoing,2
agencies,2
committed,2
government,26
mostly,5
little,4
real,2
against,19
identified,14
particularly,7
lowincome,6
middleincome,6
severe,4
urgent,4
attention,13
needed,13
control,12
prevent,2
pollutionrelated,1
emphasis,3
poisoning,1
stronger,7
hazardous,1
climate,29
biodiversity,2
loss,3
closely,3
linked,2
successful,2
conjoined,1
threat,8
supported,3
formal,3
science–policy,1
interface,1
influence,7
guide,4
typically,1
viewed,1
local,7
issue,23
subnational,6
regulation,7
occasionally,1
regional,16
higherincome,1
increasingly,2
clear,3
planetary,2
drivers,3
dispersion,1
transcend,1
boundaries,1
demand,6
action,15
major,18
pollutants,1
synergise,1
programme,7
especially,9
largescale,2
rapid,10
transition,31
away,1
fossil,9
fuel,11
clean,14
renewable,38
energy,119
strategy,25
preventing,1
slowing,1
down,1
achieve,19
double,2
benefit,7
studied,2
various,7
affecting,6
green,55
productivity,5
dearth,1
empirical,17
quantitatively,1
analyzing,3
linkage,2
finance,26
comprehensive,16
employs,2
panel,22
china,26
provinces,7
period,17
2006–2018,1
explore,7
revealing,1
estimation,7
significantly,20
level,53
beneficial,1
tends,1
higher,21
economic,59
condition,10
participation,6
protection,8
further,9
enhance,9
herein,4
implication,21
sarscov2,19
variant,4
concern,14
omicron,8
appear,2
delta,7
quantify,1
symptom,8
hospital,9
admission,4
duration,7
vaccinated,1
prospective,1
observational,2
collected,4
participants,12
selfreporting,1
test,21
zoe,3
covid,2
app,4
previously,2
known,2
eligible,5
aged,15
16–99,1
kgm2,1
received,2
dose,5
vaccine,23
symptomatic,4
logged,1
pcr,2
lateral,1
